Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-25,2018-2019,Bundesliga,Eintracht Frankfurt,Freiburg,Away,2,0,W,Lucas Torró,Y,DM,90,0,0,0,0,0,0,2,0,0,0,2
2018-09-01,2018-2019,Bundesliga,Eintracht Frankfurt,Werder Bremen,Home,1,2,L,Lucas Torró,Y,DM,90,0,0,0,0,0,0,2,1,1,1,1
2018-09-14,2018-2019,Bundesliga,Eintracht Frankfurt,Dortmund,Away,1,3,L,Lucas Torró,Y,DM,83,0,0,0,0,0,0,1,0,0,1,2
2018-09-30,2018-2019,Bundesliga,Eintracht Frankfurt,Hannover 96,Home,4,1,W,Lucas Torró,Y,DM,90,0,0,2,0,1,0,3,0,0,2,6
2018-10-19,2018-2019,Bundesliga,Eintracht Frankfurt,Düsseldorf,Home,7,1,W,Lucas Torró,Y,DM,45,0,0,2,1,0,0,0,0,0,1,0
2019-04-22,2018-2019,Bundesliga,Eintracht Frankfurt,Wolfsburg,Away,1,1,D,Lucas Torró,Y,DM,90,0,0,1,0,0,0,2,0,1,3,2
2019-04-27,2018-2019,Bundesliga,Eintracht Frankfurt,Hertha BSC,Home,0,0,D,Lucas Torró,N,DM,45,0,0,0,0,0,0,1,0,0,0,0
2019-05-18,2018-2019,Bundesliga,Eintracht Frankfurt,Bayern Munich,Away,1,5,L,Lucas Torró,N,DM,27,0,0,0,0,0,0,0,0,0,0,2
2019-08-18,2019-2020,Bundesliga,Eintracht Frankfurt,Hoffenheim,Home,1,0,W,Lucas Torró,N,DM,3,0,0,0,0,0,0,0,0,0,1,0
2019-12-02,2019-2020,Bundesliga,Eintracht Frankfurt,Mainz 05,Away,1,2,L,Lucas Torró,N,DM,45,0,0,2,0,1,0,1,0,0,0,1
2019-12-15,2019-2020,Bundesliga,Eintracht Frankfurt,Schalke 04,Away,0,1,L,Lucas Torró,Y,DM,90,0,0,0,0,1,0,1,0,0,1,2
2020-05-26,2019-2020,Bundesliga,Eintracht Frankfurt,Freiburg,Home,3,3,D,Lucas Torró,Y,CM,45,0,0,2,0,0,0,0,0,0,1,1
2020-05-30,2019-2020,Bundesliga,Eintracht Frankfurt,Wolfsburg,Away,2,1,W,Lucas Torró,N,DM,13,0,0,0,0,2,1,2,0,0,1,0
2020-06-13,2019-2020,Bundesliga,Eintracht Frankfurt,Hertha BSC,Away,4,1,W,Lucas Torró,Y,DM,45,0,0,2,0,0,0,0,0,0,2,0
2020-06-20,2019-2020,Bundesliga,Eintracht Frankfurt,Köln,Away,1,1,D,Lucas Torró,Y,CM,90,0,0,0,0,1,0,2,0,0,0,3
2020-09-12,2020-2021,La Liga,Osasuna,Cádiz,Away,2,0,W,Lucas Torró,N,CM,20,0,1,0,0,0,0,2,1,0,0,0
2020-09-19,2020-2021,La Liga,Osasuna,Getafe,Away,0,1,L,Lucas Torró,N,CM,8,0,0,0,0,0,0,0,0,0,1,0
2020-09-27,2020-2021,La Liga,Osasuna,Levante,Home,1,3,L,Lucas Torró,N,CM,30,0,0,1,1,1,0,2,0,0,0,0
2020-10-04,2020-2021,La Liga,Osasuna,Celta Vigo,Home,2,0,W,Lucas Torró,Y,CM,90,0,0,3,1,0,0,4,0,1,1,3
2020-10-31,2020-2021,La Liga,Osasuna,Atlético Madrid,Home,1,3,L,Lucas Torró,N,CM,32,0,0,0,0,0,0,1,0,1,0,0
2020-11-07,2020-2021,La Liga,Osasuna,Sevilla,Away,0,1,L,Lucas Torró,Y,CM,15,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,2020-2021,La Liga,Osasuna,Granada,Away,0,2,L,Lucas Torró,N,DM,28,0,0,1,1,0,0,1,0,0,1,0
2021-01-21,2020-2021,La Liga,Osasuna,Valencia,Away,1,1,D,Lucas Torró,Y,DM,90,0,0,3,1,0,0,0,0,0,1,1
2021-01-24,2020-2021,La Liga,Osasuna,Granada,Home,3,1,W,Lucas Torró,Y,CM,90,0,0,0,0,1,0,1,0,0,0,3
2021-02-07,2020-2021,La Liga,Osasuna,Eibar,Home,2,1,W,Lucas Torró,Y,CM,90,0,0,1,1,0,0,1,0,0,1,1
2021-02-14,2020-2021,La Liga,Osasuna,Levante,Away,1,0,W,Lucas Torró,Y,DM,90,0,0,0,0,0,0,0,0,0,1,0
2021-02-22,2020-2021,La Liga,Osasuna,Sevilla,Home,0,2,L,Lucas Torró,Y,CM,90,0,0,0,0,1,0,1,0,0,1,3
2021-02-27,2020-2021,La Liga,Osasuna,Alavés,Away,1,0,W,Lucas Torró,Y,CM,76,0,0,0,0,0,0,2,0,0,0,0
2021-03-06,2020-2021,La Liga,Osasuna,Barcelona,Home,0,2,L,Lucas Torró,Y,CM,83,0,0,0,0,0,0,0,0,0,0,0
2021-03-13,2020-2021,La Liga,Osasuna,Valladolid,Home,0,0,D,Lucas Torró,N,CM,22,0,0,0,0,0,0,0,0,0,2,0
2021-03-20,2020-2021,La Liga,Osasuna,Huesca,Away,0,0,D,Lucas Torró,Y,CM,90,0,0,1,0,0,0,0,0,0,3,0
2021-04-03,2020-2021,La Liga,Osasuna,Getafe,Home,0,0,D,Lucas Torró,Y,CM,90,0,0,0,0,0,0,2,0,0,0,3
2021-04-11,2020-2021,La Liga,Osasuna,Villarreal,Away,2,1,W,Lucas Torró,N,CM,32,0,0,2,1,0,0,0,0,0,0,0
2021-04-18,2020-2021,La Liga,Osasuna,Elche,Home,2,0,W,Lucas Torró,Y,DM,90,0,0,0,0,0,0,1,0,0,4,2
2021-04-21,2020-2021,La Liga,Osasuna,Valencia,Home,3,1,W,Lucas Torró,Y,CM,90,0,0,4,1,0,0,0,0,0,0,4
2021-05-01,2020-2021,La Liga,Osasuna,Real Madrid,Away,0,2,L,Lucas Torró,Y,DM,83,0,0,0,0,0,0,0,0,0,0,0
2021-05-08,2020-2021,La Liga,Osasuna,Athletic Club,Away,2,2,D,Lucas Torró,Y,DM,70,0,0,0,0,1,0,3,0,0,2,1
2021-05-11,2020-2021,La Liga,Osasuna,Cádiz,Home,3,2,W,Lucas Torró,Y,DM,90,0,0,1,1,0,0,3,0,0,0,1
2021-05-16,2020-2021,La Liga,Osasuna,Atlético Madrid,Away,1,2,L,Lucas Torró,N,DM,14,0,0,0,0,0,0,1,1,0,0,0
2021-05-22,2020-2021,La Liga,Osasuna,Real Sociedad,Home,0,1,L,Lucas Torró,Y,CM,45,0,0,0,0,0,0,2,0,0,0,0
2021-08-14,2021-2022,La Liga,Osasuna,Espanyol,Home,0,0,D,Lucas Torró,Y,CM,90,0,0,2,1,0,0,2,0,0,2,1
2021-08-23,2021-2022,La Liga,Osasuna,Celta Vigo,Home,0,0,D,Lucas Torró,Y,DM,90,0,0,1,1,0,0,3,0,0,6,6
2021-08-29,2021-2022,La Liga,Osasuna,Cádiz,Away,3,2,W,Lucas Torró,Y,DM,86,0,0,1,0,0,0,1,0,1,1,0
2021-09-12,2021-2022,La Liga,Osasuna,Valencia,Home,1,4,L,Lucas Torró,Y,DM,57,0,0,2,0,1,0,4,1,0,1,0
2021-09-18,2021-2022,La Liga,Osasuna,Alavés,Away,2,0,W,Lucas Torró,Y,CM,90,0,0,0,0,1,0,2,1,0,2,1
2021-09-23,2021-2022,La Liga,Osasuna,Real Betis,Home,1,3,L,Lucas Torró,Y,CM,84,0,0,0,0,0,0,1,2,1,0,2
2021-10-02,2021-2022,La Liga,Osasuna,Rayo Vallecano,Home,1,0,W,Lucas Torró,Y,CM,85,0,0,3,1,1,0,3,2,0,4,2
2021-10-17,2021-2022,La Liga,Osasuna,Villarreal,Away,2,1,W,Lucas Torró,Y,CM,90,1,0,2,1,1,0,2,1,0,3,2
2021-10-22,2021-2022,La Liga,Osasuna,Granada,Home,1,1,D,Lucas Torró,Y,DM,90,0,0,2,1,0,0,3,2,0,1,0
2021-10-27,2021-2022,La Liga,Osasuna,Real Madrid,Away,0,0,D,Lucas Torró,Y,CM,90,0,0,0,0,0,0,1,2,0,0,1
2021-11-07,2021-2022,La Liga,Osasuna,Real Sociedad,Home,0,2,L,Lucas Torró,Y,DM,90,0,0,0,0,0,0,1,2,1,3,0
2021-11-20,2021-2022,La Liga,Osasuna,Atlético Madrid,Away,0,1,L,Lucas Torró,Y,CM,65,0,0,1,1,1,0,2,0,0,1,1
2021-12-05,2021-2022,La Liga,Osasuna,Levante,Away,0,0,D,Lucas Torró,Y,CM,90,0,0,3,0,1,0,4,3,0,0,3
2021-12-12,2021-2022,La Liga,Osasuna,Barcelona,Home,2,2,D,Lucas Torró,Y,DM,90,0,0,0,0,0,0,3,2,0,1,0
2021-12-19,2021-2022,La Liga,Osasuna,Getafe,Away,0,1,L,Lucas Torró,Y,CM,90,0,0,1,0,0,0,3,0,0,1,2
2022-01-03,2021-2022,La Liga,Osasuna,Athletic Club,Home,1,3,L,Lucas Torró,Y,CM,90,0,0,2,0,1,0,3,0,1,0,0
2022-01-09,2021-2022,La Liga,Osasuna,Cádiz,Home,2,0,W,Lucas Torró,Y,CM,90,0,0,0,0,1,0,0,3,1,2,4
2022-01-19,2021-2022,La Liga,Osasuna,Celta Vigo,Away,0,2,L,Lucas Torró,Y,CM,67,0,0,0,0,0,0,0,2,1,0,1
2022-01-23,2021-2022,La Liga,Osasuna,Granada,Away,2,0,W,Lucas Torró,Y,CM,86,0,0,3,1,0,0,2,2,0,1,3
2022-02-05,2021-2022,La Liga,Osasuna,Sevilla,Home,0,0,D,Lucas Torró,Y,DM,90,0,0,0,0,0,0,2,2,0,1,2
2022-02-12,2021-2022,La Liga,Osasuna,Rayo Vallecano,Away,3,0,W,Lucas Torró,Y,CM,90,0,0,0,0,0,0,1,0,0,1,1
2022-02-19,2021-2022,La Liga,Osasuna,Atlético Madrid,Home,0,3,L,Lucas Torró,Y,DM,90,0,0,0,0,0,0,0,4,1,2,2
2022-02-27,2021-2022,La Liga,Osasuna,Real Sociedad,Away,0,1,L,Lucas Torró,Y,DM,63,0,0,0,0,0,0,0,1,0,1,1
2022-03-05,2021-2022,La Liga,Osasuna,Villarreal,Home,1,0,W,Lucas Torró,Y,CM,90,0,0,1,1,0,0,2,0,0,3,1
2022-03-13,2021-2022,La Liga,Osasuna,Barcelona,Away,0,4,L,Lucas Torró,Y,DM,45,0,0,0,0,0,0,0,1,0,0,1
2022-03-19,2021-2022,La Liga,Osasuna,Levante,Home,3,1,W,Lucas Torró,Y,CM,90,0,0,3,1,0,0,3,2,0,1,2
2022-04-03,2021-2022,La Liga,Osasuna,Real Betis,Away,1,4,L,Lucas Torró,Y,CM,90,0,0,1,0,0,0,1,1,1,2,1
2022-04-10,2021-2022,La Liga,Osasuna,Alavés,Home,1,0,W,Lucas Torró,Y,CM,90,0,0,1,0,1,0,1,1,0,0,2
2022-04-16,2021-2022,La Liga,Osasuna,Valencia,Away,2,1,W,Lucas Torró,Y,CM,90,0,0,1,0,1,0,2,0,0,2,2
2022-05-01,2021-2022,La Liga,Osasuna,Elche,Away,1,1,D,Lucas Torró,Y,CM,90,0,0,0,0,0,0,0,1,0,2,2
2022-05-08,2021-2022,La Liga,Osasuna,Espanyol,Away,1,1,D,Lucas Torró,N,CM,18,0,0,0,0,0,0,0,0,0,0,0
2022-05-11,2021-2022,La Liga,Osasuna,Getafe,Home,1,1,D,Lucas Torró,Y,DM,89,0,0,3,0,0,0,1,0,0,0,2
2022-05-22,2021-2022,La Liga,Osasuna,Mallorca,Home,0,2,L,Lucas Torró,Y,CM,90,0,0,1,0,0,0,1,4,0,0,1
