Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-30,2014-15,La Liga,Espanyol,Sevilla,Home,1,2,L,Lucas Vázquez,N,N/A,33,0,0,0,0,1,0,0,0,0,0,0
2014-09-14,2014-15,La Liga,Espanyol,Valencia,Away,1,3,L,Lucas Vázquez,N,N/A,45,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,2014-15,La Liga,Espanyol,Málaga,Home,2,2,D,Lucas Vázquez,Y,N/A,90,0,1,0,0,0,0,0,0,0,0,0
2014-09-25,2014-15,La Liga,Espanyol,Getafe,Home,2,0,W,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-09-28,2014-15,La Liga,Espanyol,Córdoba,Away,0,0,D,Lucas Vázquez,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2014-10-05,2014-15,La Liga,Espanyol,Real Sociedad,Home,2,0,W,Lucas Vázquez,Y,N/A,90,1,0,0,0,0,0,0,0,0,0,0
2014-10-19,2014-15,La Liga,Espanyol,Atlético Madrid,Away,0,2,L,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-10-26,2014-15,La Liga,Espanyol,Deportivo La Coruña,Home,0,0,D,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,2014-15,La Liga,Espanyol,Elche,Away,1,2,L,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-11-09,2014-15,La Liga,Espanyol,Villarreal,Home,1,1,D,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-11-21,2014-15,La Liga,Espanyol,Athletic Club,Away,1,3,L,Lucas Vázquez,Y,N/A,55,0,0,0,0,1,0,0,0,0,0,0
2014-11-29,2014-15,La Liga,Espanyol,Levante,Home,2,1,W,Lucas Vázquez,Y,N/A,86,0,1,0,0,0,0,0,0,0,0,0
2014-12-07,2014-15,La Liga,Espanyol,Barcelona,Away,1,5,L,Lucas Vázquez,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2014-12-14,2014-15,La Liga,Espanyol,Granada,Home,2,1,W,Lucas Vázquez,Y,N/A,90,0,1,0,0,0,0,0,0,0,0,0
2014-12-20,2014-15,La Liga,Espanyol,Rayo Vallecano,Away,3,1,W,Lucas Vázquez,Y,N/A,85,1,0,0,0,1,0,0,0,0,0,0
2015-01-17,2014-15,La Liga,Espanyol,Celta Vigo,Home,1,0,W,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,2014-15,La Liga,Espanyol,Almería,Home,3,0,W,Lucas Vázquez,Y,N/A,90,0,1,0,0,0,0,0,0,0,0,0
2015-02-01,2014-15,La Liga,Espanyol,Sevilla,Away,2,3,L,Lucas Vázquez,N,N/A,N/A,0,0,0,0,1,0,0,0,0,0,0
2015-02-08,2014-15,La Liga,Espanyol,Valencia,Home,1,2,L,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2015-02-14,2014-15,La Liga,Espanyol,Málaga,Away,2,0,W,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,2014-15,La Liga,Espanyol,Getafe,Away,1,2,L,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,2014-15,La Liga,Espanyol,Córdoba,Home,1,0,W,Lucas Vázquez,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
