Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-12-15,2019-2020,Serie A,Inter,Fiorentina,Away,1,1,D,Lucien Agoume,N,Sub,7,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,2019-2020,Serie A,Inter,Sassuolo,Home,3,3,D,Lucien Agoume,N,Sub,29,0,0,0,0,0,0,0,0,2,2,0
2020-07-01,2019-2020,Serie A,Inter,Brescia,Home,6,0,W,Lucien Agoume,N,Sub,32,0,0,0,0,1,0,1,0,0,0,0
2020-10-25,2020-2021,Serie A,Spezia,Parma,Away,2,2,D,Lucien Agoume,Y,CM,90,0,0,1,0,0,0,4,0,0,1,1
2020-11-07,2020-2021,Serie A,Spezia,Benevento,Away,3,0,W,Lucien Agoume,N,,9,0,0,0,0,0,0,0,0,0,0,1
2020-12-16,2020-2021,Serie A,Spezia,Bologna,Home,2,2,D,Lucien Agoume,Y,CM,80,0,0,0,0,1,0,1,0,0,2,0
2021-01-03,2020-2021,Serie A,Spezia,Hellas Verona,Home,0,1,L,Lucien Agoume,Y,CM,90,0,0,0,0,1,0,2,0,0,2,2
2021-01-06,2020-2021,Serie A,Spezia,Napoli,Away,2,1,W,Lucien Agoume,Y,CM,90,0,0,1,0,0,0,1,0,0,0,2
2021-01-11,2020-2021,Serie A,Spezia,Sampdoria,Home,2,1,W,Lucien Agoume,Y,CM,90,0,0,0,0,0,0,2,0,1,2,3
2021-01-16,2020-2021,Serie A,Spezia,Torino,Away,0,0,D,Lucien Agoume,Y,CM,90,0,0,1,1,0,0,3,0,0,1,2
2021-01-23,2020-2021,Serie A,Spezia,Roma,Away,3,4,L,Lucien Agoume,Y,CM,90,0,0,0,0,0,0,1,0,0,1,0
2021-01-31,2020-2021,Serie A,Spezia,Udinese,Home,0,1,L,Lucien Agoume,Y,CM,70,0,0,0,0,0,0,1,0,0,0,2
2021-03-02,2020-2021,Serie A,Spezia,Juventus,Away,0,3,L,Lucien Agoume,N,,5,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,2020-2021,Serie A,Spezia,Lazio,Away,1,2,L,Lucien Agoume,N,,26,0,0,0,0,0,0,0,0,0,1,0
2021-05-23,2020-2021,Serie A,Spezia,Roma,Home,2,2,D,Lucien Agoume,Y,CM,70,0,0,0,0,0,0,1,0,0,0,3
2021-09-12,2021-2022,Ligue 1,Brest,Angers,Home,1,1,D,Lucien Agoume,Y,DM,87,0,0,1,0,0,0,2,0,0,1,2
2021-09-19,2021-2022,Ligue 1,Brest,Clermont Foot,Away,1,1,D,Lucien Agoume,Y,DM,71,0,0,0,0,1,0,2,0,0,1,1
2021-09-22,2021-2022,Ligue 1,Brest,Nantes,Away,1,3,L,Lucien Agoume,Y,DM,65,0,0,0,0,0,0,1,0,0,1,2
2021-09-26,2021-2022,Ligue 1,Brest,Metz,Home,1,2,L,Lucien Agoume,Y,DM,90,0,0,0,0,0,0,2,0,2,1,1
2021-10-02,2021-2022,Ligue 1,Brest,Nice,Away,1,2,L,Lucien Agoume,Y,DM,71,0,0,0,0,0,0,0,0,0,0,0
2021-10-23,2021-2022,Ligue 1,Brest,Lille,Away,1,1,D,Lucien Agoume,N,Sub,20,0,0,0,0,0,0,1,0,0,1,1
2021-11-07,2021-2022,Ligue 1,Brest,Lorient,Away,2,1,W,Lucien Agoume,N,Sub,45,0,0,1,0,0,0,1,0,0,1,0
2021-11-21,2021-2022,Ligue 1,Brest,Lens,Home,4,0,W,Lucien Agoume,Y,CM,90,0,0,1,0,0,0,2,0,0,3,5
