Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-12,2020-2021,La Liga,Granada,Athletic Club,Home,2,0,W 2-0,Luis Milla,Y,DM,88,1,0,1,1,0,0,1,0,0,0,3
2020-09-20,2020-2021,La Liga,Granada,Alavés,Home,2,1,W 2-1,Luis Milla,Y,DM,89,0,0,1,0,0,0,1,0,0,5,0
2020-09-27,2020-2021,La Liga,Granada,Atlético Madrid,Away,1,6,L 1-6,Luis Milla,Y,DM,70,0,0,1,1,0,0,0,1,0,3,5
2020-10-04,2020-2021,La Liga,Granada,Cádiz,Away,1,1,D 1-1,Luis Milla,Y,DM,82,0,0,1,1,0,0,0,1,0,4,0
2020-10-17,2020-2021,La Liga,Granada,Sevilla,Home,1,0,W 1-0,Luis Milla,Y,AM,90,0,0,1,0,0,0,3,3,0,1,1
2020-11-01,2020-2021,La Liga,Granada,Levante,Home,1,1,D 1-1,Luis Milla,Y,DM,79,0,0,0,0,0,0,0,0,0,1,1
2020-11-22,2020-2021,La Liga,Granada,Valladolid,Home,1,3,L 1-3,Luis Milla,Y,DM,90,0,0,2,0,0,0,1,0,0,2,0
2020-11-29,2020-2021,La Liga,Granada,Celta Vigo,Away,1,3,L 1-3,Luis Milla,Y,CM,90,0,1,2,0,0,0,1,4,0,2,0
2020-12-06,2020-2021,La Liga,Granada,Huesca,Home,3,3,D 3-3,Luis Milla,Y,AM,67,0,0,0,0,0,0,0,3,2,6,1
2020-12-13,2020-2021,La Liga,Granada,Elche,Away,1,0,W 1-0,Luis Milla,Y,AM,90,0,0,0,0,0,0,0,2,1,5,0
2020-12-20,2020-2021,La Liga,Granada,Real Betis,Home,2,0,W 2-0,Luis Milla,Y,CM,78,0,0,0,0,0,0,0,1,2,2,1
2020-12-23,2020-2021,La Liga,Granada,Real Madrid,Away,0,2,L 0-2,Luis Milla,Y,AM,90,0,0,0,0,0,0,0,1,2,3,2
2021-01-09,2020-2021,La Liga,Granada,Barcelona,Home,0,4,L 0-4,Luis Milla,N,,45,0,0,0,0,0,0,0,0,0,2,1
2021-01-12,2020-2021,La Liga,Granada,Osasuna,Home,2,0,W 2-0,Luis Milla,N,,26,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,2020-2021,La Liga,Granada,Villarreal,Away,2,2,D 2-2,Luis Milla,Y,DM,89,0,0,0,0,1,0,2,0,0,0,1
2021-01-24,2020-2021,La Liga,Granada,Osasuna,Away,1,3,L 1-3,Luis Milla,Y,AM,90,0,0,1,0,0,0,0,1,0,1,0
2021-08-16,2021-2022,La Liga,Granada,Villarreal,Away,0,0,D,Luis Milla,Y,CM,61,0,0,0,0,0,0,1,0,1,0,1
2021-08-21,2021-2022,La Liga,Granada,Valencia,Home,1,1,D,Luis Milla,N,,45,0,0,0,0,0,0,0,0,3,0,3
2021-08-29,2021-2022,La Liga,Granada,Rayo Vallecano,Away,0,4,L,Luis Milla,Y,CM,62,0,0,2,1,1,0,0,0,1,1,0
2021-09-20,2021-2022,La Liga,Granada,Barcelona,Away,1,1,D,Luis Milla,Y,DM,90,0,0,0,0,0,0,1,0,3,1,1
2021-09-23,2021-2022,La Liga,Granada,Real Sociedad,Home,2,3,L,Luis Milla,Y,CM,78,1,0,1,1,0,0,0,0,0,0,0
2021-09-27,2021-2022,La Liga,Granada,Celta Vigo,Away,0,1,L,Luis Milla,Y,CM,90,0,0,0,0,0,0,0,0,3,0,0
2021-10-03,2021-2022,La Liga,Granada,Sevilla,Home,1,0,W,Luis Milla,Y,DM,85,0,0,0,0,0,0,1,0,2,1,0
2021-10-22,2021-2022,La Liga,Granada,Osasuna,Away,1,1,D,Luis Milla,Y,CM,90,0,1,0,0,0,0,1,0,2,1,0
2021-10-28,2021-2022,La Liga,Granada,Getafe,Home,1,1,D,Luis Milla,Y,CM,90,0,1,2,0,0,0,2,0,5,0,2
2021-11-01,2021-2022,La Liga,Granada,Levante,Away,3,0,W,Luis Milla,Y,CM,86,0,0,0,0,0,0,2,0,3,0,0
2021-12-03,2021-2022,La Liga,Granada,Alavés,Home,2,1,W,Luis Milla,Y,CM,79,0,0,0,0,0,0,2,0,6,1,2
2021-12-13,2021-2022,La Liga,Granada,Cádiz,Away,1,1,D,Luis Milla,Y,CM,90,0,0,1,0,0,0,0,0,5,0,0
2021-12-19,2021-2022,La Liga,Granada,Mallorca,Home,4,1,W,Luis Milla,Y,CM,90,0,0,1,0,1,0,2,0,9,2,0
2021-12-22,2021-2022,La Liga,Granada,Atlético Madrid,Home,2,1,W,Luis Milla,Y,CM,90,0,0,0,0,0,0,1,0,4,2,1
2022-01-02,2021-2022,La Liga,Granada,Elche,Away,0,0,D,Luis Milla,Y,CM,90,0,0,0,0,0,0,0,0,4,1,0
2022-01-08,2021-2022,La Liga,Granada,Barcelona,Home,1,1,D,Luis Milla,Y,CM,90,0,0,1,1,0,0,0,0,4,4,3
2022-01-20,2021-2022,La Liga,Granada,Getafe,Away,2,4,L,Luis Milla,Y,CM,90,0,0,1,0,1,0,2,0,3,2,1
2022-01-23,2021-2022,La Liga,Granada,Osasuna,Home,0,2,L,Luis Milla,Y,CM,90,0,0,0,0,0,0,2,0,5,1,2
