Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-20,2020-21,La Liga,Valladolid,Real Betis,Away,0,2,L,Luis Pérez,N,RB,77,0,0,0,0,0,0,0,2,1,4,1
2020-09-27,2020-21,La Liga,Valladolid,Celta Vigo,Home,1,1,D,Luis Pérez,Y,RB,90,0,0,0,0,0,0,1,1,2,2,1
2020-10-03,2020-21,La Liga,Valladolid,Eibar,Home,1,2,L,Luis Pérez,Y,RB,90,0,0,0,0,0,0,0,1,1,3,0
2020-10-18,2020-21,La Liga,Valladolid,Huesca,Away,2,2,D,Luis Pérez,Y,RB,90,0,0,0,0,0,0,4,0,2,0,1
2020-10-25,2020-21,La Liga,Valladolid,Alavés,Home,0,2,L,Luis Pérez,N,RB,11,0,0,1,0,0,0,0,0,1,0,0
2020-11-02,2020-21,La Liga,Valladolid,Villarreal,Away,0,2,L,Luis Pérez,Y,RB,45,0,0,0,0,0,0,1,0,1,3,1
2020-11-08,2020-21,La Liga,Valladolid,Athletic Club,Home,2,1,W,Luis Pérez,N,RB,33,0,0,0,0,0,0,2,0,0,0,0
2021-01-02,2020-21,La Liga,Valladolid,Getafe,Away,1,0,W,Luis Pérez,Y,RB,90,0,0,0,0,1,0,2,0,1,1,2
2021-01-10,2020-21,La Liga,Valladolid,Valencia,Home,0,1,L,Luis Pérez,Y,RB,80,0,0,0,0,0,0,0,2,5,1,3
2021-01-19,2020-21,La Liga,Valladolid,Elche,Home,2,2,D,Luis Pérez,Y,RB,71,0,0,0,0,0,0,1,1,2,3,0
2021-01-22,2020-21,La Liga,Valladolid,Levante,Away,2,2,D,Luis Pérez,Y,RB,90,0,0,0,0,0,0,0,2,5,3,1
2021-01-29,2020-21,La Liga,Valladolid,Huesca,Home,1,3,L,Luis Pérez,Y,RB,61,0,0,0,0,0,0,1,2,1,1,0
2021-02-05,2020-21,La Liga,Valladolid,Alavés,Away,0,1,L,Luis Pérez,Y,RB,90,0,0,0,0,0,0,1,1,2,0,2
2021-02-13,2020-21,La Liga,Valladolid,Eibar,Home,1,1,D,Luis Pérez,Y,RB,90,0,0,0,0,0,0,2,0,4,0,2
2021-02-20,2020-21,La Liga,Valladolid,Real Madrid,Home,0,1,L,Luis Pérez,Y,RB,90,0,0,0,0,0,0,0,2,1,0,1
2021-02-28,2020-21,La Liga,Valladolid,Celta Vigo,Away,1,1,D,Luis Pérez,N,RB,12,0,0,0,0,0,0,0,0,0,0,0
2021-03-06,2020-21,La Liga,Valladolid,Getafe,Home,2,1,W,Luis Pérez,N,RB,2,0,0,0,0,0,0,0,0,0,0,0
2021-03-13,2020-21,La Liga,Valladolid,Osasuna,Home,0,0,D,Luis Pérez,N,RB,1,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,2020-21,La Liga,Valladolid,Elche,Away,1,1,D,Luis Pérez,N,RB,15,0,0,0,0,0,0,0,0,2,0,0
2021-04-24,2020-21,La Liga,Valladolid,Cádiz,Home,1,1,D,Luis Pérez,Y,RB,90,0,0,1,0,0,0,0,1,2,1,2
2021-05-02,2020-21,La Liga,Valladolid,Real Betis,Home,1,1,D,Luis Pérez,Y,RB,53,0,0,0,0,0,0,0,2,5,2,0
2021-05-16,2020-21,La Liga,Valladolid,Real Sociedad,Away,1,4,L,Luis Pérez,Y,RB,26,0,0,0,0,0,0,0,0,2,0,0
2022-08-13,2022-2023,La Liga,Valladolid,Villarreal,Home,0,3,L,Luis Pérez,Y,RB,90,0,0,0,0,0,0,2,0,3,2,3
2022-08-19,2022-2023,La Liga,Valladolid,Sevilla,Away,1,1,D,Luis Pérez,Y,RB,90,0,0,0,0,1,0,2,0,0,3,0
2022-08-28,2022-2023,La Liga,Valladolid,Barcelona,Away,0,4,L,Luis Pérez,Y,RB,90,0,0,0,0,0,0,0,0,1,0,1
2022-09-05,2022-2023,La Liga,Valladolid,Almería,Home,1,0,W,Luis Pérez,Y,RB,90,0,0,0,0,0,0,0,0,4,1,0
2022-09-09,2022-2023,La Liga,Valladolid,Girona,Away,1,2,L,Luis Pérez,Y,RB,27,0,0,0,0,0,0,2,0,2,2,1
2022-12-30,2022-2023,La Liga,Valladolid,Real Madrid,Home,0,2,L,Luis Pérez,N,N/A,32,0,0,0,0,0,0,0,1,1,0,0
2023-01-21,2022-2023,La Liga,Valladolid,Atlético Madrid,Away,0,3,L,Luis Pérez,Y,RB,59,0,0,0,0,0,0,1,2,3,1,0
2023-01-29,2022-2023,La Liga,Valladolid,Valencia,Home,1,0,W,Luis Pérez,N,N/A,45,0,0,1,0,0,0,0,2,2,0,0
2023-02-05,2022-2023,La Liga,Valladolid,Real Sociedad,Away,1,0,W,Luis Pérez,Y,RB,90,0,1,0,0,0,0,1,0,3,4,1
2023-02-12,2022-2023,La Liga,Valladolid,Osasuna,Home,0,0,D,Luis Pérez,Y,RB,90,0,0,0,0,0,0,1,1,5,1,3
2023-02-18,2022-2023,La Liga,Valladolid,Real Betis,Away,1,2,L,Luis Pérez,Y,RB,90,0,0,0,0,1,0,1,2,9,3,3
2023-02-26,2022-2023,La Liga,Valladolid,Celta Vigo,Away,0,3,L,Luis Pérez,Y,RB,90,0,0,3,0,0,0,1,0,2,2,3
2023-04-02,2022-2023,La Liga,Valladolid,Real Madrid,Away,0,6,L,Luis Pérez,Y,RM,45,0,0,0,0,0,0,0,0,4,1,0
2023-04-15,2022-2023,La Liga,Valladolid,Villarreal,Away,2,1,W,Luis Pérez,Y,DM,90,0,0,0,0,0,0,1,0,4,2,0
2023-04-22,2022-2023,La Liga,Valladolid,Girona,Home,1,0,W,Luis Pérez,N,N/A,20,0,0,0,0,0,0,0,0,0,1,0
2023-04-30,2022-2023,La Liga,Valladolid,Atlético Madrid,Home,2,5,L,Luis Pérez,Y,DM,90,0,0,0,0,0,0,0,1,8,0,1
2023-05-04,2022-2023,La Liga,Valladolid,Rayo Vallecano,Away,1,2,L,Luis Pérez,Y,DM,24,0,0,0,0,0,0,2,2,0,1,0
