Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-18,2019-2020,La Liga,Alavés,Levante,Home,1,0,W,Luis Rioja,Y,LW,82,0,0,1,0,0,0,0,1,5,0,0
2019-08-25,2019-2020,La Liga,Alavés,Espanyol,Home,0,0,D,Luis Rioja,Y,LW,67,0,0,1,0,0,0,0,1,6,0,0
2019-08-31,2019-2020,La Liga,Alavés,Getafe,Away,1,1,D,Luis Rioja,N,,23,0,0,0,0,0,0,0,0,1,0,0
2019-09-22,2019-2020,La Liga,Alavés,Athletic Club,Away,0,2,L,Luis Rioja,Y,LW,90,0,0,0,0,0,0,1,0,4,0,1
2019-09-29,2019-2020,La Liga,Alavés,Mallorca,Home,2,0,W,Luis Rioja,Y,LM,87,0,0,1,1,0,0,2,0,6,0,0
2019-10-05,2019-2020,La Liga,Alavés,Valencia,Away,1,2,L,Luis Rioja,Y,LM,90,0,0,0,0,0,0,0,2,1,1,1
2019-10-20,2019-2020,La Liga,Alavés,Celta Vigo,Home,2,0,W,Luis Rioja,Y,LM,70,0,0,0,0,0,0,1,1,2,0,0
2019-10-25,2019-2020,La Liga,Alavés,Villarreal,Away,1,4,L,Luis Rioja,Y,LM,66,0,0,0,0,0,0,0,1,2,0,2
2019-10-29,2019-2020,La Liga,Alavés,Atlético Madrid,Home,1,1,D,Luis Rioja,Y,LM,67,0,0,1,0,0,0,1,0,2,0,1
2019-11-09,2019-2020,La Liga,Alavés,Valladolid,Away,0,3,L,Luis Rioja,Y,LM,60,0,0,0,0,0,0,3,0,2,0,2
2019-11-30,2019-2020,La Liga,Alavés,Real Madrid,Home,1,2,L,Luis Rioja,Y,LM,59,0,0,0,0,0,0,1,1,2,1,3
2019-12-07,2019-2020,La Liga,Alavés,Granada,Away,0,3,L,Luis Rioja,Y,LM,58,0,0,0,0,0,0,1,1,4,0,0
2019-12-13,2019-2020,La Liga,Alavés,Leganés,Home,1,1,D,Luis Rioja,N,,20,0,0,0,0,0,0,0,0,1,0,0
2019-12-21,2019-2020,La Liga,Alavés,Barcelona,Away,1,4,L,Luis Rioja,N,,38,0,0,0,0,0,0,0,0,1,0,2
2020-01-05,2019-2020,La Liga,Alavés,Real Betis,Home,1,1,D,Luis Rioja,Y,LM,90,0,0,0,0,0,0,2,1,3,1,0
2020-01-18,2019-2020,La Liga,Alavés,Levante,Away,1,0,W,Luis Rioja,Y,LM,63,0,0,1,0,0,0,1,0,1,0,3
2020-01-25,2019-2020,La Liga,Alavés,Villarreal,Home,1,2,L,Luis Rioja,Y,LM,58,0,0,0,0,0,0,1,0,3,1,0
2020-02-02,2019-2020,La Liga,Alavés,Sevilla,Away,1,1,D,Luis Rioja,N,,33,0,0,1,0,0,0,0,0,0,1,0
2020-03-06,2019-2020,La Liga,Alavés,Valencia,Home,1,1,D,Luis Rioja,Y,LM,64,0,0,1,0,0,0,0,1,2,1,0
2020-06-13,2019-2020,La Liga,Alavés,Espanyol,Away,0,2,L,Luis Rioja,N,,36,0,0,0,0,0,0,1,0,1,0,0
2020-06-18,2019-2020,La Liga,Alavés,Real Sociedad,Home,2,0,W,Luis Rioja,Y,LW,89,0,0,1,1,0,0,1,2,0,1,0
2020-06-21,2019-2020,La Liga,Alavés,Celta Vigo,Away,0,6,L,Luis Rioja,N,,8,0,0,0,0,0,0,0,0,1,0,0
2020-06-24,2019-2020,La Liga,Alavés,Osasuna,Home,0,1,L,Luis Rioja,Y,LM,71,0,0,0,0,0,0,0,0,1,0,0
2020-06-27,2019-2020,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Luis Rioja,N,,13,0,0,0,0,0,0,0,0,1,0,0
2020-07-01,2019-2020,La Liga,Alavés,Granada,Home,0,2,L,Luis Rioja,Y,LM,61,0,0,0,0,0,0,1,1,2,1,1
2020-07-10,2019-2020,La Liga,Alavés,Real Madrid,Away,0,2,L,Luis Rioja,N,,36,0,0,0,0,0,0,1,1,0,0,0
2020-07-16,2019-2020,La Liga,Alavés,Real Betis,Away,2,1,W,Luis Rioja,Y,LM,90,0,0,0,0,0,0,2,2,1,1,0
2020-07-19,2019-2020,La Liga,Alavés,Barcelona,Home,0,5,L,Luis Rioja,N,,45,0,0,1,0,0,0,0,0,2,0,0
2020-09-13,2020-2021,La Liga,Alavés,Real Betis,Home,0,1,L 0-1,Luis Rioja,Y,LW,65,0,0,0,0,1,0,2,0,2,1,1
2020-09-20,2020-2021,La Liga,Alavés,Granada,Away,1,2,L 1-2,Luis Rioja,Y,LM,71,0,0,0,0,0,0,1,0,7,1,0
2020-09-26,2020-2021,La Liga,Alavés,Getafe,Home,0,0,D 0-0,Luis Rioja,Y,LM,68,0,0,0,0,0,0,0,0,1,0,0
2020-09-30,2020-2021,La Liga,Alavés,Villarreal,Away,1,3,L 1-3,Luis Rioja,N,,25,0,0,0,0,0,0,0,0,3,1,0
