Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2008-08-16,2008-2009,Premier League,Tottenham Hotspur,Middlesbrough,Away,1,2,L,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-08-23,2008-2009,Premier League,Tottenham Hotspur,Sunderland,Home,1,2,L,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-08-31,2008-2009,Premier League,Tottenham Hotspur,Chelsea,Away,1,1,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-09-15,2008-2009,Premier League,Tottenham Hotspur,Aston Villa,Home,1,2,L,Luka Modrić,Y,,28,0,0,0,0,0,0,0,0,0,0,0
2008-10-05,2008-2009,Premier League,Tottenham Hotspur,Hull City,Home,0,1,L,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-10-19,2008-2009,Premier League,Tottenham Hotspur,Stoke City,Away,1,2,L,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-10-26,2008-2009,Premier League,Tottenham Hotspur,Bolton Wanderers,Home,2,0,W,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-10-29,2008-2009,Premier League,Tottenham Hotspur,Arsenal,Away,4,4,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,2008-2009,Premier League,Tottenham Hotspur,Liverpool,Home,2,1,W,Luka Modrić,Y,,74,0,0,0,0,0,0,0,0,0,0,0
2008-11-09,2008-2009,Premier League,Tottenham Hotspur,Manchester City,Away,2,1,W,Luka Modrić,Y,,70,0,0,0,0,0,0,0,0,0,0,0
2008-11-15,2008-2009,Premier League,Tottenham Hotspur,Fulham,Away,1,2,L,Luka Modrić,Y,,45,0,0,0,0,0,0,0,0,0,0,0
2008-12-08,2008-2009,Premier League,Tottenham Hotspur,West Ham United,Away,2,0,W,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-12-13,2008-2009,Premier League,Tottenham Hotspur,Manchester Utd,Home,0,0,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-12-21,2008-2009,Premier League,Tottenham Hotspur,Newcastle United,Home,1,2,L,Luka Modrić,Y,,90,1,0,0,0,1,0,0,0,0,0,0
2008-12-26,2008-2009,Premier League,Tottenham Hotspur,Fulham,Home,0,0,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2008-12-28,2008-2009,Premier League,Tottenham Hotspur,West Brom,Away,0,2,L,Luka Modrić,Y,,74,0,0,0,0,0,0,0,0,0,0,0
2009-01-11,2008-2009,Premier League,Tottenham Hotspur,Wigan Athletic,Away,0,1,L,Luka Modrić,Y,,56,0,0,0,0,0,0,0,0,0,0,0
2009-01-18,2008-2009,Premier League,Tottenham Hotspur,Portsmouth,Home,1,1,D,Luka Modrić,Y,,90,0,1,0,0,0,0,0,0,0,0,0
2009-01-27,2008-2009,Premier League,Tottenham Hotspur,Stoke City,Home,3,1,W,Luka Modrić,Y,,90,0,1,0,0,0,0,0,0,0,0,0
2009-01-31,2008-2009,Premier League,Tottenham Hotspur,Bolton Wanderers,Away,2,3,L,Luka Modrić,Y,,45,0,0,0,0,0,0,0,0,0,0,0
2009-02-08,2008-2009,Premier League,Tottenham Hotspur,Arsenal,Home,0,0,D,Luka Modrić,Y,,90,0,0,0,0,1,0,0,0,0,0,0
2009-02-23,2008-2009,Premier League,Tottenham Hotspur,Hull City,Away,2,1,W,Luka Modrić,Y,,90,0,1,0,0,1,0,0,0,0,0,0
2009-03-04,2008-2009,Premier League,Tottenham Hotspur,Middlesbrough,Home,4,0,W,Luka Modrić,Y,,72,0,1,0,0,0,0,0,0,0,0,0
2009-03-07,2008-2009,Premier League,Tottenham Hotspur,Sunderland,Away,1,1,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2009-03-15,2008-2009,Premier League,Tottenham Hotspur,Aston Villa,Away,2,1,W,Luka Modrić,Y,,81,0,0,0,0,1,0,0,0,0,0,0
2009-03-21,2008-2009,Premier League,Tottenham Hotspur,Chelsea,Home,1,0,W,Luka Modrić,Y,,86,1,0,0,0,1,0,0,0,0,0,0
2009-04-04,2008-2009,Premier League,Tottenham Hotspur,Blackburn Rovers,Away,1,2,L,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2009-04-11,2008-2009,Premier League,Tottenham Hotspur,West Ham United,Home,1,0,W,Luka Modrić,Y,,90,0,1,0,0,0,0,0,0,0,0,0
2009-04-19,2008-2009,Premier League,Tottenham Hotspur,Newcastle United,Home,1,0,W,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2009-04-25,2008-2009,Premier League,Tottenham Hotspur,Manchester Utd,Away,2,5,L,Luka Modrić,Y,,85,1,0,0,0,0,0,0,0,0,0,0
2009-05-02,2008-2009,Premier League,Tottenham Hotspur,West Brom,Home,1,0,W,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2009-05-09,2008-2009,Premier League,Tottenham Hotspur,Everton,Away,0,0,D,Luka Modrić,Y,,80,0,0,0,0,0,0,0,0,0,0,0
2009-05-16,2008-2009,Premier League,Tottenham Hotspur,Manchester City,Home,2,1,W,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2009-05-24,2008-2009,Premier League,Tottenham Hotspur,Liverpool,Away,1,3,L,Luka Modrić,Y,,90,0,1,0,0,0,0,0,0,0,0,0
2009-08-16,2009-2010,Premier League,Tottenham Hotspur,Liverpool,Home,2,1,W,Luka Modrić,Y,,82,0,1,0,0,0,0,0,0,0,0,0
2009-08-19,2009-2010,Premier League,Tottenham Hotspur,Hull City,Away,5,1,W,Luka Modrić,Y,,84,0,0,0,0,0,0,0,0,0,0,0
2009-08-23,2009-2010,Premier League,Tottenham Hotspur,West Ham United,Away,2,1,W,Luka Modrić,Y,,85,0,0,0,0,0,0,0,0,0,0,0
2009-08-29,2009-2010,Premier League,Tottenham Hotspur,Birmingham City,Home,2,1,W,Luka Modrić,Y,,48,0,0,0,0,0,0,0,0,0,0,0
2009-12-12,2009-2010,Premier League,Tottenham Hotspur,Wolves,Home,0,1,L,Luka Modrić,N,,32,0,0,0,0,0,0,0,0,0,0,0
2009-12-26,2009-2010,Premier League,Tottenham Hotspur,Fulham,Away,0,0,D,Luka Modrić,N,,20,0,0,0,0,0,0,0,0,0,0,0
2009-12-28,2009-2010,Premier League,Tottenham Hotspur,West Ham United,Home,2,0,W,Luka Modrić,Y,,82,1,0,0,0,0,0,0,0,0,0,0
2010-01-16,2009-2010,Premier League,Tottenham Hotspur,Hull City,Home,0,0,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2010-01-20,2009-2010,Premier League,Tottenham Hotspur,Liverpool,Away,0,2,L,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2010-01-26,2009-2010,Premier League,Tottenham Hotspur,Fulham,Home,2,0,W,Luka Modrić,Y,,90,0,1,0,0,0,0,0,0,0,0,0
2010-01-30,2009-2010,Premier League,Tottenham Hotspur,Birmingham City,Away,1,1,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2010-02-06,2009-2010,Premier League,Tottenham Hotspur,Aston Villa,Home,0,0,D,Luka Modrić,Y,,90,0,0,0,0,0,0,0,0,0,0,0
