Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-06-24,2019-20,La Liga,Mallorca,Real Madrid,Away,0,2,L,Luka Romero,N,-,8,0,0,0,0,0,0,1,0,0,0,0
2021-08-28,2021-22,Serie A,Lazio,Spezia,Home,6,1,W,Luka Romero,N,-,10,0,0,0,0,0,0,0,0,0,0,0
2022-01-15,2021-22,Serie A,Lazio,Salernitana,Away,3,0,W,Luka Romero,N,-,8,0,0,1,1,0,0,1,0,1,0,0
2022-03-05,2021-22,Serie A,Lazio,Cagliari,Away,3,0,W,Luka Romero,N,-,7,0,0,0,0,0,0,0,0,0,0,0
2022-03-20,2021-22,Serie A,Lazio,Roma,Away,0,3,L,Luka Romero,N,-,26,0,0,0,0,0,0,1,0,0,1,0
2022-04-16,2021-22,Serie A,Lazio,Torino,Home,1,1,D,Luka Romero,N,-,6,0,0,0,0,0,0,1,0,0,0,0
2022-04-30,2021-22,Serie A,Lazio,Spezia,Away,4,3,W,Luka Romero,N,-,1,0,0,0,0,0,0,1,0,0,0,0
2022-05-07,2021-22,Serie A,Lazio,Sampdoria,Home,2,0,W,Luka Romero,N,-,8,0,0,0,0,0,0,1,0,0,0,0
2022-05-21,2021-22,Serie A,Lazio,Hellas Verona,Home,3,3,D,Luka Romero,N,-,18,0,0,0,0,0,0,0,0,0,1,0
2022-11-06,2022-23,Serie A,Lazio,Roma,Away,1,0,W,Luka Romero,N,-,6,0,0,0,0,0,0,0,0,0,0,0
2022-11-10,2022-23,Serie A,Lazio,Monza,Home,1,0,W,Luka Romero,N,-,45,1,0,2,1,0,0,2,0,0,0,1
2022-11-13,2022-23,Serie A,Lazio,Juventus,Away,0,3,L,Luka Romero,Y,FW,68,0,0,1,0,0,0,0,3,0,0,1
2023-01-04,2022-23,Serie A,Lazio,Lecce,Away,1,2,L,Luka Romero,N,-,6,0,0,0,0,0,0,0,0,0,0,0
2023-01-24,2022-23,Serie A,Lazio,Milan,Home,4,0,W,Luka Romero,N,-,13,0,0,1,0,0,0,0,0,0,0,0
2023-02-19,2022-23,Serie A,Lazio,Salernitana,Away,2,0,W,Luka Romero,N,-,13,0,0,1,0,0,0,1,0,0,0,0
2023-09-27,2023-24,Serie A,Milan,Cagliari,Away,3,1,W,Luka Romero,N,-,22,0,0,0,0,0,0,1,0,0,0,0
2023-10-22,2023-24,Serie A,Milan,Juventus,Home,0,1,L,Luka Romero,N,-,12,0,0,0,0,0,0,0,0,1,0,0
2023-10-29,2023-24,Serie A,Milan,Napoli,Away,2,2,D,Luka Romero,N,-,45,0,0,1,0,1,0,2,0,0,0,0
2023-11-04,2023-24,Serie A,Milan,Udinese,Home,0,1,L,Luka Romero,N,-,9,0,0,0,0,0,0,0,0,1,1,0
2024-01-26,2023-24,La Liga,Almería,Alavés,Home,0,3,L,Luka Romero,N,-,12,0,0,0,0,0,0,0,0,1,0,0
2024-02-03,2023-24,La Liga,Almería,Valencia,Away,1,2,L,Luka Romero,N,-,30,0,0,0,0,0,0,0,2,0,0,0
2024-02-24,2023-24,La Liga,Almería,Atlético Madrid,Home,2,2,D,Luka Romero,Y,AM,68,2,0,4,2,0,0,1,2,0,0,0
2024-03-01,2023-24,La Liga,Almería,Celta Vigo,Away,0,1,L,Luka Romero,Y,AM,44,0,0,0,0,0,0,1,0,0,0,0
2024-03-11,2023-24,La Liga,Almería,Sevilla,Home,2,2,D,Luka Romero,Y,AM,65,0,0,1,0,0,0,2,1,0,0,0
2024-03-30,2023-24,La Liga,Almería,Osasuna,Home,0,3,L,Luka Romero,N,-,28,0,0,0,0,1,0,0,0,1,0,0
2024-04-14,2023-24,La Liga,Almería,Real Sociedad,Away,2,2,D,Luka Romero,Y,AM,45,0,0,0,0,1,0,1,0,0,0,0
2024-04-21,2023-24,La Liga,Almería,Villarreal,Home,1,2,L,Luka Romero,N,-,6,0,0,0,0,0,0,0,0,0,0,0
2024-04-27,2023-24,La Liga,Almería,Getafe,Home,1,3,L,Luka Romero,N,-,11,0,0,0,0,0,0,0,0,0,0,0
2024-05-12,2023-24,La Liga,Almería,Real Betis,Away,2,3,L,Luka Romero,N,-,26,1,0,2,1,0,0,1,2,0,0,1
2024-05-16,2023-24,La Liga,Almería,Barcelona,Home,0,2,L,Luka Romero,N,-,32,0,0,0,0,0,0,1,0,0,1,0
2024-05-19,2023-24,La Liga,Almería,Mallorca,Away,2,2,D,Luka Romero,Y,AM,64,0,0,1,0,1,0,1,4,0,0,0
2024-05-25,2023-24,La Liga,Almería,Cádiz,Home,6,1,W,Luka Romero,N,-,7,0,0,0,0,0,0,0,0,0,0,0
2024-08-16,2024-25,La Liga,Alavés,Celta Vigo,Away,1,2,L,Luka Romero,Y,AM,57,0,0,0,0,0,0,1,1,3,0,1
2024-08-25,2024-25,La Liga,Alavés,Real Betis,Home,0,0,D,Luka Romero,N,-,30,0,0,0,0,0,0,1,0,0,1,0
2024-09-01,2024-25,La Liga,Alavés,Las Palmas,Home,2,0,W,Luka Romero,N,-,9,0,0,1,1,0,0,1,0,0,1,0
2024-09-24,2024-25,La Liga,Alavés,Real Madrid,Away,2,3,L,Luka Romero,Y,FW,59,0,0,1,0,0,0,1,0,2,2,0
2024-10-18,2024-25,La Liga,Alavés,Valladolid,Home,2,3,L,Luka Romero,N,-,30,0,0,0,0,0,0,0,0,0,0,0
2024-11-30,2024-25,La Liga,Alavés,Leganés,Home,1,1,D,Luka Romero,N,-,14,0,0,0,0,0,0,1,0,5,0,0
