Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-09-27,2015-2016,La Liga,Espanyol,Dep La Coruña,Away,0,3,L,Mamadou Sylla,N,,34,0,0,0,0,0,0,0,0,0,1,0
2015-10-23,2015-2016,La Liga,Espanyol,Rayo Vallecano,Away,0,3,L,Mamadou Sylla,N,,14,0,0,1,0,0,0,1,0,0,1,0
2015-11-01,2015-2016,La Liga,Espanyol,Granada,Home,1,1,D,Mamadou Sylla,N,,28,0,0,0,0,0,0,1,0,1,0,0
2015-11-08,2015-2016,La Liga,Espanyol,Athletic Club,Away,1,2,L,Mamadou Sylla,N,,16,0,0,0,0,1,0,2,0,0,0,0
2015-11-28,2015-2016,La Liga,Espanyol,Atlético Madrid,Away,0,1,L,Mamadou Sylla,N,,9,0,0,1,0,0,0,1,0,0,0,0
2015-12-12,2015-2016,La Liga,Espanyol,Celta Vigo,Away,0,1,L,Mamadou Sylla,N,,45,0,0,0,0,0,0,1,0,0,0,0
2016-01-31,2015-2016,La Liga,Espanyol,Real Madrid,Away,0,6,L,Mamadou Sylla,Y,FW,90,0,0,2,0,1,0,5,1,1,1,0
2016-02-13,2015-2016,La Liga,Espanyol,Valencia,Away,1,2,L,Mamadou Sylla,Y,FW,11,0,0,1,0,0,0,1,0,0,0,0
2016-03-14,2015-2016,La Liga,Espanyol,Granada,Away,1,1,D,Mamadou Sylla,N,,21,0,0,1,1,0,0,0,0,1,0,0
2016-03-20,2015-2016,La Liga,Espanyol,Athletic Club,Home,2,1,W,Mamadou Sylla,N,,7,0,0,1,0,0,0,0,0,0,1,0
2016-04-03,2015-2016,La Liga,Espanyol,Málaga,Away,1,1,D,Mamadou Sylla,N,,2,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,2015-2016,La Liga,Espanyol,Atlético Madrid,Home,1,3,L,Mamadou Sylla,N,,17,0,0,1,0,0,0,1,0,1,1,0
2016-04-22,2015-2016,La Liga,Espanyol,Las Palmas,Away,0,4,L,Mamadou Sylla,N,,37,0,0,0,0,1,0,2,0,0,0,0
2016-05-15,2015-2016,La Liga,Espanyol,Eibar,Home,4,2,W,Mamadou Sylla,N,,8,0,0,0,0,0,0,0,0,0,0,0
2021-08-27,2021-2022,La Liga,Alavés,Valencia,Away,0,3,L,Mamadou Sylla,N,,29,0,0,0,0,0,0,0,0,1,0,0
2021-09-18,2021-2022,La Liga,Alavés,Osasuna,Home,0,2,L,Mamadou Sylla,Y,FW,63,0,0,0,0,0,0,1,1,1,1,1
2021-09-22,2021-2022,La Liga,Alavés,Espanyol,Away,0,1,L,Mamadou Sylla,N,,31,0,0,0,0,0,0,1,0,2,0,0
2021-09-25,2021-2022,La Liga,Alavés,Atlético Madrid,Home,1,0,W,Mamadou Sylla,Y,FW,60,0,0,0,0,1,0,3,0,1,0,0
2021-10-01,2021-2022,La Liga,Alavés,Athletic Club,Away,0,1,L,Mamadou Sylla,Y,FW,45,0,0,1,0,0,0,0,1,1,0,0
