Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-12-14,2019-2020,La Liga,Atletico Madrid,Osasuna,Home,2,0,W,Manu Sánchez,Y,LB,62,0,0,0,0,1,0,2,1,4,0,0
2020-06-20,2019-2020,La Liga,Atletico Madrid,Valladolid,Home,1,0,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,2,0,1,0,3
2020-07-03,2019-2020,La Liga,Atletico Madrid,Mallorca,Home,3,0,W,Manu Sánchez,Y,LB,61,0,0,0,0,0,0,3,0,1,3,1
2020-07-07,2019-2020,La Liga,Atletico Madrid,Celta Vigo,Away,1,1,D,Manu Sánchez,N,LB,22,0,0,0,0,0,0,1,1,1,1,2
2020-07-16,2019-2020,La Liga,Atletico Madrid,Getafe,Away,2,0,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,0,0,0,2,1
2020-10-17,2020-2021,La Liga,Atletico Madrid,Celta Vigo,Away,2,0,W,Manu Sánchez,Y,LB,49,0,1,0,0,0,0,0,0,0,0,0
2021-01-21,2020-2021,La Liga,Osasuna,Valencia,Away,1,1,D,Manu Sánchez,N,LB,16,0,0,0,1,0,1,1,0,1,0,0
2021-01-24,2020-2021,La Liga,Osasuna,Granada,Home,3,1,W,Manu Sánchez,Y,LB,45,0,0,0,0,0,1,1,0,1,1,0
2021-02-01,2020-2021,La Liga,Osasuna,Real Betis,Away,0,1,L,Manu Sánchez,N,LB,27,0,0,0,0,0,0,0,0,0,1,1
2021-02-07,2020-2021,La Liga,Osasuna,Eibar,Home,2,1,W,Manu Sánchez,Y,LB,90,0,1,0,0,0,0,0,1,3,1,0
2021-02-14,2020-2021,La Liga,Osasuna,Levante,Away,1,0,W,Manu Sánchez,N,LB,20,0,0,0,0,0,0,1,0,1,0,1
2021-02-22,2020-2021,La Liga,Osasuna,Sevilla,Home,0,2,L,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,0,1,3,1,1
2021-03-06,2020-2021,La Liga,Osasuna,Barcelona,Home,0,2,L,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,1,0,2,2,2
2021-03-13,2020-2021,La Liga,Osasuna,Valladolid,Home,0,0,D,Manu Sánchez,Y,LB,90,0,0,0,2,1,0,0,1,2,3,0
2021-03-20,2020-2021,La Liga,Osasuna,Huesca,Away,0,0,D,Manu Sánchez,N,LB,2,0,0,0,0,0,0,0,0,0,0,0
2021-04-11,2020-2021,La Liga,Osasuna,Villarreal,Away,2,1,W,Manu Sánchez,N,LB,30,0,1,0,0,0,0,0,0,1,2,0
2021-04-18,2020-2021,La Liga,Osasuna,Elche,Home,2,0,W,Manu Sánchez,Y,LB,74,0,1,0,0,1,0,5,0,2,1,0
2021-04-21,2020-2021,La Liga,Osasuna,Valencia,Home,3,1,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,3,2,4,1,0
2021-04-25,2020-2021,La Liga,Osasuna,Celta Vigo,Away,1,2,L,Manu Sánchez,N,LB,45,0,0,0,0,1,0,1,0,1,0,0
2021-05-01,2020-2021,La Liga,Osasuna,Real Madrid,Away,0,2,L,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,2,1,1,2,0
2021-05-11,2020-2021,La Liga,Osasuna,Cádiz,Home,3,2,W,Manu Sánchez,Y,LB,87,0,1,0,0,0,0,0,0,2,0,1
2021-05-22,2020-2021,La Liga,Osasuna,Real Sociedad,Home,0,1,L,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,1,1,4,1,2
2021-08-23,2021-2022,La Liga,Osasuna,Celta Vigo,Home,0,0,D,Manu Sánchez,Y,LB,82,0,0,0,0,1,0,2,0,0,3,1
2021-08-29,2021-2022,La Liga,Osasuna,Cádiz,Away,3,2,W,Manu Sánchez,Y,LB,86,0,0,0,0,0,0,0,0,0,2,1
2021-09-12,2021-2022,La Liga,Osasuna,Valencia,Home,1,4,L,Manu Sánchez,Y,LB,81,0,0,0,0,0,0,1,1,0,3,1
2021-09-18,2021-2022,La Liga,Osasuna,Alavés,Away,2,0,W,Manu Sánchez,Y,LB,90,0,0,0,0,1,0,3,1,0,1,3
2021-09-23,2021-2022,La Liga,Osasuna,Real Betis,Home,1,3,L,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,2,1,0,2,1
2021-09-26,2021-2022,La Liga,Osasuna,Mallorca,Away,3,2,W,Manu Sánchez,N,LB,10,0,1,0,0,0,0,0,0,0,0,0
2021-10-02,2021-2022,La Liga,Osasuna,Rayo Vallecano,Home,1,0,W,Manu Sánchez,Y,LB,90,1,0,0,1,1,0,0,0,3,4,1
2021-10-17,2021-2022,La Liga,Osasuna,Villarreal,Away,2,1,W,Manu Sánchez,Y,LB,90,0,1,0,0,0,0,2,0,2,0,1
2021-10-22,2021-2022,La Liga,Osasuna,Granada,Home,1,1,D,Manu Sánchez,N,LB,12,0,0,0,0,0,0,0,0,0,0,0
2021-10-27,2021-2022,La Liga,Osasuna,Real Madrid,Away,0,0,D,Manu Sánchez,Y,LB,90,0,0,0,1,0,0,0,2,0,2,1
2021-11-07,2021-2022,La Liga,Osasuna,Real Sociedad,Home,0,2,L,Manu Sánchez,Y,LB,82,0,0,0,0,0,0,3,2,0,2,4
2021-11-20,2021-2022,La Liga,Osasuna,Atlético Madrid,Away,0,1,L,Manu Sánchez,Y,LB,88,0,0,0,0,0,0,0,1,0,2,1
2021-11-29,2021-2022,La Liga,Osasuna,Elche,Home,1,1,D,Manu Sánchez,N,LB,4,0,0,0,0,1,0,1,0,0,0,0
2021-12-05,2021-2022,La Liga,Osasuna,Levante,Away,0,0,D,Manu Sánchez,Y,LB,89,0,0,0,0,0,0,0,1,0,4,1
2021-12-12,2021-2022,La Liga,Osasuna,Barcelona,Home,2,2,D,Manu Sánchez,Y,LW,72,0,0,0,0,1,0,1,2,0,2,0
2021-12-19,2021-2022,La Liga,Osasuna,Getafe,Away,0,1,L,Manu Sánchez,Y,LB,90,0,0,0,1,0,0,1,1,0,1,3
2022-01-03,2021-2022,La Liga,Osasuna,Athletic Club,Home,1,3,L,Manu Sánchez,N,LB,9,0,0,0,0,0,0,0,0,0,2,1
2022-01-09,2021-2022,La Liga,Osasuna,Cádiz,Home,2,0,W,Manu Sánchez,N,LB,15,0,0,0,0,0,0,1,0,0,0,0
2022-01-19,2021-2022,La Liga,Osasuna,Celta Vigo,Away,0,2,L,Manu Sánchez,N,LB,12,0,0,0,0,0,0,0,0,0,2,0
2022-01-23,2021-2022,La Liga,Osasuna,Granada,Away,2,0,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,0,0,2,0,0
2022-02-05,2021-2022,La Liga,Osasuna,Sevilla,Home,0,0,D,Manu Sánchez,Y,LB,90,0,0,0,0,1,0,2,0,2,2,0
2022-02-12,2021-2022,La Liga,Osasuna,Rayo Vallecano,Away,3,0,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,1,1,0,2,1
2022-02-19,2021-2022,La Liga,Osasuna,Atlético Madrid,Home,0,3,L,Manu Sánchez,Y,LB,75,0,0,0,0,0,0,0,1,0,4,0
2022-02-27,2021-2022,La Liga,Osasuna,Real Sociedad,Away,0,1,L,Manu Sánchez,Y,LB,81,0,0,0,0,0,0,0,0,0,1,2
2022-03-05,2021-2022,La Liga,Osasuna,Villarreal,Home,1,0,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,2,0,1,2,1
2022-03-19,2021-2022,La Liga,Osasuna,Levante,Home,3,1,W,Manu Sánchez,Y,LB,90,0,0,0,0,0,0,0,0,3,0,0
2022-04-03,2021-2022,La Liga,Osasuna,Real Betis,Away,1,4,L,Manu Sánchez,Y,LB,45,0,0,0,0,0,0,0,0,0,0,0
2022-04-10,2021-2022,La Liga,Osasuna,Alavés,Home,1,0,W,Manu Sánchez,N,LB,30,0,1,0,0,0,0,0,0,2,1,0
