Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-02-14,2009-2010,La Liga,Barcelona,Atlético Madrid,Away,1,2,L,Marc Bartra,N,,30,0,0,0,0,0,0,0,0,0,0,0
2011-05-15,2010-2011,La Liga,Barcelona,Dep La Coruña,Home,0,0,Draw,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2011-05-21,2010-2011,La Liga,Barcelona,Málaga,Away,3,1,Win,Marc Bartra,Y,,90,1,0,0,0,0,0,,,,,0
2012-05-02,2011-2012,La Liga,Barcelona,Málaga,Home,4,1,W,Marc Bartra,N,,24,0,0,0,0,0,0,0,0,0,0,0
2012-10-27,2012-2013,La Liga,Barcelona,Rayo Vallecano,Away,5,0,Win,Marc Bartra,N,,11,0,0,,,0,0,,,,,0
2012-11-03,2012-2013,La Liga,Barcelona,Celta Vigo,Home,3,1,Win,Marc Bartra,N,,45,0,0,,,1,0,,,,,0
2012-11-11,2012-2013,La Liga,Barcelona,Mallorca,Away,4,2,Win,Marc Bartra,N,,7,0,0,,,0,0,,,,,0
2012-11-17,2012-2013,La Liga,Barcelona,Zaragoza,Home,3,1,Win,Marc Bartra,N,,17,0,0,,,0,0,,,,,0
2013-03-30,2012-2013,La Liga,Barcelona,Celta Vigo,Away,2,2,Draw,Marc Bartra,Y,,90,0,0,,,0,0,,,,,0
2013-04-06,2012-2013,La Liga,Barcelona,Mallorca,Home,5,0,Win,Marc Bartra,Y,,90,0,0,,,0,0,,,,,0
2013-04-14,2012-2013,La Liga,Barcelona,Zaragoza,Away,3,0,Win,Marc Bartra,Y,,90,0,0,,,0,0,,,,,0
2013-05-12,2012-2013,La Liga,Barcelona,Atlético Madrid,Away,2,1,Win,Marc Bartra,N,,50,0,0,,,0,0,,,,,0
2013-09-24,2013-2014,La Liga,Barcelona,Real Sociedad,Home,4,1,W,Marc Bartra,N,,57,1,0,0,0,0,0,0,0,0,0,0
2013-09-28,2013-2014,La Liga,Barcelona,Almería,Away,2,0,W,Marc Bartra,Y,,90,0,0,0,0,1,0,0,0,0,0,0
2013-10-05,2013-2014,La Liga,Barcelona,Valladolid,Home,4,1,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-10-19,2013-2014,La Liga,Barcelona,Osasuna,Away,0,0,D,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-10-29,2013-2014,La Liga,Barcelona,Celta Vigo,Away,3,0,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,2013-2014,La Liga,Barcelona,Espanyol,Home,1,0,W,Marc Bartra,N,,3,0,0,0,0,0,0,0,0,0,0,0
2013-11-10,2013-2014,La Liga,Barcelona,Real Betis,Away,4,1,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-11-23,2013-2014,La Liga,Barcelona,Granada,Home,4,0,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-12-14,2013-2014,La Liga,Barcelona,Villarreal,Home,2,1,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2013-12-22,2013-2014,La Liga,Barcelona,Getafe,Away,5,2,W,Marc Bartra,N,,2,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,2013-2014,La Liga,Barcelona,Elche,Home,4,0,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-02-09,2013-2014,La Liga,Barcelona,Sevilla,Away,4,1,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-02-22,2013-2014,La Liga,Barcelona,Real Sociedad,Away,1,3,L,Marc Bartra,Y,,90,0,0,0,0,1,0,0,0,0,0,0
2014-03-16,2013-2014,La Liga,Barcelona,Osasuna,Home,7,0,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-03-26,2013-2014,La Liga,Barcelona,Celta Vigo,Home,3,0,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-04-05,2013-2014,La Liga,Barcelona,Real Betis,Home,3,1,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-04-20,2013-2014,La Liga,Barcelona,Athletic Club,Home,2,1,W,Marc Bartra,Y,,90,0,0,0,0,1,0,0,0,0,0,0
2014-04-27,2013-2014,La Liga,Barcelona,Villarreal,Away,3,2,W,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-05-03,2013-2014,La Liga,Barcelona,Getafe,Home,2,2,D,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-05-11,2013-2014,La Liga,Barcelona,Elche,Away,0,0,D,Marc Bartra,Y,,90,0,0,0,0,0,0,0,0,0,0,0
2014-08-24,2014-2015,La Liga,Barcelona,Elche,Home,3,0,Win,Marc Bartra,N,,45,0,0,0,0,0,0,,,,,0
2014-09-24,2014-2015,La Liga,Barcelona,Málaga,Away,0,0,Draw,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2014-09-27,2014-2015,La Liga,Barcelona,Granada,Home,6,0,Win,Marc Bartra,N,,27,0,0,0,0,0,0,,,,,0
2014-10-04,2014-2015,La Liga,Barcelona,Rayo Vallecano,Away,2,0,Win,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2014-11-08,2014-2015,La Liga,Barcelona,Almería,Away,2,1,Win,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2015-01-18,2014-2015,La Liga,Barcelona,Dep La Coruña,Away,4,0,Win,Marc Bartra,N,,25,0,0,0,0,1,0,,,,,0
2015-01-24,2014-2015,La Liga,Barcelona,Elche,Away,6,0,Win,Marc Bartra,Y,,90,0,1,0,0,0,0,,,,,0
2015-02-15,2014-2015,La Liga,Barcelona,Levante,Home,5,0,Win,Marc Bartra,Y,,90,0,1,0,0,0,0,,,,,0
2015-02-28,2014-2015,La Liga,Barcelona,Granada,Away,3,1,Win,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2015-03-14,2014-2015,La Liga,Barcelona,Eibar,Away,2,0,Win,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2015-04-08,2014-2015,La Liga,Barcelona,Almería,Home,4,0,Win,Marc Bartra,Y,,90,1,1,0,0,0,0,,,,,0
2015-04-28,2014-2015,La Liga,Barcelona,Getafe,Home,6,0,Win,Marc Bartra,Y,,90,0,0,0,0,0,0,,,,,0
2015-05-09,2014-2015,La Liga,Barcelona,Real Sociedad,Home,2,0,Win,Marc Bartra,Y,,60,0,0,0,0,0,0,,,,,0
2015-05-23,2014-2015,La Liga,Barcelona,Dep La Coruña,Home,2,2,Draw,Marc Bartra,Y,,69,0,0,0,0,0,0,,,,,0
2015-08-23,2015-2016,La Liga,Barcelona,Athletic Club,Away,1,0,W,Marc Bartra,N,,23,0,0,0,0,0,0,0,0,0,1,0
2015-09-20,2015-2016,La Liga,Barcelona,Levante,Home,4,1,W,Marc Bartra,Y,CB,90,1,1,2,1,0,0,0,0,0,2,3
2015-09-26,2015-2016,La Liga,Barcelona,Las Palmas,Home,2,1,W,Marc Bartra,Y,CB,90,0,0,0,0,0,0,3,1,0,2,1
2015-10-25,2015-2016,La Liga,Barcelona,Eibar,Home,3,1,W,Marc Bartra,Y,CB,55,0,0,1,0,0,0,1,0,0,0,3
2015-11-08,2015-2016,La Liga,Barcelona,Villarreal,Home,3,0,W,Marc Bartra,N,,9,0,0,0,0,0,0,1,1,0,0,1
2015-11-28,2015-2016,La Liga,Barcelona,Real Sociedad,Home,4,0,W,Marc Bartra,N,,22,0,0,0,0,0,0,0,0,0,0,0
2015-12-30,2015-2016,La Liga,Barcelona,Real Betis,Home,4,0,W,Marc Bartra,N,,34,0,0,0,0,0,0,1,0,0,0,0
2016-01-17,2015-2016,La Liga,Barcelona,Athletic Club,Home,6,0,W,Marc Bartra,N,,22,0,0,0,0,0,0,1,0,0,0,0
2016-02-17,2015-2016,La Liga,Barcelona,Sporting Gijón,Away,3,1,W,Marc Bartra,N,,10,0,0,0,0,0,0,0,0,0,0,1
2016-03-06,2015-2016,La Liga,Barcelona,Eibar,Away,4,0,W,Marc Bartra,N,,11,0,0,0,0,0,0,0,0,0,0,1
2016-03-12,2015-2016,La Liga,Barcelona,Getafe,Home,6,0,W,Marc Bartra,N,,22,0,0,0,0,0,0,0,0,0,1,1
2016-04-20,2015-2016,La Liga,Barcelona,Dep La Coruña,Away,8,0,W,Marc Bartra,Y,CB,90,1,0,1,1,0,0,0,0,0,0,3
2016-04-23,2015-2016,La Liga,Barcelona,Sporting Gijón,Home,6,0,W,Marc Bartra,N,,25,0,0,1,0,0,0,0,0,0,0,1
2016-08-27,2016-2017,Bundesliga,Dortmund,Mainz 05,Home,2,1,Win,Marc Bartra,Y,CB,90,0,0,1,1,0,0,0,0,0,2,3
2016-09-10,2016-2017,Bundesliga,Dortmund,RB Leipzig,Away,0,1,Loss,Marc Bartra,Y,CB,90,0,0,0,0,1,0,2,0,0,1,4
2016-09-20,2016-2017,Bundesliga,Dortmund,Wolfsburg,Away,5,1,Win,Marc Bartra,Y,CB,11,0,1,0,0,0,0,0,0,0,0,0
2016-10-22,2016-2017,Bundesliga,Dortmund,Ingolstadt,Away,3,3,Draw,Marc Bartra,Y,CB,90,0,0,2,0,0,0,1,0,1,1,3
2016-11-05,2016-2017,Bundesliga,Dortmund,Hamburger SV,Away,5,2,Win,Marc Bartra,Y,CB,90,0,1,0,0,0,0,4,0,0,1,2
2016-11-19,2016-2017,Bundesliga,Dortmund,Bayern Munich,Home,1,0,Win,Marc Bartra,Y,CB,90,0,0,0,0,1,0,2,0,0,3,1
2016-12-03,2016-2017,Bundesliga,Dortmund,Gladbach,Home,4,1,Win,Marc Bartra,Y,CB,90,0,1,3,1,0,0,1,0,0,3,8
2016-12-10,2016-2017,Bundesliga,Dortmund,Köln,Away,1,1,Draw,Marc Bartra,N,,64,0,0,0,0,0,0,1,0,0,4,0
2016-12-16,2016-2017,Bundesliga,Dortmund,Hoffenheim,Away,2,2,Draw,Marc Bartra,Y,CB,90,0,0,1,0,1,0,4,0,0,3,4
2016-12-20,2016-2017,Bundesliga,Dortmund,Augsburg,Home,1,1,Draw,Marc Bartra,Y,CB,45,0,0,0,0,0,0,1,0,0,1,2
