Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-03-17,2023-2024,La Liga,Barcelona,Atlético Madrid,Away,3,0,W,Marc Casadó,N,N/A,9,0,0,0,0,0,0,0,2,0,0,1
2024-04-13,2023-2024,La Liga,Barcelona,Cádiz,Away,1,0,W,Marc Casadó,N,N/A,6,0,0,0,0,0,0,0,0,0,0,1
2024-08-17,2024-2025,La Liga,Barcelona,Valencia,Away,2,1,W,Marc Casadó,Y,DM,90,0,0,0,3,0,0,0,1,0,0,1
2024-08-31,2024-2025,La Liga,Barcelona,Valladolid,Home,7,0,W,Marc Casadó,Y,CM,60,0,0,0,0,0,0,0,2,0,0,0
2024-09-15,2024-2025,La Liga,Barcelona,Girona,Away,4,1,W,Marc Casadó,Y,DM,90,0,1,1,0,0,0,0,1,0,0,1
2024-09-22,2024-2025,La Liga,Barcelona,Villarreal,Away,5,1,W,Marc Casadó,N,DM,32,0,0,0,0,0,0,0,1,0,0,2
2024-09-25,2024-2025,La Liga,Barcelona,Getafe,Home,1,0,W,Marc Casadó,Y,DM,90,0,0,2,0,0,0,0,1,0,2,2
2024-09-28,2024-2025,La Liga,Barcelona,Osasuna,Away,2,4,L,Marc Casadó,N,DM,21,0,0,1,0,0,0,0,0,0,0,0
2024-10-06,2024-2025,La Liga,Barcelona,Alavés,Away,3,0,W,Marc Casadó,Y,DM,90,0,0,0,0,0,0,0,1,0,0,3
2024-10-20,2024-2025,La Liga,Barcelona,Sevilla,Home,5,1,W,Marc Casadó,Y,DM,90,0,0,1,0,0,0,0,4,0,0,1
2024-10-26,2024-2025,La Liga,Barcelona,Real Madrid,Away,4,0,W,Marc Casadó,Y,DM,64,0,1,0,0,1,0,0,4,0,0,1
2024-11-03,2024-2025,La Liga,Barcelona,Espanyol,Home,3,1,W,Marc Casadó,Y,DM,55,0,1,0,0,0,0,0,1,0,0,1
2024-11-10,2024-2025,La Liga,Barcelona,Real Sociedad,Away,0,1,L,Marc Casadó,Y,DM,90,0,0,1,0,0,0,0,0,0,3,1
2024-11-23,2024-2025,La Liga,Barcelona,Celta Vigo,Away,2,2,D,Marc Casadó,Y,DM,81,0,0,1,0,2,0,1,3,0,0,2
2024-12-03,2024-2025,La Liga,Barcelona,Mallorca,Away,5,1,W,Marc Casadó,Y,DM,81,0,0,0,0,1,0,0,2,0,0,0
2024-12-07,2024-2025,La Liga,Barcelona,Real Betis,Away,2,2,D,Marc Casadó,Y,CM,90,0,0,1,0,0,0,0,2,0,0,1
2024-12-15,2024-2025,La Liga,Barcelona,Leganés,Home,0,1,L,Marc Casadó,Y,DM,79,0,0,0,0,0,0,0,2,0,0,1
2024-12-21,2024-2025,La Liga,Barcelona,Atlético Madrid,Home,1,2,L,Marc Casadó,Y,DM,79,0,0,0,0,0,0,0,3,0,1,1
2025-01-18,2024-2025,La Liga,Barcelona,Getafe,Away,1,1,D,Marc Casadó,Y,DM,45,0,0,0,0,0,0,0,1,0,0,1
2025-01-26,2024-2025,La Liga,Barcelona,Valencia,Home,7,1,W,Marc Casadó,Y,DM,90,0,0,2,0,0,0,0,1,0,0,0
2025-02-02,2024-2025,La Liga,Barcelona,Alavés,Home,1,0,W,Marc Casadó,Y,CM,45,0,0,0,0,0,0,0,0,0,0,0
2025-02-17,2024-2025,La Liga,Barcelona,Rayo Vallecano,Home,1,0,W,Marc Casadó,N,DM,3,0,0,0,0,0,0,0,0,0,0,0
2025-02-22,2024-2025,La Liga,Barcelona,Las Palmas,Away,2,0,W,Marc Casadó,Y,DM,90,0,0,0,0,0,0,0,3,0,1,2
2025-03-02,2024-2025,La Liga,Barcelona,Real Sociedad,Home,4,0,W,Marc Casadó,Y,DM,90,1,0,1,1,0,0,0,6,0,1,2
2025-03-16,2024-2025,La Liga,Barcelona,Atlético Madrid,Away,4,2,W,Marc Casadó,Y,DM,66,0,0,0,0,0,0,0,1,0,1,0
