Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-26,2016-17,La Liga,Espanyol,Málaga,Home,2,2,D,Marc Roca,Y,CM,86,0,0,1,0,0,0,1,0,0,1,2
2016-09-09,2016-17,La Liga,Espanyol,Real Sociedad,Away,1,1,D,Marc Roca,Y,CM,90,0,0,0,0,0,0,2,1,0,2,4
2016-09-18,2016-17,La Liga,Espanyol,Real Madrid,Home,0,2,L,Marc Roca,Y,CM,82,0,0,0,0,0,0,2,0,0,3,1
2016-09-22,2016-17,La Liga,Espanyol,Osasuna,Away,2,1,W,Marc Roca,N,CM,28,0,1,1,0,0,0,0,0,0,1,0
2016-09-25,2016-17,La Liga,Espanyol,Celta Vigo,Home,0,2,L,Marc Roca,Y,CM,45,0,0,0,0,1,0,1,0,0,0,0
2016-10-02,2016-17,La Liga,Espanyol,Villarreal,Home,0,0,D,Marc Roca,Y,CM,81,0,0,1,0,0,0,1,0,1,0,2
2016-10-14,2016-17,La Liga,Espanyol,Las Palmas,Away,0,0,D,Marc Roca,Y,CM,90,0,0,1,1,1,0,3,1,0,1,0
2016-10-22,2016-17,La Liga,Espanyol,Eibar,Home,3,3,D,Marc Roca,Y,CM,45,0,0,2,0,0,0,2,1,1,0,0
2016-10-30,2016-17,La Liga,Espanyol,Real Betis,Away,1,0,W,Marc Roca,Y,CM,90,0,0,2,1,0,0,2,1,0,2,1
2016-11-26,2016-17,La Liga,Espanyol,Leganés,Home,3,0,W,Marc Roca,N,CM,6,0,0,0,0,0,0,0,0,0,0,0
2016-11-29,2016-17,Copa del Rey,Espanyol,Alcorcón,Away,1,1,D,Marc Roca,Y,CM,90,0,0,0,0,0,0,0,0,0,0,0
2016-12-11,2016-17,La Liga,Espanyol,Sporting Gijón,Home,2,1,W,Marc Roca,N,CM,11,0,0,1,1,0,0,1,0,0,0,0
2017-01-21,2016-17,La Liga,Espanyol,Granada,Home,3,1,W,Marc Roca,N,CM,16,0,0,0,0,0,0,1,0,0,1,0
2017-01-29,2016-17,La Liga,Espanyol,Sevilla,Home,3,1,W,Marc Roca,N,CM,27,0,0,0,0,0,0,0,0,0,0,0
2017-02-04,2016-17,La Liga,Espanyol,Málaga,Away,1,0,W,Marc Roca,N,CM,30,0,0,0,0,1,0,1,1,0,1,0
2017-02-26,2016-17,La Liga,Espanyol,Osasuna,Home,3,0,W,Marc Roca,N,CM,27,0,0,0,0,0,0,1,0,0,0,1
2017-03-04,2016-17,La Liga,Espanyol,Villarreal,Away,0,2,L,Marc Roca,Y,DM,83,0,0,0,0,0,0,0,0,0,2,1
2017-03-10,2016-17,La Liga,Espanyol,Las Palmas,Home,4,3,W,Marc Roca,Y,CM,90,0,0,1,0,0,0,2,1,0,2,0
