Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-04-04,2009-2010,La Liga,Real Madrid,Racing Santander,Away,2,0,W,Marcos Alonso,N,N/A,3,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,2010-2011,Premier League,Bolton Wanderers,Liverpool,Away,1,2,L,Marcos Alonso,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2011-02-26,2010-2011,Premier League,Bolton Wanderers,Newcastle United,Away,1,1,D,Marcos Alonso,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2011-04-02,2010-2011,Premier League,Bolton Wanderers,Birmingham City,Away,1,2,L,Marcos Alonso,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2011-04-09,2010-2011,Premier League,Bolton Wanderers,West Ham United,Home,3,0,W,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-12-17,2011-2012,Premier League,Bolton Wanderers,Fulham,Away,0,2,L,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-12-20,2011-2012,Premier League,Bolton Wanderers,Blackburn Rovers,Away,2,1,W,Marcos Alonso,Y,N/A,56,0,0,0,0,0,0,0,0,0,0,0
2012-03-31,2011-2012,Premier League,Bolton Wanderers,Wolves,Away,3,2,W,Marcos Alonso,Y,N/A,90,1,0,0,0,0,0,0,0,0,0,0
2012-04-07,2011-2012,Premier League,Bolton Wanderers,Fulham,Home,0,3,L,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2012-04-24,2011-2012,Premier League,Bolton Wanderers,Aston Villa,Away,2,1,W,Marcos Alonso,N,N/A,5,0,0,0,0,0,0,0,0,0,0,0
2013-08-26,2013-2014,Serie A,Fiorentina,Catania,Home,2,1,W,Marcos Alonso,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2013-09-26,2013-2014,Serie A,Fiorentina,Inter,Away,1,2,L,Marcos Alonso,N,N/A,55,0,0,0,0,0,0,0,0,0,0,0
2013-09-30,2013-2014,Serie A,Fiorentina,Parma,Home,2,2,D,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-01-11,2013-2014,Premier League,Sunderland,Fulham,Away,4,1,W,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,2013-2014,Premier League,Sunderland,Southampton,Home,2,2,D,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-01-29,2013-2014,Premier League,Sunderland,Stoke City,Home,1,0,W,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,2013-2014,Premier League,Sunderland,Newcastle United,Away,3,0,W,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-02-08,2013-2014,Premier League,Sunderland,Hull City,Home,0,2,L,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-02-22,2013-2014,Premier League,Sunderland,Arsenal,Away,1,4,L,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-03-15,2013-2014,Premier League,Sunderland,Crystal Palace,Home,0,0,D,Marcos Alonso,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,2013-2014,Premier League,Sunderland,Norwich City,Away,0,2,L,Marcos Alonso,Y,N/A,88,0,0,0,0,2,1,0,0,0,0,0
2014-03-31,2013-2014,Premier League,Sunderland,West Ham United,Home,1,2,L,Marcos Alonso,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
