Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-27,2020-2021,La Liga,Valladolid,Celta Vigo,Home,1,1,D,Marcos André,N,N/A,33,0,0,0,0,0,0,2,0,0,0,1
2020-09-30,2020-2021,La Liga,Valladolid,Real Madrid,Away,0,1,L,Marcos André,N,N/A,27,0,0,1,0,0,0,1,1,0,0,0
2020-10-03,2020-2021,La Liga,Valladolid,Eibar,Home,1,2,L,Marcos André,Y,FW,90,0,0,1,0,0,0,2,4,1,0,0
2020-10-18,2020-2021,La Liga,Valladolid,Huesca,Away,2,2,D,Marcos André,N,N/A,17,0,0,1,0,0,0,1,0,0,0,0
2020-10-25,2020-2021,La Liga,Valladolid,Alavés,Home,0,2,L,Marcos André,N,N/A,32,0,0,1,0,0,0,0,0,1,0,0
2020-11-02,2020-2021,La Liga,Valladolid,Villarreal,Away,0,2,L,Marcos André,N,N/A,45,0,0,3,0,0,0,1,3,0,0,0
2020-11-08,2020-2021,La Liga,Valladolid,Athletic Club,Home,2,1,W,Marcos André,Y,FW,81,1,0,1,1,0,0,2,2,1,1,0
2020-11-22,2020-2021,La Liga,Valladolid,Granada,Away,3,1,W,Marcos André,Y,FW,90,1,0,3,1,0,0,4,1,0,0,0
2020-11-27,2020-2021,La Liga,Valladolid,Levante,Home,1,1,D,Marcos André,Y,FW,90,1,0,4,2,0,0,3,1,1,1,0
2020-12-05,2020-2021,La Liga,Valladolid,Atlético Madrid,Away,0,2,L,Marcos André,Y,FW,90,0,0,3,1,0,0,0,0,0,0,0
2020-12-11,2020-2021,La Liga,Valladolid,Osasuna,Home,3,2,W,Marcos André,Y,FW,90,0,0,2,2,0,0,1,4,1,0,0
2020-12-19,2020-2021,La Liga,Valladolid,Sevilla,Away,1,1,D,Marcos André,Y,FW,90,0,0,1,0,1,0,2,1,0,1,0
2020-12-22,2020-2021,La Liga,Valladolid,Barcelona,Home,0,3,L,Marcos André,Y,FW,45,0,0,1,1,0,0,0,0,0,0,0
2021-04-05,2020-2021,La Liga,Valladolid,Barcelona,Away,0,1,L,Marcos André,N,N/A,14,0,0,1,1,0,0,0,0,0,0,0
2021-04-11,2020-2021,La Liga,Valladolid,Granada,Home,1,2,L,Marcos André,N,N/A,19,0,0,0,0,0,0,0,2,0,0,0
2021-04-21,2020-2021,La Liga,Valladolid,Elche,Away,1,1,D,Marcos André,N,N/A,27,0,0,1,0,0,0,1,2,0,1,0
2021-04-24,2020-2021,La Liga,Valladolid,Cádiz,Home,1,1,D,Marcos André,Y,FW,66,0,0,1,1,0,0,1,2,0,1,0
2021-04-28,2020-2021,La Liga,Valladolid,Athletic Club,Away,2,2,D,Marcos André,Y,FW,61,0,0,2,0,0,0,1,0,0,1,0
2021-05-02,2020-2021,La Liga,Valladolid,Real Betis,Home,1,1,D,Marcos André,N,N/A,20,0,0,1,0,0,0,0,1,1,0,0
2021-05-09,2020-2021,La Liga,Valladolid,Valencia,Away,0,3,L,Marcos André,N,N/A,33,0,0,1,0,0,0,0,0,0,0,0
2021-05-13,2020-2021,La Liga,Valladolid,Villarreal,Home,0,2,L,Marcos André,N,N/A,17,0,0,1,0,0,0,0,0,1,0,0
2021-05-16,2020-2021,La Liga,Valladolid,Real Sociedad,Away,1,4,L,Marcos André,N,N/A,39,1,0,2,2,1,0,2,1,1,0,0
2021-05-22,2020-2021,La Liga,Valladolid,Atlético Madrid,Home,1,2,L,Marcos André,Y,FW,61,1,0,0,0,1,0,1,0,1,0,2
2021-08-27,2021-2022,La Liga,Valencia,Alavés,Home,3,0,W,Marcos André,N,N/A,23,0,0,1,1,0,0,1,0,0,0,0
2021-09-12,2021-2022,La Liga,Valencia,Osasuna,Away,4,1,W,Marcos André,N,N/A,4,0,0,0,0,0,0,0,0,0,0,0
2021-09-19,2021-2022,La Liga,Valencia,Real Madrid,Home,1,2,L,Marcos André,N,N/A,12,0,0,0,0,0,0,0,0,0,1,0
2021-09-22,2021-2022,La Liga,Valencia,Sevilla,Away,1,3,L,Marcos André,N,N/A,24,0,0,1,1,0,0,3,0,0,1,0
2021-09-25,2021-2022,La Liga,Valencia,Athletic Club,Home,1,1,D,Marcos André,N,N/A,21,1,0,2,1,0,0,0,0,0,0,0
2021-10-02,2021-2022,La Liga,Valencia,Cádiz,Away,0,0,D,Marcos André,Y,FW,84,0,0,4,0,0,0,2,2,0,1,0
2021-10-17,2021-2022,La Liga,Valencia,Barcelona,Away,1,3,L,Marcos André,N,N/A,32,0,0,0,0,0,0,0,1,0,0,0
2021-10-23,2021-2022,La Liga,Valencia,Mallorca,Home,2,2,D,Marcos André,N,N/A,45,0,1,5,2,0,0,1,1,0,0,0
2021-10-27,2021-2022,La Liga,Valencia,Real Betis,Away,1,4,L,Marcos André,Y,FW,90,0,0,3,1,0,0,2,0,0,1,0
