Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2015-10-17,2015-2016,La Liga,Real Madrid,Levante,Home,3,0,W,Marcos Llorente,N,MF,14,0,0,0,0,0,0,0,0,0,1,0
2015-10-31,2015-2016,La Liga,Real Madrid,Las Palmas,Home,3,1,W,Marcos Llorente,N,MF,11,0,0,0,0,0,0,0,0,0,0,0
2016-08-28,2016-2017,La Liga,Alavés,Sporting Gijón,Home,0,0,D,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,0,0,0,4,3
2016-09-10,2016-2017,La Liga,Alavés,Barcelona,Away,2,1,W,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,2,1,0,3,0
2016-09-19,2016-2017,La Liga,Alavés,Deportivo La Coruña,Home,0,0,D,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,1,1,0,3,3
2016-09-22,2016-2017,La Liga,Alavés,Valencia,Away,1,2,L,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,3,3,0,7,2
2016-09-26,2016-2017,La Liga,Alavés,Granada,Home,3,1,W,Marcos Llorente,Y,CM,90,0,1,0,0,0,0,0,0,0,4,1
2016-10-01,2016-2017,La Liga,Alavés,Sevilla,Away,1,2,L,Marcos Llorente,Y,CM,90,0,0,0,0,1,0,2,2,0,2,0
2016-10-16,2016-2017,La Liga,Alavés,Málaga,Home,1,1,D,Marcos Llorente,Y,CM,90,0,0,1,0,0,0,5,0,0,3,6
2016-10-22,2016-2017,La Liga,Alavés,Real Sociedad,Away,0,3,L,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,1,2,0,3,3
2016-11-05,2016-2017,La Liga,Alavés,Osasuna,Away,1,0,W,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,2,1,0,2,1
2016-11-20,2016-2017,La Liga,Alavés,Espanyol,Home,0,1,L,Marcos Llorente,Y,DM,90,0,0,1,0,0,0,2,0,1,2,5
2016-11-27,2016-2017,La Liga,Alavés,Villarreal,Away,2,0,W,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,3,1,0,1,4
2016-12-04,2016-2017,La Liga,Alavés,Las Palmas,Home,1,1,D,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,0,1,0,2,3
2016-12-11,2016-2017,La Liga,Alavés,Eibar,Away,0,0,D,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,0,1,0,4,7
2016-12-16,2016-2017,La Liga,Alavés,Real Betis,Home,1,0,W,Marcos Llorente,Y,CM,90,0,0,1,0,1,0,3,0,1,2,2
2017-01-08,2016-2017,La Liga,Alavés,Athletic Club,Away,0,0,D,Marcos Llorente,Y,DM,90,0,0,1,1,0,0,1,1,2,1,2
2017-01-15,2016-2017,La Liga,Alavés,Celta Vigo,Home,0,1,L,Marcos Llorente,Y,AM,90,0,0,0,0,0,0,1,2,0,0,5
2017-01-21,2016-2017,La Liga,Alavés,Leganés,Home,2,2,D,Marcos Llorente,Y,AM,90,0,1,1,0,0,0,0,1,0,2,2
2017-01-28,2016-2017,La Liga,Alavés,Atlético Madrid,Home,0,0,D,Marcos Llorente,Y,CM,90,0,0,2,0,1,0,1,2,1,4,2
2017-02-11,2016-2017,La Liga,Alavés,Barcelona,Home,0,6,L,Marcos Llorente,Y,DM,90,0,0,2,0,0,0,1,1,0,5,1
2017-02-18,2016-2017,La Liga,Alavés,Deportivo La Coruña,Away,1,0,W,Marcos Llorente,Y,CM,90,0,0,0,0,1,0,1,0,0,3,0
2017-02-25,2016-2017,La Liga,Alavés,Valencia,Home,2,1,W,Marcos Llorente,Y,DM,90,0,0,2,0,1,0,3,2,1,5,4
2017-03-06,2016-2017,La Liga,Alavés,Sevilla,Home,1,1,D,Marcos Llorente,Y,DM,90,0,0,1,0,0,0,1,2,0,4,2
2017-03-11,2016-2017,La Liga,Alavés,Málaga,Away,2,1,W,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,1,1,0,2,2
2017-03-18,2016-2017,La Liga,Alavés,Real Sociedad,Home,1,0,W,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,2,1,1,7,1
2017-04-05,2016-2017,La Liga,Alavés,Osasuna,Home,0,1,L,Marcos Llorente,Y,DM,90,0,0,1,0,0,0,0,3,1,2,5
2017-04-08,2016-2017,La Liga,Alavés,Espanyol,Away,0,1,L,Marcos Llorente,Y,CM,90,0,0,1,0,0,0,2,0,1,0,0
2017-04-17,2016-2017,La Liga,Alavés,Villarreal,Home,2,1,W,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,1,2,2,5,4
2017-04-23,2016-2017,La Liga,Alavés,Las Palmas,Away,1,1,D,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,3,1,1,1,5
2017-04-27,2016-2017,La Liga,Alavés,Eibar,Home,0,0,D,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,0,1,2,0,1
2017-05-07,2016-2017,La Liga,Alavés,Athletic Club,Home,1,0,W,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,2,0,0,3,4
2017-05-14,2016-2017,La Liga,Alavés,Celta Vigo,Home,3,1,W,Marcos Llorente,N,DM,16,0,0,0,0,0,0,0,0,0,2,2
2017-05-20,2016-2017,La Liga,Alavés,Leganés,Away,1,1,D,Marcos Llorente,Y,DM,90,0,0,0,0,0,0,3,1,1,3,4
2017-08-20,2017-2018,La Liga,Real Madrid,Deportivo La Coruña,Away,3,0,W,Marcos Llorente,N,DM,19,0,0,0,0,0,0,0,0,0,0,0
2017-09-09,2017-2018,La Liga,Real Madrid,Levante,Home,1,1,D,Marcos Llorente,Y,DM,61,0,0,1,0,0,0,0,1,0,0,0
2017-09-23,2017-2018,La Liga,Real Madrid,Alavés,Away,2,1,W,Marcos Llorente,N,DM,19,0,0,0,0,0,0,1,0,0,1,1
2017-10-14,2017-2018,La Liga,Real Madrid,Getafe,Away,2,1,W,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,1,1,0,1,2
2017-11-05,2017-2018,La Liga,Real Madrid,Las Palmas,Home,3,0,W,Marcos Llorente,N,DM,23,0,0,1,0,0,0,0,0,0,0,0
2017-12-09,2017-2018,La Liga,Real Madrid,Sevilla,Home,5,0,W,Marcos Llorente,N,DM,28,0,0,1,0,0,0,0,0,0,0,0
2018-02-21,2017-2018,La Liga,Real Madrid,Leganés,Away,3,1,W,Marcos Llorente,N,DM,4,0,0,0,0,0,0,0,0,0,0,0
2018-02-24,2017-2018,La Liga,Real Madrid,Alavés,Home,4,0,W,Marcos Llorente,N,DM,11,0,0,0,0,1,0,1,0,0,0,0
2018-02-27,2017-2018,La Liga,Real Madrid,Espanyol,Away,0,1,L,Marcos Llorente,Y,DM,90,0,0,2,0,0,0,0,1,0,5,0
2018-03-03,2017-2018,La Liga,Real Madrid,Getafe,Home,3,1,W,Marcos Llorente,Y,CM,78,0,0,0,0,0,0,1,1,0,0,1
2018-03-31,2017-2018,La Liga,Real Madrid,Las Palmas,Away,3,0,W,Marcos Llorente,N,DM,29,0,0,1,0,0,0,0,0,0,0,1
2018-04-28,2017-2018,La Liga,Real Madrid,Leganés,Home,2,1,W,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,1,0,1,1,0
2018-05-09,2017-2018,La Liga,Real Madrid,Sevilla,Away,2,3,L,Marcos Llorente,N,DM,4,0,0,0,0,0,0,1,0,0,0,0
2018-09-22,2018-2019,La Liga,Real Madrid,Espanyol,Home,1,0,W,Marcos Llorente,N,CM,12,0,0,1,1,0,0,1,0,0,1,0
2018-12-01,2018-2019,La Liga,Real Madrid,Valencia,Home,2,0,W,Marcos Llorente,Y,CM,90,0,0,0,0,0,0,1,0,0,2,1
