Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-05-14,2023-2024,La Liga,Real Madrid,Alavés,Home,5,0,W,Mario Martín,N,,9,0,0,0,0,0,0,0,0,0,0,0
2024-05-19,2023-2024,La Liga,Real Madrid,Villarreal,Away,4,4,D,Mario Martín,N,,9,0,0,0,0,0,0,1,0,0,1,0
2024-08-25,2024-2025,La Liga,Valladolid,Real Madrid,Away,0,3,L,Mario Martín,N,,20,0,0,1,0,0,0,0,0,0,1,0
2024-08-31,2024-2025,La Liga,Valladolid,Barcelona,Away,0,7,L,Mario Martín,N,,29,0,0,0,0,1,0,4,0,0,0,0
2024-09-15,2024-2025,La Liga,Valladolid,Celta Vigo,Away,1,3,L,Mario Martín,Y,CM,80,0,0,1,1,0,1,2,0,0,2,0
2024-09-24,2024-2025,La Liga,Valladolid,Sevilla,Away,1,2,L,Mario Martín,Y,CM,90,0,1,1,0,0,0,1,0,0,5,0
2024-09-27,2024-2025,La Liga,Valladolid,Mallorca,Home,1,2,L,Mario Martín,Y,CM,64,0,0,1,0,0,0,1,0,0,0,0
2024-10-05,2024-2025,La Liga,Valladolid,Rayo Vallecano,Home,1,2,L,Mario Martín,Y,CM,90,0,0,1,1,0,0,2,0,0,1,2
2024-10-18,2024-2025,La Liga,Valladolid,Alavés,Away,3,2,W,Mario Martín,Y,CM,73,0,0,2,1,0,0,4,0,1,1,1
2024-10-26,2024-2025,La Liga,Valladolid,Villarreal,Home,1,2,L,Mario Martín,Y,DM,70,0,0,1,1,0,0,0,0,1,0,0
2024-11-02,2024-2025,La Liga,Valladolid,Osasuna,Away,0,1,L,Mario Martín,Y,DM,80,0,0,0,0,1,0,2,0,0,2,2
2024-11-10,2024-2025,La Liga,Valladolid,Athletic Club,Home,1,1,D,Mario Martín,N,,15,0,0,0,0,1,0,1,0,0,0,0
2024-11-22,2024-2025,La Liga,Valladolid,Getafe,Away,0,2,L,Mario Martín,N,,25,0,0,0,0,0,0,0,0,0,0,1
2024-11-30,2024-2025,La Liga,Valladolid,Atlético Madrid,Home,0,5,L,Mario Martín,N,,6,0,0,0,0,0,0,0,0,0,1,1
2024-12-07,2024-2025,La Liga,Valladolid,Las Palmas,Away,1,2,L,Mario Martín,Y,AM,67,0,0,0,0,0,0,1,0,0,0,1
2024-12-13,2024-2025,La Liga,Valladolid,Valencia,Home,1,0,W,Mario Martín,N,,33,0,0,0,0,0,0,0,0,0,0,0
2024-12-20,2024-2025,La Liga,Valladolid,Girona,Away,0,3,L,Mario Martín,Y,CM,90,0,0,1,1,0,0,2,0,1,2,1
2025-01-11,2024-2025,La Liga,Valladolid,Real Betis,Home,1,0,W,Mario Martín,Y,CM,90,0,0,2,0,0,0,4,1,0,2,3
2025-01-17,2024-2025,La Liga,Valladolid,Espanyol,Away,1,2,L,Mario Martín,Y,CM,90,0,0,2,1,0,0,1,0,0,0,0
2025-01-25,2024-2025,La Liga,Valladolid,Real Madrid,Home,0,3,L,Mario Martín,Y,CM,89,0,0,0,0,2,1,3,0,0,0,1
2025-02-07,2024-2025,La Liga,Valladolid,Rayo Vallecano,Away,0,1,L,Mario Martín,Y,AM,90,0,0,1,1,0,0,4,0,1,1,1
2025-02-16,2024-2025,La Liga,Valladolid,Sevilla,Home,0,4,L,Mario Martín,Y,AM,73,0,0,0,0,0,0,2,0,3,2,1
2025-02-23,2024-2025,La Liga,Valladolid,Athletic Club,Away,1,7,L,Mario Martín,Y,CM,60,0,0,1,0,1,0,1,0,1,2,1
2025-02-28,2024-2025,La Liga,Valladolid,Las Palmas,Home,1,1,D,Mario Martín,N,,33,0,0,6,2,1,0,3,0,0,1,2
2025-03-15,2024-2025,La Liga,Valladolid,Celta Vigo,Home,0,1,L,Mario Martín,Y,AM,72,0,0,2,2,0,0,1,0,1,4,1
2025-03-29,2024-2025,La Liga,Valladolid,Real Sociedad,Away,1,2,L,Mario Martín,Y,DM,75,0,0,0,0,0,0,0,0,0,1,0
2025-04-06,2024-2025,La Liga,Valladolid,Getafe,Home,0,4,L,Mario Martín,Y,CM,44,0,0,1,0,0,1,3,0,0,2,0
2025-04-20,2024-2025,La Liga,Valladolid,Osasuna,Home,2,3,L,Mario Martín,N,,28,0,0,0,0,0,0,1,0,0,0,0
2024-04-24,2024-2025,La Liga,Valladolid,Real Betis,Away,1,5,L,Mario Martín,N,,31,0,0,0,0,0,0,0,0,0,0,0
2025-05-03,2024-2025,La Liga,Valladolid,Barcelona,Home,1,2,L,Mario Martín,N,,6,0,0,0,0,1,0,4,0,0,0,0
2025-05-13,2024-2025,La Liga,Valladolid,Girona,Home,0,1,L,Mario Martín,Y,CM,90,0,0,3,2,0,0,2,0,2,2,1
2025-05-18,2024-2025,La Liga,Valladolid,Alavés,Home,0,1,L,Mario Martín,Y,CM,45,0,0,0,0,0,0,1,0,0,0,1
