Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2017-08-21,2017-2018,La Liga,Eibar,Málaga,Away,1,0,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2017-08-27,2017-2018,La Liga,Eibar,Athletic Club,Home,0,1,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-09,2017-2018,La Liga,Eibar,Sevilla,Away,0,3,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-15,2017-2018,La Liga,Eibar,Leganés,Home,1,0,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-09-19,2017-2018,La Liga,Eibar,Barcelona,Away,1,6,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,1,0
2017-09-24,2017-2018,La Liga,Eibar,Celta Vigo,Home,0,4,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,2017-2018,La Liga,Eibar,Villarreal,Away,0,3,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,1,0,0,1
2017-10-15,2017-2018,La Liga,Eibar,Dep La Coruña,Home,0,0,D,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-22,2017-2018,La Liga,Eibar,Real Madrid,Away,0,3,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-10-29,2017-2018,La Liga,Eibar,Levante,Home,2,2,D,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-05,2017-2018,La Liga,Eibar,Real Sociedad,Away,1,3,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-20,2017-2018,La Liga,Eibar,Real Betis,Home,5,0,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-11-25,2017-2018,La Liga,Eibar,Alavés,Away,2,1,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2017-12-03,2017-2018,La Liga,Eibar,Espanyol,Home,3,1,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,1,0,0,0
2017-12-09,2017-2018,La Liga,Eibar,Getafe,Away,0,0,D,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-12-16,2017-2018,La Liga,Eibar,Valencia,Home,2,1,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2017-12-21,2017-2018,La Liga,Eibar,Girona,Home,4,1,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-01-06,2017-2018,La Liga,Eibar,Las Palmas,Away,2,1,W,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
2018-01-13,2017-2018,La Liga,Eibar,Atlético Madrid,Home,0,1,L,Marko Dmitrović,Y,GK,90,0,0,0,0,0,0,0,0,0,0,0
