Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-05-31,2019-2020,Bundesliga,Dortmund,Paderborn 07,Away,6,1,W,Mateu Morey,N,,4,0,1,0,0,0,0,0,0,0,1,0
2020-06-06,2019-2020,Bundesliga,Dortmund,Hertha BSC,Home,1,0,W,Mateu Morey,N,,12,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,2019-2020,Bundesliga,Dortmund,Mainz 05,Home,0,2,L,Mateu Morey,N,,14,0,0,0,0,0,0,0,2,0,0,0
2020-06-20,2019-2020,Bundesliga,Dortmund,RB Leipzig,Away,2,0,W,Mateu Morey,Y,DM,77,0,0,2,1,0,0,0,2,2,1,2
2020-06-27,2019-2020,Bundesliga,Dortmund,Hoffenheim,Home,0,4,L,Mateu Morey,Y,RM,90,0,0,0,0,0,0,3,0,6,2,2
2020-10-24,2020-2021,Bundesliga,Dortmund,Schalke 04,Home,3,0,W 3–0,Mateu Morey,N,,11,0,0,0,0,0,0,1,0,0,0,0
2020-12-05,2020-2021,Bundesliga,Dortmund,Frankfurt,Away,1,1,D 1–1,Mateu Morey,Y,DM,90,0,0,0,0,0,0,0,0,2,1,1
2020-12-12,2020-2021,Bundesliga,Dortmund,Stuttgart,Home,1,5,L 1–5,Mateu Morey,Y,DM,90,0,0,1,0,1,0,1,0,5,0,0
2020-12-15,2020-2021,Bundesliga,Dortmund,Werder Bremen,Away,2,1,W 2–1,Mateu Morey,Y,RB,84,0,0,1,0,0,0,1,1,2,0,2
2020-12-18,2020-2021,Bundesliga,Dortmund,Union Berlin,Away,1,2,L 1–2,Mateu Morey,N,,11,0,0,0,0,0,0,0,0,0,0,1
2021-01-22,2020-2021,Bundesliga,Dortmund,Gladbach,Away,2,4,L 2–4,Mateu Morey,Y,RB,86,0,0,0,0,0,0,0,0,3,1,2
2021-01-30,2020-2021,Bundesliga,Dortmund,Augsburg,Home,3,1,W 3–1,Mateu Morey,Y,RB,77,0,0,0,0,0,0,1,0,6,0,1
2021-02-20,2020-2021,Bundesliga,Dortmund,Schalke 04,Away,4,0,W 4–0,Mateu Morey,Y,RB,82,0,0,0,0,0,0,3,0,0,3,1
2021-02-27,2020-2021,Bundesliga,Dortmund,Arminia,Home,3,0,W 3–0,Mateu Morey,Y,RB,79,0,0,0,0,0,0,1,0,2,0,2
2021-03-06,2020-2021,Bundesliga,Dortmund,Bayern Munich,Away,2,4,L 2–4,Mateu Morey,N,,21,0,0,0,0,0,0,0,0,1,2,0
2021-03-13,2020-2021,Bundesliga,Dortmund,Hertha BSC,Home,2,0,W 2–0,Mateu Morey,Y,RB,70,0,0,0,0,0,0,1,0,5,0,2
2021-04-10,2020-2021,Bundesliga,Dortmund,Stuttgart,Away,3,2,W 3–2,Mateu Morey,Y,RB,83,0,1,0,0,0,0,3,0,4,1,3
2021-04-18,2020-2021,Bundesliga,Dortmund,Werder Bremen,Home,4,1,W 4–1,Mateu Morey,Y,RB,45,0,1,0,0,0,0,0,0,3,0,1
2022-08-13,2022-2023,3. Liga,Dortmund II,R-W Essen,Home,1,0,W,Mateu Morey,Y,LB,45,0,0,0,,0,0,,,,,
2024-02-09,2023-2024,Bundesliga,Dortmund,Freiburg,Home,3,0,W 3–0,Mateu Morey,N,,3,0,0,0,0,0,0,2,0,0,0,0
2024-05-04,2023-2024,Bundesliga,Dortmund,Augsburg,Home,5,1,W 5–1,Mateu Morey,Y,LB,62,0,0,0,0,0,0,0,0,1,1,1
2024-05-11,2023-2024,Bundesliga,Dortmund,Mainz 05,Away,0,3,L 0–3,Mateu Morey,Y,LB,45,0,0,1,1,0,0,1,0,1,1,0
2024-09-23,2024-2025,La Liga,Mallorca,Real Betis,Away,2,1,W,Mateu Morey,N,,,0,0,0,0,1,0,0,0,0,0,0
2024-11-23,2024-2025,La Liga,Mallorca,Las Palmas,Away,3,2,W,Mateu Morey,Y,RB,85,0,0,0,0,0,0,6,0,4,1,3
2024-11-29,2024-2025,La Liga,Mallorca,Valencia,Home,2,1,W,Mateu Morey,Y,RB,77,0,0,0,0,0,0,1,0,2,1,2
