Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-09-11,2011-2012,Serie A,Fiorentina,Bologna,Home,2,0,W,Matija Nastasić,N,-,25,0,0,0,0,0,0,-,-,-,-,-
2011-09-21,2011-2012,Serie A,Fiorentina,Parma,Home,3,0,W,Matija Nastasić,N,-,6,0,0,0,0,0,0,-,-,-,-,-
2011-11-06,2011-2012,Serie A,Fiorentina,Chievo,Away,0,1,L,Matija Nastasić,N,-,31,0,0,0,0,0,0,-,-,-,-,-
2011-11-19,2011-2012,Serie A,Fiorentina,Milan,Away,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2011-11-27,2011-2012,Serie A,Fiorentina,Palermo,Home,0,0,D,Matija Nastasić,N,-,17,0,0,0,0,0,0,-,-,-,-,-
2011-12-04,2011-2012,Serie A,Fiorentina,Roma,Home,3,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2011-12-17,2011-2012,Serie A,Fiorentina,Atalanta,Away,2,2,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2011-12-20,2011-2012,Serie A,Fiorentina,Siena,Home,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-01-08,2011-2012,Serie A,Fiorentina,Novara,Away,3,0,W,Matija Nastasić,Y,-,90,0,0,0,0,1,0,-,-,-,-,-
2012-01-15,2011-2012,Serie A,Fiorentina,Lecce,Home,0,1,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-01-22,2011-2012,Serie A,Fiorentina,Cagliari,Away,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,1,0,-,-,-,-,-
2012-01-29,2011-2012,Serie A,Fiorentina,Siena,Home,2,1,W,Matija Nastasić,Y,-,90,0,0,0,0,1,0,-,-,-,-,-
2012-02-05,2011-2012,Serie A,Fiorentina,Udinese,Home,3,2,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-02-17,2011-2012,Serie A,Fiorentina,Napoli,Away,0,3,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-02-21,2011-2012,Serie A,Fiorentina,Bologna,Away,0,2,L,Matija Nastasić,Y,-,73,0,0,0,0,0,0,-,-,-,-,-
2012-02-26,2011-2012,Serie A,Fiorentina,Lazio,Away,0,1,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-03-04,2011-2012,Serie A,Fiorentina,Cesena,Home,2,0,W,Matija Nastasić,Y,-,90,1,0,0,0,0,0,-,-,-,-,-
2012-03-07,2011-2012,Serie A,Fiorentina,Parma,Away,2,2,D,Matija Nastasić,Y,-,90,1,0,0,0,1,0,-,-,-,-,-
2012-03-17,2011-2012,Serie A,Fiorentina,Juventus,Home,0,5,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-04-07,2011-2012,Serie A,Fiorentina,Milan,Away,2,1,W,Matija Nastasić,Y,-,90,0,0,0,0,1,0,-,-,-,-,-
2012-04-11,2011-2012,Serie A,Fiorentina,Palermo,Home,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-04-22,2011-2012,Serie A,Fiorentina,Inter,Home,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,1,0,-,-,-,-,-
2012-04-25,2011-2012,Serie A,Fiorentina,Roma,Away,2,1,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-04-29,2011-2012,Serie A,Fiorentina,Atalanta,Away,0,2,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-05-02,2011-2012,Serie A,Fiorentina,Novara,Home,2,2,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-08-25,2012-2013,Serie A,Fiorentina,Udinese,Home,2,1,W,Matija Nastasić,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2012-09-29,2012-2013,Premier League,Manchester City,Fulham,Away,2,1,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-10-27,2012-2013,Premier League,Manchester City,Swansea City,Home,1,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-11-03,2012-2013,Premier League,Manchester City,West Ham United,Away,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-11-11,2012-2013,Premier League,Manchester City,Tottenham Hotspur,Home,2,1,W,Matija Nastasić,Y,-,55,0,0,0,0,0,0,-,-,-,-,-
2012-11-17,2012-2013,Premier League,Manchester City,Aston Villa,Home,5,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-11-25,2012-2013,Premier League,Manchester City,Chelsea,Away,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-11-28,2012-2013,Premier League,Manchester City,Wigan Athletic,Away,2,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-12-09,2012-2013,Premier League,Manchester City,Manchester Utd,Home,2,3,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-12-15,2012-2013,Premier League,Manchester City,Newcastle United,Away,3,1,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-12-22,2012-2013,Premier League,Manchester City,Reading,Home,1,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2012-12-26,2012-2013,Premier League,Manchester City,Sunderland,Away,0,1,L,Matija Nastasić,Y,-,90,0,0,0,0,1,0,-,-,-,-,-
2012-12-29,2012-2013,Premier League,Manchester City,Norwich City,Away,4,3,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-01-13,2012-2013,Premier League,Manchester City,Arsenal,Away,2,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-01-19,2012-2013,Premier League,Manchester City,Fulham,Home,2,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-02-03,2012-2013,Premier League,Manchester City,Liverpool,Home,2,2,D,Matija Nastasić,Y,-,55,0,0,0,0,0,0,-,-,-,-,-
2013-02-24,2012-2013,Premier League,Manchester City,Chelsea,Home,2,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-03-04,2012-2013,Premier League,Manchester City,Aston Villa,Away,1,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-03-16,2012-2013,Premier League,Manchester City,Everton,Away,0,2,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-04-08,2012-2013,Premier League,Manchester City,Manchester Utd,Away,2,1,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-04-21,2012-2013,Premier League,Manchester City,Tottenham Hotspur,Away,1,3,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2013-05-04,2012-2013,Premier League,Manchester City,Swansea City,Away,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,-,-,-,-,-
2015-01-31,2014-2015,Bundesliga,Schalke 04,Hannover 96,Home,1,0,W,Matija Nastasić,Y,-,90,0,0,1,1,0,0,2,0,0,2,3
2015-02-03,2014-2015,Bundesliga,Schalke 04,Bayern Munich,Away,1,1,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,1,0,0,0,1
2015-02-06,2014-2015,Bundesliga,Schalke 04,Gladbach,Home,1,0,W,Matija Nastasić,Y,-,90,0,0,0,0,0,0,1,0,0,4,1
2015-02-14,2014-2015,Bundesliga,Schalke 04,Eintracht Frankfurt,Away,0,1,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,2,0,0,1,3
2015-02-21,2014-2015,Bundesliga,Schalke 04,Werder Bremen,Home,1,1,D,Matija Nastasić,Y,-,90,0,0,1,0,1,0,1,0,0,2,5
2015-02-28,2014-2015,Bundesliga,Schalke 04,Dortmund,Away,0,3,L,Matija Nastasić,Y,-,90,0,0,0,0,0,0,1,0,0,0,2
2015-03-07,2014-2015,Bundesliga,Schalke 04,Hoffenheim,Home,3,1,W,Matija Nastasić,Y,-,90,0,0,1,1,0,0,0,0,0,0,2
2015-03-14,2014-2015,Bundesliga,Schalke 04,Hertha BSC,Away,2,2,D,Matija Nastasić,Y,-,90,0,0,0,0,0,0,0,0,0,2,4
2015-03-21,2014-2015,Bundesliga,Schalke 04,Leverkusen,Home,0,1,L,Matija Nastasić,Y,-,90,0,0,1,1,0,0,2,0,0,1,4
2015-04-05,2014-2015,Bundesliga,Schalke 04,Augsburg,Away,0,0,D,Matija Nastasić,Y,-,90,0,0,0,0,1,0,4,0,0,1,0
