Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-09,2019-2020,Premier League,Norwich City,Liverpool,Away,1,4,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,1,0,0,3,1
2019-08-17,2019-2020,Premier League,Norwich City,Newcastle,Home,3,1,W,Max Aarons,Y,RB,90,0,0,1,0,1,0,2,0,1,0,0
2019-08-24,2019-2020,Premier League,Norwich City,Chelsea,Home,2,3,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,0,2,1
2019-08-31,2019-2020,Premier League,Norwich City,West Ham,Away,0,2,L,Max Aarons,Y,RB,90,0,0,1,0,1,0,1,0,2,1,0
2019-09-28,2019-2020,Premier League,Norwich City,Crystal Palace,Away,0,2,L,Max Aarons,Y,RB,90,0,0,1,0,0,0,2,0,1,1,0
2019-10-05,2019-2020,Premier League,Norwich City,Aston Villa,Home,1,5,L,Max Aarons,Y,RB,90,0,0,2,0,0,0,2,0,1,1,1
2019-10-19,2019-2020,Premier League,Norwich City,Bournemouth,Away,0,0,D,Max Aarons,Y,RB,90,0,0,0,0,0,0,1,1,1,0,0
2019-10-27,2019-2020,Premier League,Norwich City,Manchester Utd,Home,1,3,L,Max Aarons,Y,RB,90,0,0,0,0,1,0,1,0,0,2,1
2019-11-02,2019-2020,Premier League,Norwich City,Brighton,Away,0,2,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,1,0,0,1,0
2019-11-08,2019-2020,Premier League,Norwich City,Watford,Home,0,2,L,Max Aarons,Y,RB,90,0,0,1,0,0,0,2,0,2,0,0
2019-11-23,2019-2020,Premier League,Norwich City,Everton,Away,2,0,W,Max Aarons,Y,RB,90,0,0,0,0,1,0,0,0,0,1,0
2019-12-01,2019-2020,Premier League,Norwich City,Arsenal,Home,2,2,D,Max Aarons,Y,RB,90,0,0,3,2,0,0,1,0,1,0,0
2019-12-04,2019-2020,Premier League,Norwich City,Southampton,Away,1,2,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,4,0,1
2019-12-08,2019-2020,Premier League,Norwich City,Sheffield United,Home,1,2,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,2,0,1
2019-12-14,2019-2020,Premier League,Norwich City,Leicester City,Away,1,1,D,Max Aarons,Y,RB,90,0,0,0,0,0,0,1,0,3,2,1
2019-12-21,2019-2020,Premier League,Norwich City,Wolves,Home,1,2,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,0,1,0
2019-12-26,2019-2020,Premier League,Norwich City,Aston Villa,Away,0,1,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,1,0,10,2,0
2019-12-28,2019-2020,Premier League,Norwich City,Tottenham,Home,2,2,D,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,1,0,1
2020-01-01,2019-2020,Premier League,Norwich City,Crystal Palace,Home,1,1,D,Max Aarons,Y,RB,90,0,0,2,0,1,0,1,0,3,1,3
2020-01-11,2019-2020,Premier League,Norwich City,Manchester Utd,Away,0,4,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,2,0,0
2020-01-18,2019-2020,Premier League,Norwich City,Bournemouth,Home,1,0,W,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,6,0,0
2020-01-22,2019-2020,Premier League,Norwich City,Tottenham,Away,1,2,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,1,2,1
2020-02-01,2019-2020,Premier League,Norwich City,Newcastle,Away,0,0,D,Max Aarons,Y,RB,90,0,0,1,0,0,0,1,0,2,0,2
2020-02-15,2019-2020,Premier League,Norwich City,Liverpool,Home,0,1,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,1,0,0,1,3
2020-02-23,2019-2020,Premier League,Norwich City,Wolves,Away,0,3,L,Max Aarons,Y,RB,90,0,0,1,1,1,0,2,0,2,0,0
2020-02-28,2019-2020,Premier League,Norwich City,Leicester City,Home,1,0,W,Max Aarons,Y,RB,90,0,1,0,0,0,0,0,0,3,2,1
2020-03-07,2019-2020,Premier League,Norwich City,Sheffield United,Away,0,1,L,Max Aarons,Y,RB,90,0,0,0,0,0,0,0,0,7,1,2
2020-06-19,2019-2020,Premier League,Norwich City,Southampton,Home,0,3,L,Max Aarons,Y,RB,90,0,0,0,0,1,0,4,0,1,1,0
