Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-10-21,2018-2019,La Liga,Valladolid,Real Betis,Away,1,0,W,Miguel,N,,1,0,0,0,0,0,0,0,0,0,0,0
2019-04-27,2018-2019,La Liga,Valladolid,Atlético Madrid,Away,0,1,L,Miguel,N,,11,0,0,2,1,0,0,1,0,0,0,1
2019-08-31,2019-2020,La Liga,Valladolid,Levante,Away,0,2,L 0-2,Miguel,N,-,1,0,0,0,0,0,0,0,0,1,0,0
2020-01-26,2019-2020,La Liga,Valladolid,Real Madrid,Home,0,1,L 0-1,Miguel,N,-,10,0,0,0,0,0,0,0,0,1,0,0
2020-02-08,2019-2020,La Liga,Valladolid,Villarreal,Home,1,1,D 1-1,Miguel,N,-,21,0,0,0,0,0,0,1,0,0,1,0
2020-06-20,2019-2020,La Liga,Valladolid,Atlético Madrid,Away,0,1,L 0-1,Miguel,N,-,45,0,0,0,0,0,0,2,3,0,1,0
2020-06-23,2019-2020,La Liga,Valladolid,Getafe,Home,1,1,D 1-1,Miguel,N,-,19,0,0,0,0,0,0,1,0,0,0,0
2020-06-26,2019-2020,La Liga,Valladolid,Sevilla,Home,1,1,D 1-1,Miguel,Y,FW,75,0,0,2,1,0,0,3,1,0,0,0
2020-07-04,2019-2020,La Liga,Valladolid,Alavés,Home,1,0,W 1-0,Miguel,Y,FW,61,0,0,0,0,1,0,2,0,1,0,0
2021-09-18,2021-2022,La Liga,Alavés,Osasuna,Home,0,2,L,Miguel,N,,14,0,0,1,1,0,0,0,0,0,1,0
2021-09-22,2021-2022,La Liga,Alavés,Espanyol,Away,0,1,L,Miguel,N,,5,0,0,1,0,0,0,0,2,0,0,0
2021-09-25,2021-2022,La Liga,Alavés,Atlético Madrid,Home,1,0,W,Miguel,Y,FW,60,0,0,1,0,0,0,2,2,1,0,0
2021-10-01,2021-2022,La Liga,Alavés,Athletic Club,Away,0,1,L,Miguel,Y,RM,60,0,0,0,0,0,0,1,1,0,0,1
2021-10-18,2021-2022,La Liga,Alavés,Real Betis,Home,0,1,L,Miguel,Y,FW,68,0,0,1,0,0,0,1,0,2,1,0
2021-10-23,2021-2022,La Liga,Alavés,Cádiz,Away,2,0,W,Miguel,N,,14,0,1,0,0,0,0,1,0,0,0,0
2021-11-20,2021-2022,La Liga,Alavés,Sevilla,Away,2,2,D,Miguel,N,,5,0,0,0,0,0,0,0,0,0,0,0
2021-12-18,2021-2022,La Liga,Alavés,Rayo Vallecano,Away,0,2,L,Miguel,Y,RW,60,0,0,1,1,0,0,1,1,0,0,1
2021-12-21,2021-2022,La Liga,Alavés,Villarreal,Away,2,5,L,Miguel,N,,7,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,2021-2022,La Liga,Alavés,Real Sociedad,Home,1,1,D,Miguel,Y,FW,71,0,0,3,0,0,0,3,2,0,0,0
2022-01-09,2021-2022,La Liga,Alavés,Athletic Club,Home,0,0,D,Miguel,Y,FW,84,0,0,2,0,0,0,1,1,0,1,0
2022-01-18,2021-2022,La Liga,Alavés,Real Betis,Away,0,4,L,Miguel,N,,16,0,0,2,0,0,0,1,0,0,1,0
2022-01-23,2021-2022,La Liga,Alavés,Barcelona,Home,0,1,L,Miguel,N,,19,0,0,0,0,0,0,0,0,0,0,0
2022-02-05,2021-2022,La Liga,Alavés,Elche,Away,1,3,L,Miguel,Y,FW,72,0,0,3,0,0,0,1,4,1,0,0
2022-03-13,2021-2022,La Liga,Alavés,Real Sociedad,Away,0,1,L,Miguel,N,,8,0,0,0,0,0,0,0,0,0,0,0
2022-03-19,2021-2022,La Liga,Alavés,Granada,Home,2,3,L,Miguel,N,,4,0,0,0,0,1,0,0,0,0,0,0
2022-04-02,2021-2022,La Liga,Alavés,Atlético Madrid,Away,1,4,L,Miguel,N,,6,0,0,0,0,0,0,0,0,0,0,0
2022-04-16,2021-2022,La Liga,Alavés,Rayo Vallecano,Home,1,0,W,Miguel,N,,5,0,0,0,0,0,0,0,1,0,0,0
2022-04-19,2021-2022,La Liga,Alavés,Mallorca,Away,1,2,L,Miguel,N,,31,0,0,1,0,0,0,0,0,0,0,0
2022-05-11,2021-2022,La Liga,Alavés,Espanyol,Home,2,1,W,Miguel,Y,AM,75,1,0,4,2,0,0,1,1,1,2,1
2022-05-15,2021-2022,La Liga,Alavés,Levante,Away,1,3,L,Miguel,Y,AM,55,0,0,0,0,1,0,2,3,1,0,0
2022-05-22,2021-2022,La Liga,Alavés,Cádiz,Home,0,1,L,Miguel,Y,AM,90,0,0,2,0,0,0,4,2,0,0,0
2023-08-14,2023-2024,La Liga,Alavés,Cádiz,Away,0,1,L 0-1,Miguel,Y,FW,56,0,0,0,0,0,0,1,2,0,0,0
2023-08-21,2023-2024,La Liga,Alavés,Sevilla,Home,4,3,W 4-3,Miguel,N,-,4,0,0,1,1,0,0,0,0,0,0,0
2023-08-28,2023-2024,La Liga,Alavés,Getafe,Away,0,1,L 0-1,Miguel,N,-,5,0,0,1,0,0,0,1,1,0,0,0
2024-08-17,2024-2025,La Liga,Leganés,Osasuna,Away,1,1,D 1-1,Miguel,Y,FW,87,0,0,2,1,0,0,0,5,2,0,0
2024-08-25,2024-2025,La Liga,Leganés,Las Palmas,Home,2,1,W 2-1,Miguel,Y,FW,81,0,0,2,0,1,0,1,0,0,1,0
2024-08-28,2024-2025,La Liga,Leganés,Valladolid,Away,0,0,D 0-0,Miguel,Y,FW,90,0,0,1,0,0,0,1,1,1,0,0
2024-08-31,2024-2025,La Liga,Leganés,Mallorca,Home,0,1,L 0-1,Miguel,N,-,24,0,0,0,0,0,0,0,1,0,2,0
2024-09-19,2024-2025,La Liga,Leganés,Athletic Club,Home,0,2,L 0-2,Miguel,Y,FW,90,0,0,3,1,1,0,1,1,2,3,1
2024-09-22,2024-2025,La Liga,Leganés,Getafe,Away,1,1,D 1-1,Miguel,Y,FW,73,0,0,1,0,0,0,1,0,0,0,0
2024-09-28,2024-2025,La Liga,Leganés,Rayo Vallecano,Away,1,1,D 1-1,Miguel,N,-,17,0,0,0,0,0,0,1,1,0,0,0
2024-10-04,2024-2025,La Liga,Leganés,Valencia,Home,0,0,D 0-0,Miguel,N,-,28,0,0,1,0,0,0,0,1,0,0,0
2024-10-20,2024-2025,La Liga,Leganés,Atlético Madrid,Away,1,3,L 1-3,Miguel,Y,FW,76,0,0,0,0,0,0,1,0,0,0,0
2024-10-27,2024-2025,La Liga,Leganés,Celta Vigo,Home,3,0,W 3-0,Miguel,N,-,37,0,1,1,1,0,0,0,0,0,0,1
2024-11-02,2024-2025,La Liga,Leganés,Girona,Away,3,4,L 3-4,Miguel,Y,FW,90,0,0,1,0,0,0,3,4,0,1,1
2024-11-09,2024-2025,La Liga,Leganés,Sevilla,Home,1,0,W 1-0,Miguel,Y,FW,90,1,0,3,3,0,0,0,0,0,0,0
2024-11-24,2024-2025,La Liga,Leganés,Real Madrid,Home,0,3,L 0-3,Miguel,Y,FW,85,0,0,0,0,1,0,2,2,0,1,1
2024-11-30,2024-2025,La Liga,Leganés,Alavés,Away,1,1,D 1-1,Miguel,N,-,28,0,0,1,0,0,0,0,2,0,0,0
2024-12-08,2024-2025,La Liga,Leganés,Real Sociedad,Home,0,3,L 0-3,Miguel,Y,FW,90,0,0,1,1,0,0,1,2,1,1,0
2024-12-15,2024-2025,La Liga,Leganés,Barcelona,Away,1,0,W 1-0,Miguel,Y,FW,57,0,0,0,0,0,0,1,0,1,0,0
2024-12-22,2024-2025,La Liga,Leganés,Villarreal,Home,2,5,L 2-5,Miguel,Y,FW,62,0,1,1,1,0,0,1,1,1,0,0
2025-01-11,2024-2025,La Liga,Leganés,Espanyol,Away,1,1,D 1-1,Miguel,Y,FW,84,0,1,4,3,0,0,2,1,1,0,1
2025-01-18,2024-2025,La Liga,Leganés,Atlético Madrid,Home,1,0,W 1-0,Miguel,Y,FW,84,0,0,2,1,0,0,1,2,0,0,0
2025-01-26,2024-2025,La Liga,Leganés,Athletic Club,Away,0,0,D 0-0,Miguel,Y,RM,81,0,0,1,1,0,0,0,2,0,0,1
2025-01-31,2024-2025,La Liga,Leganés,Rayo Vallecano,Home,0,1,L 0-1,Miguel,N,-,10,0,0,2,1,0,0,1,2,0,0,0
2025-02-09,2024-2025,La Liga,Leganés,Valencia,Away,0,2,L 0-2,Miguel,Y,FW,72,0,0,1,0,0,0,0,1,1,0,1
2025-02-15,2024-2025,La Liga,Leganés,Alavés,Home,3,3,D 3-3,Miguel,N,-,19,0,0,0,0,0,0,1,0,0,0,0
2025-02-23,2024-2025,La Liga,Leganés,Real Sociedad,Away,0,3,L 0-3,Miguel,N,-,38,0,0,1,0,0,0,1,0,0,0,0
2025-03-02,2024-2025,La Liga,Leganés,Getafe,Home,1,0,W,Miguel,Y,FW,76,0,0,0,0,0,0,0,1,0,0,1
2025-03-08,2024-2025,La Liga,Leganés,Celta Vigo,Away,1,2,L,Miguel,N,-,24,0,0,2,1,0,0,0,0,0,0,1
2025-03-16,2024-2025,La Liga,Leganés,Real Betis,Home,2,3,L,Miguel,N,-,31,0,0,1,0,0,0,0,1,0,0,0
2025-03-29,2024-2025,La Liga,Leganés,Real Madrid,Away,2,3,L,Miguel,N,-,5,0,0,0,0,0,0,0,0,0,0,0
2025-04-07,2024-2025,La Liga,Leganés,Osasuna,Home,1,1,D,Miguel,N,-,31,0,0,1,1,0,0,0,1,0,0,0
2025-04-19,2024-2025,La Liga,Leganés,Mallorca,Away,0,0,D,Miguel,N,-,15,0,0,2,0,0,0,0,0,0,0,0
2025-05-11,2024-2025,La Liga,Leganés,Espanyol,Home,3,2,W,Miguel,N,-,2,0,0,0,0,0,0,0,0,0,0,0
2025-05-14,2024-2025,La Liga,Leganés,Villarreal,Away,0,3,L,Miguel,N,-,28,0,0,0,0,0,0,0,0,0,0,1
2025-05-18,2024-2025,La Liga,Leganés,Las Palmas,Away,1,0,W,Miguel,N,-,3,0,0,0,0,0,0,1,0,0,0,0
2025-05-24,2024-2025,La Liga,Leganés,Valladolid,Home,3,0,W,Miguel,N,-,16,0,0,0,0,0,0,0,0,0,1,0
