Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-04-21,2020-2021,La Liga,Real Madrid,Cádiz,Away,3,0,W,Miguel Gutiérrez,N,-,17,0,0,0,0,0,0,2,2,0,1,0
2021-05-01,2020-2021,La Liga,Real Madrid,Osasuna,Home,2,0,W,Miguel Gutiérrez,N,-,27,0,0,0,0,0,0,1,1,1,2,0
2021-05-09,2020-2021,La Liga,Real Madrid,Sevilla,Home,2,2,D,Miguel Gutiérrez,N,-,25,0,0,0,0,0,0,1,0,2,0,0
2021-05-13,2020-2021,La Liga,Real Madrid,Granada,Away,4,1,W,Miguel Gutiérrez,Y,LB,90,0,1,0,0,0,0,0,0,2,0,1
2021-05-16,2020-2021,La Liga,Real Madrid,Athletic Club,Away,1,0,W,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,3,0,8,0,1
2021-05-22,2020-2021,La Liga,Real Madrid,Villarreal,Home,2,1,W,Miguel Gutiérrez,Y,LB,67,0,0,0,0,0,0,3,0,4,0,0
2021-08-28,2021-2022,La Liga,Real Madrid,Real Betis,Away,1,0,W 1-0,Miguel Gutiérrez,Y,LB,82,0,0,0,0,1,0,3,0,2,3,2
2021-09-12,2021-2022,La Liga,Real Madrid,Celta Vigo,Home,5,2,W 5-2,Miguel Gutiérrez,Y,LB,88,0,1,0,0,0,0,4,0,5,0,0
2021-09-22,2021-2022,La Liga,Real Madrid,Mallorca,Home,6,1,W 6-1,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,1,0,2,2,2
2022-08-14,2022-2023,La Liga,Girona,Valencia,Away,0,1,L,Miguel Gutiérrez,N,-,29,0,0,0,0,0,0,0,0,5,0,0
2022-08-22,2022-2023,La Liga,Girona,Getafe,Home,3,1,W,Miguel Gutiérrez,Y,LW,68,0,0,0,1,0,0,0,0,1,1,0
2022-08-26,2022-2023,La Liga,Girona,Celta Vigo,Home,0,1,L,Miguel Gutiérrez,Y,LB,80,0,0,1,0,0,0,1,2,3,2,0
2022-09-03,2022-2023,La Liga,Girona,Mallorca,Away,1,1,D,Miguel Gutiérrez,Y,LM,89,0,0,0,0,0,0,0,1,1,0,0
2022-09-09,2022-2023,La Liga,Girona,Valladolid,Home,2,1,W,Miguel Gutiérrez,Y,DM,90,0,0,0,0,0,0,1,1,1,2,0
2022-09-18,2022-2023,La Liga,Girona,Real Betis,Away,1,2,L,Miguel Gutiérrez,Y,DM,90,0,1,1,0,1,0,2,0,6,0,0
2022-10-02,2022-2023,La Liga,Girona,Real Sociedad,Home,3,5,L,Miguel Gutiérrez,Y,LB,90,0,0,2,1,1,0,1,1,4,1,2
2022-10-08,2022-2023,La Liga,Girona,Atlético Madrid,Away,1,2,L,Miguel Gutiérrez,Y,LB,45,0,0,0,0,0,0,0,0,2,0,0
2022-10-15,2022-2023,La Liga,Girona,Cádiz,Home,1,1,D,Miguel Gutiérrez,Y,LB,86,0,0,0,0,0,0,0,0,7,1,0
2022-10-20,2022-2023,La Liga,Girona,Almería,Away,2,3,L,Miguel Gutiérrez,Y,LB,78,0,1,0,0,0,0,1,2,3,0,0
2022-10-23,2022-2023,La Liga,Girona,Osasuna,Home,1,1,D,Miguel Gutiérrez,N,-,17,0,0,0,0,1,0,1,0,1,0,0
2022-10-30,2022-2023,La Liga,Girona,Real Madrid,Away,1,1,D,Miguel Gutiérrez,Y,LB,62,0,0,0,0,0,0,0,0,2,0,2
2022-11-04,2022-2023,La Liga,Girona,Athletic Club,Home,2,1,W,Miguel Gutiérrez,Y,LB,84,0,0,2,0,0,0,1,0,4,1,1
2022-12-29,2022-2023,La Liga,Girona,Rayo Vallecano,Home,2,2,D,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,0,0,5,1,1
2023-01-07,2022-2023,La Liga,Girona,Espanyol,Away,2,2,D,Miguel Gutiérrez,Y,LB,90,0,0,1,0,0,0,1,1,1,1,0
2023-01-14,2022-2023,La Liga,Girona,Sevilla,Home,2,1,W,Miguel Gutiérrez,Y,LB,90,0,0,1,0,0,0,1,0,6,0,2
2023-01-22,2022-2023,La Liga,Girona,Villarreal,Away,0,1,L,Miguel Gutiérrez,Y,LB,80,0,0,0,0,1,0,0,0,1,0,0
2023-01-28,2022-2023,La Liga,Girona,Barcelona,Home,0,1,L,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,2,3,3,1,3
2023-02-05,2022-2023,La Liga,Girona,Valencia,Home,1,0,W,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,0,0,4,1,0
2023-02-10,2022-2023,La Liga,Girona,Cádiz,Away,0,2,L,Miguel Gutiérrez,Y,LB,90,0,0,0,0,1,0,3,1,3,2,1
2023-02-26,2022-2023,La Liga,Girona,Athletic Club,Away,3,2,W,Miguel Gutiérrez,N,-,30,0,0,0,0,0,0,0,0,1,0,0
2023-03-04,2022-2023,La Liga,Girona,Getafe,Away,2,3,L,Miguel Gutiérrez,N,-,45,1,0,1,1,1,0,0,0,5,0,0
2023-03-13,2022-2023,La Liga,Girona,Atlético Madrid,Home,0,1,L,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,1,3,2,1,0
2023-03-18,2022-2023,La Liga,Girona,Rayo Vallecano,Away,2,2,D 2-2,Miguel Gutiérrez,Y,LB,45,0,0,0,0,0,0,0,0,1,1,1
2023-04-01,2022-2023,La Liga,Girona,Espanyol,Home,2,1,W 2-1,Miguel Gutiérrez,N,,14,0,0,0,0,0,0,1,1,1,0,0
2023-04-16,2022-2023,La Liga,Girona,Elche,Home,2,0,W 2-0,Miguel Gutiérrez,N,,33,0,0,1,0,0,0,1,0,2,2,1
2023-04-25,2022-2023,La Liga,Girona,Real Madrid,Home,4,2,W 4-2,Miguel Gutiérrez,Y,LB,88,0,1,0,0,0,0,0,0,4,0,0
2023-05-01,2022-2023,La Liga,Girona,Sevilla,Away,2,0,W 2-0,Miguel Gutiérrez,Y,LB,72,0,0,1,0,0,0,1,1,2,2,0
2023-05-04,2022-2023,La Liga,Girona,Mallorca,Home,2,1,W 2-1,Miguel Gutiérrez,Y,LB,72,0,0,2,1,0,0,2,0,2,0,0
2023-05-13,2022-2023,La Liga,Girona,Real Sociedad,Away,2,2,D 2-2,Miguel Gutiérrez,N,,32,0,0,0,0,0,0,2,0,1,0,0
2023-05-20,2022-2023,La Liga,Girona,Villarreal,Home,1,2,L 1-2,Miguel Gutiérrez,Y,LB,77,0,0,0,0,0,0,2,2,6,2,1
2023-05-23,2022-2023,La Liga,Girona,Celta Vigo,Away,1,1,D 1-1,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,1,0,2,0,2
2023-05-28,2022-2023,La Liga,Girona,Real Betis,Home,1,2,L 1-2,Miguel Gutiérrez,Y,LB,90,1,0,1,1,0,0,1,0,8,0,0
2023-06-04,2022-2023,La Liga,Girona,Osasuna,Away,1,2,L 1-2,Miguel Gutiérrez,Y,LB,84,0,0,0,0,0,0,1,1,4,2,1
2023-08-12,2023-2024,La Liga,Girona,Real Sociedad,Away,1,1,D,Miguel Gutiérrez,Y,LB,90,0,0,0,0,1,0,1,0,0,2,1
2023-08-20,2023-2024,La Liga,Girona,Getafe,Home,3,0,W,Miguel Gutiérrez,Y,LB,90,0,1,0,0,0,0,0,0,2,0,0
2023-08-26,2023-2024,La Liga,Girona,Sevilla,Away,2,1,W,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,0,1,0,1,0
2023-09-03,2023-2024,La Liga,Girona,Las Palmas,Home,1,0,W,Miguel Gutiérrez,Y,LB,90,0,0,1,1,0,0,0,0,2,1,2
2023-09-18,2023-2024,La Liga,Girona,Granada,Away,4,2,W,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,1,0,1,2,0
2023-09-27,2023-2024,La Liga,Girona,Villarreal,Away,2,1,W,Miguel Gutiérrez,Y,LB,90,0,0,2,0,1,0,1,1,0,1,1
2023-09-30,2023-2024,La Liga,Girona,Real Madrid,Home,0,3,L,Miguel Gutiérrez,Y,LB,90,0,0,1,0,0,0,0,0,1,5,0
2023-10-07,2023-2024,La Liga,Girona,Cádiz,Away,1,0,W,Miguel Gutiérrez,Y,LM,61,0,0,3,0,0,0,0,1,0,0,1
2023-10-22,2023-2024,La Liga,Girona,Almería,Home,5,2,W,Miguel Gutiérrez,Y,DM,90,0,0,1,0,0,0,1,1,0,1,0
2023-10-27,2023-2024,La Liga,Girona,Celta Vigo,Home,1,0,W,Miguel Gutiérrez,Y,LM,90,0,0,3,0,0,0,0,4,2,1,2
2023-11-04,2023-2024,La Liga,Girona,Osasuna,Away,4,2,W,Miguel Gutiérrez,Y,LM,90,0,0,0,0,0,0,0,2,0,8,1
2023-11-11,2023-2024,La Liga,Girona,Rayo Vallecano,Away,2,1,W,Miguel Gutiérrez,Y,DM,90,0,0,3,0,1,0,2,1,0,6,0
2023-11-27,2023-2024,La Liga,Girona,Athletic Club,Home,1,1,D,Miguel Gutiérrez,Y,LB,90,0,0,1,0,0,0,1,2,0,2,2
2023-12-02,2023-2024,La Liga,Girona,Valencia,Home,2,1,W,Miguel Gutiérrez,Y,LB,90,0,0,1,0,0,0,0,0,1,10,0
2023-12-10,2023-2024,La Liga,Girona,Barcelona,Away,4,2,W,Miguel Gutiérrez,Y,DM,90,1,0,3,2,0,0,1,0,1,2,0
2023-12-18,2023-2024,La Liga,Girona,Alavés,Home,3,0,W,Miguel Gutiérrez,Y,DM,90,0,0,0,0,0,0,0,0,0,3,0
2023-12-21,2023-2024,La Liga,Girona,Real Betis,Away,1,1,D,Miguel Gutiérrez,Y,LB,90,0,0,1,1,0,0,1,0,1,4,2
2024-01-03,2023-2024,La Liga,Girona,Atlético Madrid,Home,4,3,W,Miguel Gutiérrez,Y,LB,90,0,0,0,0,0,0,0,1,0,4,0
