Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-09-10,2016-2017,Ligue 1,Lyon,Bordeaux,Home,1,3,L,Mouctar Diakhaby,Y,CB,90,0,0,2,1,0,0,1,0,0,1,2
2016-10-22,2016-2017,Ligue 1,Lyon,Guingamp,Home,1,3,L,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,0,0,0,2,1
2016-10-29,2016-2017,Ligue 1,Lyon,Toulouse,Away,2,1,W,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,1,1,0,0,5
2016-11-05,2016-2017,Ligue 1,Lyon,Bastia,Home,2,1,W,Mouctar Diakhaby,Y,CB,90,0,0,3,0,0,0,1,0,0,0,1
2016-11-18,2016-2017,Ligue 1,Lyon,Lille,Away,1,0,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,1,0,3,0,0,0,1
2016-11-27,2016-2017,Ligue 1,Lyon,PSG,Home,1,2,L,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,0,0,1,1,1
2016-11-30,2016-2017,Ligue 1,Lyon,Nantes,Away,6,0,W,Mouctar Diakhaby,Y,CB,90,1,0,1,1,0,0,0,0,0,0,1
2016-12-11,2016-2017,Ligue 1,Lyon,Rennes,Home,1,0,W,Mouctar Diakhaby,Y,CB,90,0,0,1,1,0,0,0,0,0,0,3
2016-12-18,2016-2017,Ligue 1,Lyon,Monaco,Away,3,1,W,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,0,0,0,2,2
2016-12-21,2016-2017,Ligue 1,Lyon,Angers,Home,2,0,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,2,0,0,1,1
2017-01-15,2016-2017,Ligue 1,Lyon,Caen,Away,2,3,L,Mouctar Diakhaby,Y,CB,39,0,0,2,0,1,0,1,0,0,1,1
2017-02-11,2016-2017,Ligue 1,Lyon,Guingamp,Away,1,2,L,Mouctar Diakhaby,Y,CB,90,0,0,2,1,1,0,2,0,0,0,2
2017-02-19,2016-2017,Ligue 1,Lyon,Dijon,Home,4,2,W,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,0,0,0,1,1
2017-02-26,2016-2017,Ligue 1,Lyon,Metz,Home,5,0,W,Mouctar Diakhaby,Y,CB,90,0,0,1,0,1,0,1,0,0,1,4
2017-03-03,2016-2017,Ligue 1,Lyon,Bordeaux,Away,1,1,D,Mouctar Diakhaby,Y,CB,90,0,0,2,0,0,0,1,0,0,1,2
2017-03-19,2016-2017,Ligue 1,Lyon,PSG,Away,1,2,L,Mouctar Diakhaby,Y,CB,90,0,0,2,1,0,0,1,1,0,1,2
2017-04-02,2016-2017,Ligue 1,Lyon,Rennes,Away,1,1,D,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,1,0,0,3,1
2017-04-05,2016-2017,Ligue 1,Lyon,Metz,Away,3,0,W,Mouctar Diakhaby,Y,CB,90,0,0,1,0,1,0,1,0,0,1,2
2017-04-23,2016-2017,Ligue 1,Lyon,Monaco,Home,1,2,L,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,2,0,0,5,2
2017-04-28,2016-2017,Ligue 1,Lyon,Angers,Away,2,1,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2017-05-14,2016-2017,Ligue 1,Lyon,Montpellier,Away,3,1,W,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,1,0,0,1,2
2017-05-20,2016-2017,Ligue 1,Lyon,Nice,Home,3,3,D,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2017-08-11,2017-2018,Ligue 1,Lyon,Rennes,Away,2,1,W,Mouctar Diakhaby,N,On as sub,4,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,2017-2018,Ligue 1,Lyon,Bordeaux,Home,3,3,D,Mouctar Diakhaby,N,On as sub,17,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,2017-2018,Ligue 1,Lyon,Angers,Away,3,3,D,Mouctar Diakhaby,Y,CB,90,1,0,1,1,0,0,0,0,0,0,3
2017-10-13,2017-2018,Ligue 1,Lyon,Monaco,Home,3,2,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,1,0,0,0,0,2,1
2017-11-19,2017-2018,Ligue 1,Lyon,Montpellier,Home,0,0,D,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,0,0,0,1,1
2017-11-26,2017-2018,Ligue 1,Lyon,Nice,Away,5,0,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2017-11-29,2017-2018,Ligue 1,Lyon,Lille,Home,1,2,L,Mouctar Diakhaby,Y,CB,52,0,0,1,0,0,0,0,0,0,1,1
2017-12-03,2017-2018,Ligue 1,Lyon,Caen,Away,2,1,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2017-12-20,2017-2018,Ligue 1,Lyon,Toulouse,Away,2,1,W,Mouctar Diakhaby,N,On as sub,4,0,0,0,0,0,0,0,0,0,0,1
2018-02-18,2017-2018,Ligue 1,Lyon,Lille,Away,2,2,D,Mouctar Diakhaby,Y,CB,90,0,0,1,0,1,0,2,0,0,0,2
2018-02-25,2017-2018,Ligue 1,Lyon,Saint-Étienne,Home,1,1,D,Mouctar Diakhaby,N,On as sub,21,0,0,0,0,0,0,1,0,0,0,0
2018-05-12,2017-2018,Ligue 1,Lyon,Strasbourg,Away,2,3,L,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,2,0,0,2,0
2018-08-20,2018-2019,La Liga,Valencia,Atlético Madrid,Home,1,1,D,Mouctar Diakhaby,N,,24,0,0,0,0,0,0,0,0,0,1,0
2018-08-26,2018-2019,La Liga,Valencia,Espanyol,Away,0,2,L,Mouctar Diakhaby,Y,CB,90,0,0,0,0,1,0,3,0,0,2,0
2018-09-02,2018-2019,La Liga,Valencia,Levante,Away,2,2,D,Mouctar Diakhaby,Y,CB,90,0,0,1,0,0,0,2,0,0,2,2
2018-09-15,2018-2019,La Liga,Valencia,Real Betis,Home,0,0,D,Mouctar Diakhaby,Y,CB,90,0,0,1,0,1,0,2,0,0,1,0
2018-09-23,2018-2019,La Liga,Valencia,Villarreal,Away,0,0,D,Mouctar Diakhaby,Y,CB,90,0,0,0,0,1,0,1,0,0,1,0
2018-09-29,2018-2019,La Liga,Valencia,Real Sociedad,Away,1,0,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2018-11-24,2018-2019,La Liga,Valencia,Rayo Vallecano,Home,3,0,W,Mouctar Diakhaby,Y,CB,90,0,0,0,0,1,0,1,0,0,0,0
2018-12-08,2018-2019,La Liga,Valencia,Sevilla,Home,1,1,D,Mouctar Diakhaby,N,,28,1,0,1,1,0,0,0,0,0,1,0
2018-12-15,2018-2019,La Liga,Valencia,Eibar,Away,1,1,D,Mouctar Diakhaby,N,,49,0,0,0,0,0,0,0,1,0,2,0
2018-12-23,2018-2019,La Liga,Valencia,Huesca,Home,2,1,W,Mouctar Diakhaby,Y,CB,90,0,0,2,1,0,0,0,0,0,0,0
2019-01-05,2018-2019,La Liga,Valencia,Alavés,Away,1,2,L,Mouctar Diakhaby,Y,CB,90,0,0,2,0,1,0,3,0,0,1,1
2019-01-26,2018-2019,La Liga,Valencia,Villarreal,Home,3,0,W,Mouctar Diakhaby,Y,CB,90,1,0,2,1,0,0,1,0,0,2,0
2019-02-24,2018-2019,La Liga,Valencia,Leganés,Away,1,1,D,Mouctar Diakhaby,N,,13,0,0,0,0,0,0,0,0,0,0,0
