Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-11-10,2019-2020,Ligue 1,Toulouse,Montpellier,Away,0,3,L,Moussa Diarra,Y,CB,90,0,0,0,0,0,0,0,1,0,3,3
2022-08-14,2022-2023,Ligue 1,Toulouse,Troyes,Away,3,0,W,Moussa Diarra,N,N/A,4,0,0,0,0,0,0,0,0,0,0,0
2022-08-21,2022-2023,Ligue 1,Toulouse,Lorient,Home,2,2,D,Moussa Diarra,Y,LB,75,0,0,0,0,0,0,1,0,0,4,0
2022-08-31,2022-2023,Ligue 1,Toulouse,Paris Saint-Germain,Home,0,3,L,Moussa Diarra,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2022-09-11,2022-2023,Ligue 1,Toulouse,Reims,Home,1,0,W,Moussa Diarra,Y,CB,90,0,0,0,0,0,0,3,1,0,0,3
2022-09-17,2022-2023,Ligue 1,Toulouse,Lille,Away,1,2,L,Moussa Diarra,Y,CB,90,0,0,0,0,0,0,3,3,0,3,5
2022-10-02,2022-2023,Ligue 1,Toulouse,Montpellier,Home,4,2,W,Moussa Diarra,N,N/A,19,0,0,0,0,0,0,0,0,0,0,0
2022-10-07,2022-2023,Ligue 1,Toulouse,Lyon,Away,1,1,D,Moussa Diarra,N,N/A,7,0,0,0,0,0,0,1,0,0,0,0
2022-10-16,2022-2023,Ligue 1,Toulouse,Angers,Home,3,2,W,Moussa Diarra,N,N/A,16,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,2022-2023,Ligue 1,Toulouse,Strasbourg,Home,2,2,D,Moussa Diarra,N,N/A,17,0,0,0,0,0,0,0,0,0,0,0
2022-10-28,2022-2023,Ligue 1,Toulouse,Lens,Away,0,3,L,Moussa Diarra,Y,CB,90,0,0,0,1,0,0,1,0,0,0,0
2022-11-12,2022-2023,Ligue 1,Toulouse,Rennes,Away,1,2,L,Moussa Diarra,N,N/A,55,0,0,0,0,0,0,0,0,0,1,0
2022-12-29,2022-2023,Ligue 1,Toulouse,Marseille,Away,1,6,L,Moussa Diarra,N,N/A,18,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,2022-2023,Ligue 1,Toulouse,Ajaccio,Home,2,0,W,Moussa Diarra,Y,LB,82,0,0,0,0,0,0,1,2,0,2,3
2023-01-11,2022-2023,Ligue 1,Toulouse,Auxerre,Away,5,0,W,Moussa Diarra,Y,LB,90,0,1,0,0,0,0,2,5,0,2,3
2023-01-15,2022-2023,Ligue 1,Toulouse,Brest,Home,1,1,D,Moussa Diarra,Y,LB,90,0,0,0,0,0,0,1,0,0,4,0
2023-01-29,2022-2023,Ligue 1,Toulouse,Strasbourg,Away,2,1,W,Moussa Diarra,Y,LB,90,0,0,0,0,0,0,1,2,0,2,0
2023-02-04,2022-2023,Ligue 1,Toulouse,Paris Saint-Germain,Away,1,2,L,Moussa Diarra,Y,LB,70,0,0,0,0,0,0,0,0,0,2,0
2023-02-12,2022-2023,Ligue 1,Toulouse,Rennes,Home,3,1,W,Moussa Diarra,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2023-03-05,2022-2023,Ligue 1,Toulouse,Clermont Foot,Home,0,1,L,Moussa Diarra,N,N/A,24,0,0,0,0,0,0,2,0,0,0,0
2023-03-12,2022-2023,Ligue 1,Toulouse,Angers,Away,2,0,W,Moussa Diarra,N,N/A,16,0,0,0,0,0,0,0,0,0,1,1
2023-04-23,2022-2023,Ligue 1,Toulouse,Lorient,Away,1,0,W,Moussa Diarra,N,N/A,12,0,0,0,0,0,0,1,1,0,0,0
2023-05-02,2022-2023,Ligue 1,Toulouse,Lens,Home,0,1,L,Moussa Diarra,Y,CB,77,0,0,0,0,0,0,1,1,1,0,1
