Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-24,2014-2015,La Liga,Barcelona,Elche,Home,3,0,W,Munir El Haddadi,Y,-,66,1,0,-,-,0,0,-,-,-,-,-
2014-08-31,2014-2015,La Liga,Barcelona,Villarreal,Away,1,0,W,Munir El Haddadi,Y,-,58,0,0,-,-,0,0,-,-,-,-,-
2014-09-13,2014-2015,La Liga,Barcelona,Athletic Club,Home,2,0,W,Munir El Haddadi,Y,-,62,0,0,-,-,0,0,-,-,-,-,-
2014-09-24,2014-2015,La Liga,Barcelona,Málaga,Away,0,0,D,Munir El Haddadi,N,-,27,0,0,-,-,0,0,-,-,-,-,-
2014-09-27,2014-2015,La Liga,Barcelona,Granada,Home,6,0,W,Munir El Haddadi,Y,-,70,0,0,-,-,0,0,-,-,-,-,-
2014-10-04,2014-2015,La Liga,Barcelona,Rayo Vallecano,Away,2,0,W,Munir El Haddadi,Y,-,58,0,1,-,-,0,0,-,-,-,-,-
2014-10-18,2014-2015,La Liga,Barcelona,Eibar,Home,3,0,W,Munir El Haddadi,N,-,14,0,0,-,-,0,0,-,-,-,-,-
2014-11-08,2014-2015,La Liga,Barcelona,Almeria,Away,2,1,W,Munir El Haddadi,Y,-,45,0,0,-,-,0,0,-,-,-,-,-
2014-12-13,2014-2015,La Liga,Barcelona,Getafe,Away,0,0,D,Munir El Haddadi,N,-,14,0,0,-,-,0,0,-,-,-,-,-
2015-01-04,2014-2015,La Liga,Barcelona,Real Sociedad,Away,0,1,L,Munir El Haddadi,Y,-,45,0,0,-,-,0,0,-,-,-,-,-
2015-09-20,2015-16,La Liga,Barcelona,Levante,Home,4,1,W,Munir El Haddadi,Y,CM,90,0,0,2,1,0,0,1,2,0,0,1
2015-09-23,2015-16,La Liga,Barcelona,Celta Vigo,Away,1,4,L,Munir El Haddadi,N,-,33,0,0,3,1,0,0,0,0,0,1,2
2015-09-26,2015-16,La Liga,Barcelona,Las Palmas,Home,2,1,W,Munir El Haddadi,N,-,70,0,1,1,0,0,0,1,1,1,0,1
2015-10-03,2015-16,La Liga,Barcelona,Sevilla,Away,1,2,L,Munir El Haddadi,Y,FW,59,0,0,1,0,0,0,3,1,0,0,1
2015-10-17,2015-16,La Liga,Barcelona,Rayo Vallecano,Home,5,2,W,Munir El Haddadi,N,-,35,0,0,0,0,0,0,0,0,0,0,3
