Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-10-03,2020-2021,Serie A,Udinese,Roma,Home,0,1,L,Nahuel Molina,N,SUB,29,0,0,1,1,0,0,0,0,2,1,2
2020-10-25,2020-2021,Serie A,Udinese,Fiorentina,Away,2,3,L,Nahuel Molina,Y,RM,90,0,0,0,0,0,0,0,0,7,1,1
2020-11-29,2020-2021,Serie A,Udinese,Lazio,Away,3,1,W,Nahuel Molina,N,SUB,34,0,0,0,0,0,0,1,0,1,1,0
2020-12-15,2020-2021,Serie A,Udinese,Crotone,Home,0,0,D,Nahuel Molina,Y,RM,78,0,0,2,2,0,0,0,1,3,0,0
2021-01-03,2020-2021,Serie A,Udinese,Juventus,Away,1,4,L,Nahuel Molina,N,SUB,27,0,0,0,0,0,0,0,0,2,1,0
2021-01-06,2020-2021,Serie A,Udinese,Bologna,Away,2,2,D,Nahuel Molina,N,SUB,14,0,1,0,0,0,0,0,0,3,0,1
2021-01-10,2020-2021,Serie A,Udinese,Napoli,Home,1,2,L,Nahuel Molina,Y,RM,90,0,0,1,1,0,0,0,0,1,2,1
2021-01-16,2020-2021,Serie A,Udinese,Sampdoria,Away,1,2,L,Nahuel Molina,N,SUB,7,0,0,0,0,0,0,0,0,2,0,0
2021-01-20,2020-2021,Serie A,Udinese,Atalanta,Home,1,1,D,Nahuel Molina,N,SUB,2,0,0,0,0,0,1,0,0,0,0,0
2021-01-23,2020-2021,Serie A,Udinese,Inter,Home,0,0,D,Nahuel Molina,N,SUB,13,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,2020-2021,Serie A,Udinese,Spezia,Away,1,0,W,Nahuel Molina,N,SUB,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,2020-2021,Serie A,Udinese,Hellas Verona,Home,2,0,W,Nahuel Molina,N,SUB,20,0,1,0,0,0,0,0,0,1,0,0
2021-02-14,2020-2021,Serie A,Udinese,Roma,Away,0,3,L,Nahuel Molina,N,SUB,29,0,0,0,0,0,0,0,0,3,1,2
2021-02-21,2020-2021,Serie A,Udinese,Parma,Away,2,2,D,Nahuel Molina,N,SUB,45,0,0,0,0,0,0,0,0,6,1,0
2021-02-28,2020-2021,Serie A,Udinese,Fiorentina,Home,1,0,W,Nahuel Molina,Y,RM,89,0,0,1,0,0,3,0,0,1,1,1
2021-03-03,2020-2021,Serie A,Udinese,Milan,Away,1,1,D,Nahuel Molina,Y,RM,90,0,0,0,0,0,1,2,0,2,1,0
2021-03-06,2020-2021,Serie A,Udinese,Sassuolo,Home,2,0,W,Nahuel Molina,Y,RM,90,0,1,1,0,0,2,0,2,4,1,1
