Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-02-05,2021-2022,La Liga,Alavés,Elche,Away,1,3,L,Nahuel Tenaglia,N,,37,0,0,0,0,0,0,0,0,1,0,1
2022-02-13,2021-2022,La Liga,Alavés,Valencia,Home,2,1,W,Nahuel Tenaglia,Y,RB,90,0,0,0,0,1,0,0,0,1,3,0
2022-02-19,2021-2022,La Liga,Alavés,Real Madrid,Away,0,3,L,Nahuel Tenaglia,Y,RB,90,0,0,1,0,0,0,0,0,1,4,3
2022-02-26,2021-2022,La Liga,Alavés,Getafe,Away,2,2,D,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,0,0,5,1,3
2022-03-04,2021-2022,La Liga,Alavés,Sevilla,Home,0,0,D,Nahuel Tenaglia,Y,RB,90,0,0,1,0,0,0,0,0,0,3,4
2022-03-13,2021-2022,La Liga,Alavés,Real Sociedad,Away,0,1,L,Nahuel Tenaglia,Y,RB,90,0,0,2,1,0,0,1,0,3,3,2
2022-03-19,2021-2022,La Liga,Alavés,Granada,Home,2,3,L,Nahuel Tenaglia,Y,RB,90,0,0,0,0,1,0,1,0,2,0,4
2022-04-02,2021-2022,La Liga,Alavés,Atlético Madrid,Away,1,4,L,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,0,0,1,4,2
2022-04-10,2021-2022,La Liga,Alavés,Osasuna,Away,0,1,L,Nahuel Tenaglia,Y,RB,80,0,0,0,0,0,0,0,0,0,4,1
2022-04-16,2021-2022,La Liga,Alavés,Rayo Vallecano,Home,1,0,W,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,0,0,1,2,2
2022-05-07,2021-2022,La Liga,Alavés,Celta Vigo,Away,0,4,L,Nahuel Tenaglia,Y,RB,45,0,0,0,0,0,0,0,0,0,1,0
2022-05-11,2021-2022,La Liga,Alavés,Espanyol,Home,2,1,W,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,3,0,6,1,2
2022-05-15,2021-2022,La Liga,Alavés,Levante,Away,1,3,L,Nahuel Tenaglia,N,,11,0,0,0,0,0,0,1,0,2,0,0
2022-05-22,2021-2022,La Liga,Alavés,Cádiz,Home,0,1,L,Nahuel Tenaglia,Y,RB,90,0,0,2,0,0,0,1,0,1,1,2
2023-09-02,2023-2024,La Liga,Alavés,Valencia,Home,1,0,W 1–0,Nahuel Tenaglia,N,,16,0,0,0,0,0,0,1,0,0,0,0
2023-10-01,2023-2024,La Liga,Alavés,Osasuna,Home,0,2,L 0–2,Nahuel Tenaglia,Y,RB,54,0,0,0,0,0,0,1,1,1,1,1
2023-10-22,2023-2024,La Liga,Alavés,Villarreal,Away,1,1,D 1–1,Nahuel Tenaglia,N,,14,0,0,0,0,0,0,0,0,0,1,0
2023-11-05,2023-2024,La Liga,Alavés,Almería,Home,1,0,W 1–0,Nahuel Tenaglia,N,,8,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,2023-2024,La Liga,Alavés,Barcelona,Away,1,2,L 1–2,Nahuel Tenaglia,N,,6,0,0,1,0,0,0,1,0,0,0,0
2023-11-24,2023-2024,La Liga,Alavés,Granada,Home,3,1,W 3–1,Nahuel Tenaglia,N,,1,0,0,0,0,0,0,0,0,0,0,0
2023-12-09,2023-2024,La Liga,Alavés,Las Palmas,Home,0,1,L 0–1,Nahuel Tenaglia,N,,5,0,0,0,0,0,0,0,0,0,0,0
2023-12-18,2023-2024,La Liga,Alavés,Girona,Away,0,3,L 0–3,Nahuel Tenaglia,Y,CB,90,0,0,0,0,1,0,1,0,2,1,2
2023-12-21,2023-2024,La Liga,Alavés,Real Madrid,Home,0,1,L 0–1,Nahuel Tenaglia,N,,13,0,0,1,0,1,0,2,0,1,0,0
2024-01-02,2023-2024,La Liga,Alavés,Real Sociedad,Away,1,1,D 1–1,Nahuel Tenaglia,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2024-01-12,2023-2024,La Liga,Alavés,Sevilla,Away,3,2,W 3–2,Nahuel Tenaglia,Y,CB,90,1,0,2,1,0,0,0,0,0,2,1
2024-01-19,2023-2024,La Liga,Alavés,Cádiz,Home,1,0,W 1–0,Nahuel Tenaglia,N,,1,0,0,0,0,0,0,0,0,0,0,0
2024-01-26,2023-2024,La Liga,Alavés,Almería,Away,3,0,W 3–0,Nahuel Tenaglia,N,,13,0,0,0,0,0,0,1,0,0,0,0
2024-02-03,2023-2024,La Liga,Alavés,Barcelona,Home,1,3,L 1–3,Nahuel Tenaglia,Y,RB,76,0,0,0,0,0,0,1,1,1,0,2
2024-02-24,2023-2024,La Liga,Alavés,Mallorca,Home,1,1,D 1–1,Nahuel Tenaglia,N,,6,0,0,0,0,0,0,0,0,0,1,1
2024-03-04,2023-2024,La Liga,Alavés,Osasuna,Away,0,1,L 0–1,Nahuel Tenaglia,N,,67,0,0,0,0,0,0,0,0,0,1,1
2024-03-10,2023-2024,La Liga,Alavés,Rayo Vallecano,Home,1,0,W 1–0,Nahuel Tenaglia,N,,6,0,0,0,0,0,0,0,0,0,0,1
2024-03-16,2023-2024,La Liga,Alavés,Athletic Club,Away,0,2,L 0–2,Nahuel Tenaglia,N,,15,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,2023-2024,La Liga,Alavés,Granada,Away,0,2,L 0–2,Nahuel Tenaglia,Y,CB,90,0,0,0,0,1,0,0,0,1,0,1
2024-04-21,2023-2024,La Liga,Alavés,Atlético Madrid,Home,2,0,W 2–0,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,1,0,1,2,0
2024-04-27,2023-2024,La Liga,Alavés,Celta Vigo,Away,3,0,W 3–0,Nahuel Tenaglia,Y,CB,90,0,0,2,0,0,0,1,0,0,1,1
2024-05-05,2023-2024,La Liga,Alavés,Valencia,Away,1,0,W 1–0,Nahuel Tenaglia,Y,CB,90,0,0,1,0,1,0,1,0,1,0,1
2024-05-10,2023-2024,La Liga,Alavés,Girona,Home,2,2,D 2–2,Nahuel Tenaglia,Y,RB,90,0,0,1,0,0,0,0,0,3,1,1
2024-05-14,2023-2024,La Liga,Alavés,Real Madrid,Away,0,5,L 0–5,Nahuel Tenaglia,N,,30,0,0,0,0,0,0,0,0,2,1,0
2024-05-18,2023-2024,La Liga,Alavés,Getafe,Home,1,0,W 1–0,Nahuel Tenaglia,Y,RB,90,0,0,0,0,1,0,2,0,3,1,0
2024-08-16,2024-2025,La Liga,Alavés,Celta Vigo,Away,1,2,L,Nahuel Tenaglia,Y,CB,90,0,0,0,0,0,0,0,0,0,3,0
2024-08-25,2024-2025,La Liga,Alavés,Real Betis,Home,0,0,D,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,2,0,6,1,3
2024-09-01,2024-2025,La Liga,Alavés,Las Palmas,Home,2,0,W,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,1,0,0,1,0
2024-09-14,2024-2025,La Liga,Alavés,Espanyol,Away,2,3,L,Nahuel Tenaglia,Y,RB,90,1,0,1,1,0,0,0,0,6,2,0
2024-09-20,2024-2025,La Liga,Alavés,Sevilla,Home,2,1,W,Nahuel Tenaglia,Y,RB,90,0,1,1,1,0,0,2,0,1,1,2
2024-09-28,2024-2025,La Liga,Alavés,Getafe,Away,0,2,L,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,1,0,1,1,0
2024-10-06,2024-2025,La Liga,Alavés,Barcelona,Home,0,3,L,Nahuel Tenaglia,Y,RB,45,0,0,0,0,1,0,1,1,1,1,0
2024-10-18,2024-2025,La Liga,Alavés,Valladolid,Home,2,3,L,Nahuel Tenaglia,Y,RB,90,0,0,0,0,1,0,4,1,2,1,1
2024-10-26,2024-2025,La Liga,Alavés,Rayo Vallecano,Away,0,1,L,Nahuel Tenaglia,Y,CB,90,0,0,0,0,0,0,1,0,1,0,0
2024-11-01,2024-2025,La Liga,Alavés,Mallorca,Home,1,0,W,Nahuel Tenaglia,Y,RB,90,0,0,3,0,0,0,0,0,4,2,0
2024-11-09,2024-2025,La Liga,Alavés,Villarreal,Away,0,3,L,Nahuel Tenaglia,Y,RB,90,0,0,1,0,1,0,2,0,4,1,2
2024-11-23,2024-2025,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,0,0,0,1,0
2024-11-30,2024-2025,La Liga,Alavés,Leganés,Home,1,1,D,Nahuel Tenaglia,Y,RB,76,0,0,3,0,0,0,1,0,4,1,0
2024-12-08,2024-2025,La Liga,Alavés,Osasuna,Away,2,2,D,Nahuel Tenaglia,Y,RB,90,0,0,0,0,1,0,0,0,1,3,3
2024-12-15,2024-2025,La Liga,Alavés,Athletic Club,Home,1,1,D,Nahuel Tenaglia,Y,RB,90,0,0,1,0,1,0,4,0,1,7,2
2025-01-11,2024-2025,La Liga,Alavés,Girona,Home,0,1,L,Nahuel Tenaglia,Y,RB,90,0,0,0,0,0,0,0,0,1,2,2
2025-01-18,2024-2025,La Liga,Alavés,Real Betis,Away,3,1,W,Nahuel Tenaglia,Y,RB,90,0,0,1,1,1,0,1,0,3,1,5
