Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-27,2020,Série A,Flamengo,Palmeiras,Away,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,2020,Série A,Flamengo,Athletico Paranaense,Home,3,1,W,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2020-10-07,2020,Série A,Flamengo,Sport Recife,Home,3,0,W,Natan,Y,CB,90,0,0,0,0,0,0,2,0,0,0,1
2020-10-13,2020,Série A,Flamengo,Goiás,Home,2,1,W,Natan,Y,CB,90,0,0,2,1,0,0,2,0,0,1,1
2020-10-18,2020,Série A,Flamengo,Corinthians,Away,5,1,W,Natan,Y,CB,90,1,0,1,1,1,0,1,0,0,1,3
2020-10-25,2020,Série A,Flamengo,Internacional,Away,2,2,D,Natan,Y,CB,90,0,0,1,1,1,0,0,0,0,2,3
2020-11-01,2020,Série A,Flamengo,São Paulo,Home,1,4,L,Natan,Y,CB,84,0,0,0,0,0,0,0,0,0,1,2
2020-11-08,2020,Série A,Flamengo,Atlético Mineiro,Away,0,4,L,Natan,Y,CB,90,0,0,2,0,0,0,1,0,0,2,3
2020-11-14,2020,Série A,Flamengo,Atlético Goianiense,Home,1,1,D,Natan,N,CB,45,0,0,1,0,1,0,1,0,0,0,1
2020-12-13,2020,Série A,Flamengo,Santos,Home,4,1,W,Natan,Y,CB,90,0,0,1,0,0,0,1,0,0,1,3
2020-12-20,2020,Série A,Flamengo,Bahia,Home,4,3,W,Natan,Y,CB,90,0,0,0,0,0,0,2,1,0,1,3
2020-12-26,2020,Série A,Flamengo,Fortaleza,Away,0,0,D,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2021-01-06,2020,Série A,Flamengo,Fluminense,Home,1,2,L,Natan,Y,CB,69,0,0,1,0,0,0,1,1,0,0,3
2021-02-21,2020,Série A,Flamengo,Internacional,Home,2,1,W,Natan,N,CB,33,0,0,0,0,1,0,1,0,0,0,0
2021-05-30,2021,Série A,RB Bragantino,Chapecoense,Away,3,0,W,Natan,N,CB,3,0,0,0,0,0,0,1,0,0,0,0
2021-06-05,2021,Série A,RB Bragantino,Bahia,Home,3,3,D,Natan,Y,CB,90,0,0,0,0,0,0,0,1,0,0,0
2021-06-13,2021,Série A,RB Bragantino,Fluminense,Home,2,2,D,Natan,Y,CB,62,0,0,0,0,1,0,1,0,1,1,1
2021-06-19,2021,Série A,RB Bragantino,Flamengo,Away,3,2,W,Natan,N,CB,8,0,0,0,0,0,0,0,0,0,1,0
2021-06-23,2021,Série A,RB Bragantino,Palmeiras,Home,3,1,W,Natan,Y,CB,90,0,0,0,0,0,0,3,1,0,0,1
2021-07-01,2021,Série A,RB Bragantino,Ceará,Home,0,0,D,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2021-07-04,2021,Série A,RB Bragantino,São Paulo,Away,2,1,W,Natan,Y,CB,90,0,0,0,0,0,0,0,1,1,0,2
2021-07-07,2021,Série A,RB Bragantino,Cuiabá,Home,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,0,2,0,0,3
2021-07-10,2021,Série A,RB Bragantino,Athletico Paranaense,Away,2,2,D,Natan,Y,CB,90,0,0,0,0,0,0,0,1,0,0,0
2021-07-18,2021,Série A,RB Bragantino,Santos,Home,2,2,D,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
2021-07-31,2021,Série A,RB Bragantino,Grêmio,Home,1,0,W,Natan,N,CB,1,0,0,0,0,0,0,0,0,0,0,0
2021-08-06,2021,Série A,RB Bragantino,Sport Recife,Away,0,0,D,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,1,1
2021-08-23,2021,Série A,RB Bragantino,América-MG,Away,2,0,W,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,2,1
2021-08-29,2021,Série A,RB Bragantino,Atlético Mineiro,Home,1,1,D,Natan,N,CB,7,0,0,0,0,0,0,0,0,0,0,0
2021-09-18,2021,Série A,RB Bragantino,Bahia,Away,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2021-09-26,2021,Série A,RB Bragantino,Fluminense,Away,1,2,L,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2021-10-06,2021,Série A,RB Bragantino,Flamengo,Home,1,1,D,Natan,N,CB,13,0,0,0,0,0,0,1,1,0,0,0
2021-10-09,2021,Série A,RB Bragantino,Palmeiras,Away,4,2,W,Natan,Y,CB,90,0,0,1,1,0,0,1,0,0,1,1
2021-10-17,2021,Série A,RB Bragantino,Ceará,Away,2,2,D,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2021-11-01,2021,Série A,RB Bragantino,Cuiabá,Away,0,1,L,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,2
2021-11-07,2021,Série A,RB Bragantino,Athletico Paranaense,Home,0,2,L,Natan,Y,CB,90,0,0,0,0,1,0,1,0,0,0,0
2021-11-10,2021,Série A,RB Bragantino,Santos,Away,0,2,L,Natan,Y,CB,90,0,0,1,0,0,0,1,0,0,1,2
2021-11-16,2021,Série A,RB Bragantino,Grêmio,Away,0,3,L,Natan,Y,CB,90,0,0,0,0,1,0,4,0,0,0,1
2021-12-05,2021,Série A,RB Bragantino,Atlético Mineiro,Away,3,4,L,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,2,1
2022-04-17,2022,Série A,RB Bragantino,Atlético Goianiense,Home,4,0,W,Natan,Y,CB,90,1,0,2,1,0,0,1,0,0,1,2
2022-05-14,2022,Série A,RB Bragantino,Palmeiras,Away,0,2,L,Natan,Y,CB,90,0,0,1,1,1,0,1,0,0,1,3
2022-05-28,2022,Série A,RB Bragantino,Goiás,Away,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,1,1,0,1,0
2022-06-05,2022,Série A,RB Bragantino,Internacional,Home,0,2,L,Natan,Y,CB,90,0,0,1,1,0,0,0,1,0,2,0
2022-06-08,2022,Série A,RB Bragantino,Flamengo,Home,1,0,W,Natan,Y,CB,90,0,0,1,0,0,0,1,1,0,0,2
2022-06-11,2022,Série A,RB Bragantino,Cuiabá,Away,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,0,1,0,2,0
2022-06-15,2022,Série A,RB Bragantino,Coritiba,Home,4,2,W,Natan,Y,CB,90,1,0,1,1,0,0,0,1,0,0,2
2022-06-18,2022,Série A,RB Bragantino,Santos,Away,2,2,D,Natan,Y,CB,90,0,0,0,0,0,0,2,0,0,1,0
2022-06-25,2022,Série A,RB Bragantino,Athletico Paranaense,Away,2,4,L,Natan,Y,CB,90,0,0,1,0,0,0,0,1,0,0,5
2022-07-04,2022,Série A,RB Bragantino,Botafogo (RJ),Home,0,1,L,Natan,Y,CB,90,0,0,0,0,0,0,0,0,1,0,0
2022-07-09,2022,Série A,RB Bragantino,Avaí,Home,4,0,W,Natan,Y,CB,90,0,0,1,0,0,0,0,1,0,1,0
2022-07-17,2022,Série A,RB Bragantino,América-MG,Away,3,0,W,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2022-07-20,2022,Série A,RB Bragantino,Fortaleza,Home,2,1,W,Natan,Y,CB,90,0,1,0,0,1,0,2,1,0,1,2
2022-07-24,2022,Série A,RB Bragantino,Fluminense,Away,1,2,L,Natan,Y,CB,90,0,0,0,0,0,0,1,1,0,2,0
2022-07-31,2022,Série A,RB Bragantino,Juventude,Home,1,0,W,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2022-08-06,2022,Série A,RB Bragantino,Atlético Goianiense,Away,1,2,L,Natan,Y,CB,90,0,0,1,0,1,0,0,1,1,0,1
2022-08-21,2022,Série A,RB Bragantino,Ceará,Home,1,1,D,Natan,Y,CB,90,0,0,1,0,1,0,0,1,0,1,0
2022-08-29,2022,Série A,RB Bragantino,Corinthians,Away,0,1,L,Natan,Y,CB,90,0,0,0,0,0,0,1,2,0,1,1
2022-09-03,2022,Série A,RB Bragantino,Palmeiras,Home,2,2,D,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2022-09-07,2022,Série A,RB Bragantino,Atlético Mineiro,Away,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,0,1,0,0,0
2022-09-18,2022,Série A,RB Bragantino,Goiás,Home,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2022-09-28,2022,Série A,RB Bragantino,Internacional,Away,0,0,D,Natan,Y,CB,90,0,0,1,1,0,0,0,2,0,3,1
2022-10-01,2022,Série A,RB Bragantino,Flamengo,Away,1,4,L,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-05,2022,Série A,RB Bragantino,Cuiabá,Home,2,1,W,Natan,Y,CB,90,0,0,0,0,0,0,2,0,0,0,0
2022-10-09,2022,Série A,RB Bragantino,Coritiba,Away,1,2,L,Natan,Y,CB,90,0,0,1,0,0,0,0,1,0,3,0
2022-10-17,2022,Série A,RB Bragantino,Santos,Home,0,2,L,Natan,Y,CB,90,0,0,0,0,0,0,2,0,0,1,2
2022-10-22,2022,Série A,RB Bragantino,Athletico Paranaense,Home,4,2,W,Natan,Y,CB,90,0,0,0,0,0,0,2,0,0,1,0
2022-10-26,2022,Série A,RB Bragantino,Botafogo (RJ),Away,1,2,L,Natan,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2022-11-02,2022,Série A,RB Bragantino,Avaí,Away,2,1,W,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,2,1
2022-11-05,2022,Série A,RB Bragantino,América-MG,Home,1,4,L,Natan,Y,CB,90,0,0,2,1,0,0,0,1,0,0,0
2022-11-09,2022,Série A,RB Bragantino,Fortaleza,Away,0,6,L,Natan,Y,CB,90,0,0,1,0,1,0,1,1,0,0,0
2022-11-13,2022,Série A,RB Bragantino,Fluminense,Home,0,1,L,Natan,Y,CB,90,0,0,1,1,0,0,0,1,0,1,3
2023-04-15,2023,Série A,RB Bragantino,Bahia,Home,2,1,W,Natan,Y,CB,90,0,0,0,0,0,0,0,1,0,0,0
2023-04-22,2023,Série A,RB Bragantino,Cuiabá,Away,1,1,D,Natan,Y,CB,90,0,0,0,0,0,0,2,2,0,1,0
2023-04-29,2023,Série A,RB Bragantino,Cruzeiro,Home,0,3,L,Natan,Y,CB,90,0,0,0,0,0,0,2,0,0,0,0
2023-05-07,2023,Série A,RB Bragantino,Grêmio,Away,3,3,D,Natan,Y,CB,90,0,0,1,0,0,0,2,0,1,1,1
2023-05-10,2023,Série A,RB Bragantino,América-MG,Home,2,2,D,Natan,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2023-05-13,2023,Série A,RB Bragantino,Palmeiras,Away,1,1,D,Natan,Y,CB,45,0,0,0,0,0,0,1,0,0,0,0
2023-07-09,2023,Série A,RB Bragantino,São Paulo,Home,0,0,D,Natan,N,CB,71,0,0,0,0,0,0,2,1,0,1,0
