Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-25,2018-2019,Ligue 1,Dijon,Nice,Away,4,0,W,Nayef Aguerd,Y,CB,90,1,0,1,1,1,0,2,0,0,1,1
2018-11-11,2018-2019,Ligue 1,Dijon,Marseille,Away,0,2,L,Nayef Aguerd,Y,CB,90,0,0,1,1,0,0,1,0,1,1,3
2018-11-24,2018-2019,Ligue 1,Dijon,Bordeaux,Home,0,0,D,Nayef Aguerd,Y,CB,90,0,0,1,0,0,0,1,0,1,2,2
2018-12-02,2018-2019,Ligue 1,Dijon,Toulouse,Away,2,2,D,Nayef Aguerd,Y,CB,90,1,0,1,1,0,0,1,1,0,0,0
2019-02-02,2018-2019,Ligue 1,Dijon,Angers,Away,0,1,L,Nayef Aguerd,N,CB,3,0,0,0,0,0,0,0,0,0,0,0
2019-02-15,2018-2019,Ligue 1,Dijon,Nîmes,Away,0,2,L,Nayef Aguerd,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2019-02-22,2018-2019,Ligue 1,Dijon,Saint-Étienne,Home,0,1,L,Nayef Aguerd,Y,LB,90,0,0,0,0,0,0,4,0,1,0,0
2019-03-03,2018-2019,Ligue 1,Dijon,Lille,Away,0,1,L,Nayef Aguerd,Y,CB,75,0,0,1,0,0,0,1,0,0,2,0
2019-03-12,2018-2019,Ligue 1,Dijon,Paris Saint-Germain,Home,0,4,L,Nayef Aguerd,Y,CB,90,0,0,1,0,0,0,1,0,0,0,1
2019-04-19,2018-2019,Ligue 1,Dijon,Rennes,Home,3,2,W,Nayef Aguerd,Y,CB,90,1,0,2,1,1,0,2,0,0,1,1
2019-04-28,2018-2019,Ligue 1,Dijon,Caen,Away,0,1,L,Nayef Aguerd,Y,LB,90,0,0,2,0,0,0,3,0,0,1,0
2019-05-05,2018-2019,Ligue 1,Dijon,Nantes,Away,0,3,L,Nayef Aguerd,Y,CB,72,0,0,0,0,1,1,2,0,0,2,1
2019-05-24,2018-2019,Ligue 1,Dijon,Toulouse,Home,2,1,W,Nayef Aguerd,Y,CB,90,0,0,0,0,1,0,0,1,0,1,2
2019-08-31,2019-2020,Ligue 1,Dijon,Angers,Away,0,2,L,Nayef Aguerd,Y,CB,90,0,0,0,0,0,0,2,0,0,1,3
2019-09-14,2019-2020,Ligue 1,Dijon,Nîmes,Home,0,0,D,Nayef Aguerd,Y,CB,90,0,0,1,0,1,0,3,1,0,1,1
2019-09-21,2019-2020,Ligue 1,Dijon,Nice,Away,1,2,L,Nayef Aguerd,Y,CB,90,0,0,0,0,1,0,2,0,0,1,1
2019-09-24,2019-2020,Ligue 1,Dijon,Marseille,Home,0,0,D,Nayef Aguerd,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2019-09-28,2019-2020,Ligue 1,Dijon,Reims,Away,2,1,W,Nayef Aguerd,Y,CB,90,0,0,1,0,0,0,0,0,1,1,0
2019-10-05,2019-2020,Ligue 1,Dijon,Strasbourg,Home,1,0,W,Nayef Aguerd,Y,CB,90,0,0,0,0,0,0,0,0,0,0,4
2019-10-19,2019-2020,Ligue 1,Dijon,Lyon,Away,0,0,D,Nayef Aguerd,Y,CB,57,0,0,0,0,0,0,0,0,0,0,1
2020-02-15,2019-2020,Ligue 1,Dijon,Bordeaux,Away,2,2,D,Nayef Aguerd,Y,CB,90,0,0,0,0,0,0,1,0,0,1,2
