Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-13,2016-2017,Ligue 1,Angers,Montpellier,Away,0,1,L,Nicolas Pépé,N,FW,26,0,0,0,0,0,0,1,1,3,1,1
2016-08-20,2016-2017,Ligue 1,Angers,Nice,Home,0,1,L,Nicolas Pépé,N,FW,25,0,0,0,0,0,0,1,0,0,1,1
2016-08-27,2016-2017,Ligue 1,Angers,Metz,Away,0,2,L,Nicolas Pépé,N,FW,28,0,0,2,0,0,0,0,1,1,0,1
2016-09-10,2016-2017,Ligue 1,Angers,Dijon,Home,3,1,W,Nicolas Pépé,N,FW,46,0,1,0,0,0,0,2,0,1,2,1
2016-09-17,2016-2017,Ligue 1,Angers,Bordeaux,Away,1,0,W,Nicolas Pépé,N,FW,21,0,0,0,0,0,0,2,0,1,0,1
2016-09-21,2016-2017,Ligue 1,Angers,Caen,Home,2,1,W,Nicolas Pépé,N,FW,8,0,0,0,0,0,0,0,0,1,0,0
2016-10-02,2016-2017,Ligue 1,Angers,Marseille,Home,1,1,D,Nicolas Pépé,Y,FW,58,0,0,2,0,0,0,1,1,2,1,1
2016-10-15,2016-2017,Ligue 1,Angers,Bastia,Away,2,1,W,Nicolas Pépé,N,FW,15,0,0,0,0,0,0,1,0,0,0,0
2016-10-22,2016-2017,Ligue 1,Angers,Toulouse,Home,0,0,D,Nicolas Pépé,N,FW,14,0,0,1,0,0,0,1,0,0,0,0
2016-10-29,2016-2017,Ligue 1,Angers,Guingamp,Away,0,1,L,Nicolas Pépé,N,FW,30,0,0,1,1,0,0,0,0,0,2,0
2016-11-05,2016-2017,Ligue 1,Angers,Lille,Home,1,0,W,Nicolas Pépé,N,FW,1,0,0,0,0,0,0,0,0,0,0,0
2016-11-19,2016-2017,Ligue 1,Angers,Rennes,Away,1,1,D,Nicolas Pépé,N,FW,24,1,0,1,1,0,0,1,1,2,0,0
2016-11-27,2016-2017,Ligue 1,Angers,Saint-Étienne,Home,1,2,L,Nicolas Pépé,Y,FW,90,1,0,4,3,0,0,2,4,1,1,2
2016-11-30,2016-2017,Ligue 1,Angers,Paris Saint-Germain,Away,0,2,L,Nicolas Pépé,Y,FW,66,0,0,2,0,0,0,0,2,1,1,1
2016-12-03,2016-2017,Ligue 1,Angers,Lorient,Home,2,2,D,Nicolas Pépé,N,FW,28,0,0,3,0,0,0,0,1,2,0,0
2016-12-10,2016-2017,Ligue 1,Angers,Nancy,Away,0,2,L,Nicolas Pépé,Y,FW,90,0,0,3,0,1,0,2,1,1,0,1
2016-12-16,2016-2017,Ligue 1,Angers,Nantes,Home,0,2,L,Nicolas Pépé,N,FW,40,0,0,1,0,0,0,0,0,4,1,0
2016-12-21,2016-2017,Ligue 1,Angers,Lyon,Away,0,2,L,Nicolas Pépé,Y,FW,64,0,0,1,1,0,0,1,0,1,2,0
2017-01-28,2016-2017,Ligue 1,Angers,Metz,Home,2,1,W,Nicolas Pépé,Y,FW,62,1,0,3,2,0,0,0,0,1,0,0
2017-02-05,2016-2017,Ligue 1,Angers,Toulouse,Away,0,4,L,Nicolas Pépé,Y,FW,52,0,0,2,0,1,0,1,2,0,3,1
2017-02-08,2016-2017,Ligue 1,Angers,Rennes,Home,0,0,D,Nicolas Pépé,N,FW,29,0,0,1,0,0,0,0,1,0,0,0
2017-02-11,2016-2017,Ligue 1,Angers,Lille,Away,2,1,W,Nicolas Pépé,N,FW,30,0,0,1,0,0,0,2,1,0,1,0
2017-02-18,2016-2017,Ligue 1,Angers,Nancy,Home,1,0,W,Nicolas Pépé,N,FW,29,0,0,1,0,0,0,2,1,0,2,1
2017-02-25,2016-2017,Ligue 1,Angers,Bastia,Home,3,0,W,Nicolas Pépé,N,FW,29,0,0,1,0,0,0,0,1,0,1,0
2017-03-10,2016-2017,Ligue 1,Angers,Marseille,Away,0,3,L,Nicolas Pépé,N,FW,33,0,0,2,1,0,0,0,0,0,0,0
2017-03-18,2016-2017,Ligue 1,Angers,Guingamp,Home,3,0,W,Nicolas Pépé,N,FW,7,0,0,1,0,0,0,0,0,0,1,0
2017-04-02,2016-2017,Ligue 1,Angers,Nantes,Away,1,2,L,Nicolas Pépé,N,FW,33,0,0,3,1,0,0,0,3,0,0,1
2017-04-08,2016-2017,Ligue 1,Angers,Monaco,Home,0,1,L,Nicolas Pépé,N,FW,29,0,0,1,0,0,1,0,1,2,1,0
2017-04-14,2016-2017,Ligue 1,Angers,Paris Saint-Germain,Home,0,2,L,Nicolas Pépé,Y,FW,75,0,0,2,1,0,0,0,1,5,3,0
2017-04-22,2016-2017,Ligue 1,Angers,Dijon,Away,2,3,L,Nicolas Pépé,Y,FW,67,0,0,1,1,0,1,1,1,4,1,2
