Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2016-08-27,2016-17,Premier League,Swansea City,Leicester City,Away,1,2,L,Oliver McBurnie,No,,5,0,0,0,0,0,0,0,0,0,0,0
2016-12-10,2016-17,Premier League,Swansea City,Sunderland,Home,3,0,W,Oliver McBurnie,No,,7,0,0,0,0,0,0,0,0,0,1,0
2016-12-31,2016-17,Premier League,Swansea City,Bournemouth,Home,0,3,L,Oliver McBurnie,No,,34,0,0,2,1,0,0,0,0,0,0,0
2017-01-14,2016-17,Premier League,Swansea City,Arsenal,Home,0,4,L,Oliver McBurnie,No,,20,0,0,0,0,0,0,1,0,1,0,0
2017-04-05,2016-17,Premier League,Swansea City,Tottenham Hotspur,Home,1,3,L,Oliver McBurnie,No,,16,0,0,0,0,0,0,0,0,0,0,0
2017-08-12,2017-18,Premier League,Swansea City,Southampton,Away,0,0,D,Oliver McBurnie,No,,5,0,0,0,0,0,0,0,0,0,0,0
2017-08-19,2017-18,Premier League,Swansea City,Manchester Utd,Home,0,4,L,Oliver McBurnie,No,,9,0,0,0,0,0,0,0,0,0,0,0
2017-08-26,2017-18,Premier League,Swansea City,Crystal Palace,Away,2,0,W,Oliver McBurnie,No,,13,0,0,0,0,0,0,2,0,0,0,0
2017-10-28,2017-18,Premier League,Swansea City,Arsenal,Away,1,2,L,Oliver McBurnie,No,,7,0,0,0,0,0,0,0,0,0,0,0
2017-11-04,2017-18,Premier League,Swansea City,Brighton,Home,0,1,L,Oliver McBurnie,No,,12,0,0,1,1,0,0,1,0,0,0,0
2017-11-29,2017-18,Premier League,Swansea City,Chelsea,Away,0,1,L,Oliver McBurnie,No,,26,0,0,0,0,0,0,0,0,0,0,0
2017-12-02,2017-18,Premier League,Swansea City,Stoke City,Away,1,2,L,Oliver McBurnie,No,,18,0,0,0,0,0,0,0,0,1,0,1
2017-12-26,2017-18,Premier League,Swansea City,Liverpool,Away,0,5,L,Oliver McBurnie,Yes,FW,61,0,0,2,1,0,0,1,0,0,0,0
2017-12-30,2017-18,Premier League,Swansea City,Watford,Away,2,1,W,Oliver McBurnie,No,,34,0,1,0,0,0,0,2,0,1,1,0
2018-01-02,2017-18,Premier League,Swansea City,Tottenham Hotspur,Home,0,2,L,Oliver McBurnie,No,,21,0,0,0,0,0,0,1,0,0,0,0
