Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-10-24,2020-2021,Bundesliga,Hertha BSC,RB Leipzig,Away,1,2,L,Omar Alderete,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2020-11-01,2020-2021,Bundesliga,Hertha BSC,Wolfsburg,Home,1,1,D,Omar Alderete,Y,CB,90,0,0,1,1,0,0,1,0,0,0,1
2020-11-07,2020-2021,Bundesliga,Hertha BSC,Augsburg,Away,3,0,W,Omar Alderete,Y,CB,90,0,0,0,0,0,0,2,0,0,0,3
2020-11-21,2020-2021,Bundesliga,Hertha BSC,Dortmund,Home,2,5,L,Omar Alderete,Y,CB,90,0,0,0,0,0,0,1,0,0,2,1
2020-11-29,2020-2021,Bundesliga,Hertha BSC,Leverkusen,Away,0,0,D,Omar Alderete,Y,CB,74,0,0,1,0,0,0,0,0,0,0,2
2021-01-02,2020-2021,Bundesliga,Hertha BSC,Schalke 04,Home,3,0,W,Omar Alderete,Y,CB,90,0,0,2,1,0,0,2,0,0,0,3
2021-01-10,2020-2021,Bundesliga,Hertha BSC,Arminia,Away,0,1,L,Omar Alderete,Y,CB,90,0,0,0,0,0,0,2,0,1,4,2
2021-01-16,2020-2021,Bundesliga,Hertha BSC,Köln,Away,0,0,D,Omar Alderete,Y,CB,90,0,0,1,0,1,0,3,0,0,2,0
2021-01-19,2020-2021,Bundesliga,Hertha BSC,Hoffenheim,Home,0,3,L,Omar Alderete,Y,CB,90,0,0,0,0,0,0,1,0,0,0,2
2021-01-23,2020-2021,Bundesliga,Hertha BSC,Werder Bremen,Home,1,4,L,Omar Alderete,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,2020-2021,Bundesliga,Hertha BSC,Bayern Munich,Home,0,1,L,Omar Alderete,N,,45,0,0,0,0,0,0,1,0,0,0,0
2021-02-13,2020-2021,Bundesliga,Hertha BSC,Stuttgart,Away,1,1,D,Omar Alderete,Y,CB,90,0,0,1,0,0,0,4,0,0,0,1
2021-03-06,2020-2021,Bundesliga,Hertha BSC,Augsburg,Home,2,1,W,Omar Alderete,N,,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-13,2020-2021,Bundesliga,Hertha BSC,Dortmund,Away,0,2,L,Omar Alderete,N,,9,0,0,0,0,0,0,0,0,0,0,0
2021-05-06,2020-2021,Bundesliga,Hertha BSC,Freiburg,Home,3,0,W,Omar Alderete,Y,CB,90,0,0,0,0,1,0,2,0,0,1,3
2021-05-12,2020-2021,Bundesliga,Hertha BSC,Schalke 04,Away,2,1,W,Omar Alderete,Y,CB,90,0,0,0,0,0,0,1,0,1,0,0
2021-05-15,2020-2021,Bundesliga,Hertha BSC,Köln,Home,0,0,D,Omar Alderete,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2021-08-13,2021-2022,La Liga,Valencia,Getafe,Home,1,0,W,Omar Alderete,Y,CB,90,0,0,0,0,1,0,2,0,0,0,0
2021-08-21,2021-2022,La Liga,Valencia,Granada,Away,1,1,D,Omar Alderete,Y,CB,90,0,0,0,0,1,0,2,0,0,1,0
2021-08-27,2021-2022,La Liga,Valencia,Alavés,Home,3,0,W,Omar Alderete,Y,CB,84,0,0,0,0,1,0,0,0,0,0,1
2021-09-12,2021-2022,La Liga,Valencia,Osasuna,Away,4,1,W,Omar Alderete,Y,CB,82,1,0,1,1,1,0,2,0,0,1,0
