Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2011-05-15,2010-2011,La Liga,Barcelona,Dep La Coruña,Home,0,0,D 0-0,Oriol Romeu,N,-,10,0,0,-,-,0,0,-,-,-,-,-
2011-09-10,2011-2012,Premier League,Chelsea,Sunderland,Away,2,1,W,Oriol Romeu,N,-,12,0,0,-,-,0,0,-,-,-,-,-
2011-10-15,2011-2012,Premier League,Chelsea,Everton,Home,3,1,W,Oriol Romeu,N,-,15,0,0,-,-,0,0,-,-,-,-,-
2011-11-05,2011-2012,Premier League,Chelsea,Blackburn Rovers,Away,1,0,W,Oriol Romeu,N,-,1,0,0,-,-,0,0,-,-,-,-,-
2011-11-26,2011-2012,Premier League,Chelsea,Wolves,Home,3,0,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2011-12-03,2011-2012,Premier League,Chelsea,Newcastle United,Away,3,0,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2011-12-12,2011-2012,Premier League,Chelsea,Manchester City,Home,2,1,W,Oriol Romeu,Y,-,90,0,0,1,-,0,0,-,-,-,-,-
2011-12-17,2011-2012,Premier League,Chelsea,Wigan Athletic,Away,1,1,D,Oriol Romeu,Y,-,45,0,0,-,-,0,0,-,-,-,-,-
2011-12-22,2011-2012,Premier League,Chelsea,Tottenham Hotspur,Away,1,1,D,Oriol Romeu,N,-,46,0,0,-,-,0,0,-,-,-,-,-
2011-12-26,2011-2012,Premier League,Chelsea,Fulham,Home,1,1,D,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2011-12-31,2011-2012,Premier League,Chelsea,Aston Villa,Home,1,3,L,Oriol Romeu,Y,-,56,0,0,-,-,0,0,-,-,-,-,-
2012-01-02,2011-2012,Premier League,Chelsea,Wolves,Away,2,1,W,Oriol Romeu,Y,-,90,0,0,1,-,0,0,-,-,-,-,-
2012-01-14,2011-2012,Premier League,Chelsea,Sunderland,Home,1,0,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2012-01-31,2011-2012,Premier League,Chelsea,Swansea City,Away,1,1,D,Oriol Romeu,Y,-,64,0,0,-,-,0,0,-,-,-,-,-
2012-02-05,2011-2012,Premier League,Chelsea,Manchester Utd,Home,3,3,D,Oriol Romeu,N,-,21,0,0,-,-,0,0,-,-,-,-,-
2012-04-21,2011-2012,Premier League,Chelsea,Arsenal,Away,0,0,D,Oriol Romeu,Y,-,65,0,0,-,-,0,0,-,-,-,-,-
2012-05-08,2011-2012,Premier League,Chelsea,Liverpool,Away,1,4,L,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2012-10-06,2012-2013,Premier League,Chelsea,Norwich City,Home,4,1,W 4-1,Oriol Romeu,N,-,9,0,0,-,-,0,0,-,-,-,-,-
2012-11-03,2012-2013,Premier League,Chelsea,Swansea City,Away,1,1,D 1-1,Oriol Romeu,Y,-,45,0,0,-,-,0,0,-,-,-,-,-
2012-11-17,2012-2013,Premier League,Chelsea,West Brom,Away,1,2,L 1-2,Oriol Romeu,Y,-,61,0,0,-,-,0,0,-,-,-,-,-
2012-11-25,2012-2013,Premier League,Chelsea,Manchester City,Home,0,0,D 0-0,Oriol Romeu,N,-,12,0,0,-,-,0,0,-,-,-,-,-
2012-11-28,2012-2013,Premier League,Chelsea,Fulham,Home,0,0,D 0-0,Oriol Romeu,Y,-,90,0,0,-,-,1,0,-,-,-,-,-
2012-12-08,2012-2013,Premier League,Chelsea,Sunderland,Away,3,1,W 3-1,Oriol Romeu,Y,-,19,0,0,-,-,0,0,-,-,-,-,-
2013-09-15,2013-2014,La Liga,Valencia,Real Betis,Away,1,3,L,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2013-12-01,2013-2014,La Liga,Valencia,Osasuna,Home,3,0,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2013-12-15,2013-2014,La Liga,Valencia,Atlético Madrid,Away,0,3,L,Oriol Romeu,Y,-,90,0,0,-,-,1,0,-,-,-,-,-
2013-12-22,2013-2014,La Liga,Valencia,Real Madrid,Home,2,3,L,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2014-01-04,2013-2014,La Liga,Valencia,Levante,Home,2,0,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2014-01-11,2013-2014,La Liga,Valencia,Celta Vigo,Away,1,2,L,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2014-01-17,2013-2014,La Liga,Valencia,Málaga,Away,0,0,D,Oriol Romeu,Y,-,90,0,0,-,-,1,0,-,-,-,-,-
2014-01-25,2013-2014,La Liga,Valencia,Espanyol,Home,2,2,D,Oriol Romeu,Y,-,90,0,0,-,-,1,0,-,-,-,-,-
2014-02-01,2013-2014,La Liga,Valencia,Barcelona,Away,3,2,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2014-03-27,2013-2014,La Liga,Valencia,Almeria,Away,2,2,D,Oriol Romeu,N,-,57,0,0,-,-,0,0,-,-,-,-,-
2014-03-30,2013-2014,La Liga,Valencia,Getafe,Away,1,3,L,Oriol Romeu,N,-,45,0,0,-,-,0,0,-,-,-,-,-
2014-04-06,2013-2014,La Liga,Valencia,Valladolid,Away,0,0,D,Oriol Romeu,N,-,2,0,0,-,-,0,0,-,-,-,-,-
2014-04-13,2013-2014,La Liga,Valencia,Elche,Home,2,1,W,Oriol Romeu,Y,-,90,0,0,-,-,0,0,-,-,-,-,-
2014-08-24,2014-2015,Bundesliga,Stuttgart,Gladbach,Away,1,1,D 1-1,Oriol Romeu,Y,-,90,0,0,1,1,0,0,0,0,0,1,4
2014-08-30,2014-2015,Bundesliga,Stuttgart,Köln,Home,0,2,L 0-2,Oriol Romeu,Y,-,90,0,0,0,0,0,0,3,1,0,1,5
2014-09-13,2014-2015,Bundesliga,Stuttgart,Bayern Munich,Away,0,2,L 0-2,Oriol Romeu,Y,-,90,0,0,0,0,1,0,4,1,0,0,4
2014-09-20,2014-2015,Bundesliga,Stuttgart,Hoffenheim,Home,0,2,L 0-2,Oriol Romeu,Y,-,75,0,0,2,0,0,0,2,1,0,1,3
2014-09-24,2014-2015,Bundesliga,Stuttgart,Dortmund,Away,2,2,D 2-2,Oriol Romeu,Y,-,90,0,0,0,0,1,0,2,1,0,0,1
2014-09-27,2014-2015,Bundesliga,Stuttgart,Hannover 96,Home,1,0,W 1-0,Oriol Romeu,Y,-,90,0,0,1,0,0,0,0,0,0,0,0
2014-10-03,2014-2015,Bundesliga,Stuttgart,Hertha BSC,Away,2,3,L 2-3,Oriol Romeu,Y,-,72,0,0,0,0,0,0,0,1,0,0,2
2014-10-18,2014-2015,Bundesliga,Stuttgart,Leverkusen,Home,3,3,D 3-3,Oriol Romeu,Y,-,90,0,0,0,0,0,0,2,1,0,0,2
2014-10-25,2014-2015,Bundesliga,Stuttgart,Eintracht Frankfurt,Away,5,4,W 5-4,Oriol Romeu,Y,-,90,0,0,1,0,1,0,2,2,0,0,5
2014-11-01,2014-2015,Bundesliga,Stuttgart,Wolfsburg,Home,0,4,L 0-4,Oriol Romeu,Y,-,65,0,0,0,0,0,0,1,0,0,0,1
2014-11-08,2014-2015,Bundesliga,Stuttgart,Werder Bremen,Away,0,2,L 0-2,Oriol Romeu,Y,-,90,0,0,1,0,1,0,1,1,0,0,2
2014-11-23,2014-2015,Bundesliga,Stuttgart,Augsburg,Home,0,1,L 0-1,Oriol Romeu,Y,-,90,0,0,2,0,1,0,3,0,0,0,2
2014-12-06,2014-2015,Bundesliga,Stuttgart,Schalke 04,Home,0,4,L 0-4,Oriol Romeu,N,-,45,0,0,2,0,0,0,2,1,0,1,2
2014-12-13,2014-2015,Bundesliga,Stuttgart,Mainz 05,Away,1,1,D 1-1,Oriol Romeu,Y,-,56,0,0,1,0,0,0,2,3,0,0,0
2014-12-16,2014-2015,Bundesliga,Stuttgart,Hamburger SV,Away,1,0,W 1-0,Oriol Romeu,Y,-,90,0,0,1,0,0,0,3,2,0,0,3
2014-12-20,2014-2015,Bundesliga,Stuttgart,Paderborn 07,Home,0,0,D 0-0,Oriol Romeu,Y,-,90,0,0,0,0,0,0,0,2,0,0,2
2015-01-31,2014-2015,Bundesliga,Stuttgart,Gladbach,Home,0,1,L 0-1,Oriol Romeu,Y,-,90,0,0,0,0,0,0,0,1,0,0,0
2015-02-04,2014-2015,Bundesliga,Stuttgart,Köln,Away,0,0,D 0-0,Oriol Romeu,Y,-,90,0,0,0,0,0,0,0,2,0,0,0
2015-02-07,2014-2015,Bundesliga,Stuttgart,Bayern Munich,Home,0,2,L 0-2,Oriol Romeu,Y,-,57,0,0,0,0,0,0,1,3,5,0,2
2015-02-14,2014-2015,Bundesliga,Stuttgart,Hoffenheim,Away,1,2,L 1-2,Oriol Romeu,Y,-,90,0,0,0,0,0,0,0,2,2,0,3
2015-03-13,2014-2015,Bundesliga,Stuttgart,Leverkusen,Away,0,4,L 0-4,Oriol Romeu,N,-,27,0,0,0,0,0,0,0,0,0,0,2
2015-03-21,2014-2015,Bundesliga,Stuttgart,Eintracht Frankfurt,Home,3,1,W 3-1,Oriol Romeu,N,-,38,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,2014-2015,Bundesliga,Stuttgart,Wolfsburg,Away,1,3,L 1-3,Oriol Romeu,N,-,33,0,0,0,0,0,0,1,1,1,0,0
2015-04-25,2014-2015,Bundesliga,Stuttgart,Freiburg,Home,2,2,D 2-2,Oriol Romeu,Y,-,90,0,0,1,0,0,0,0,1,2,0,5
2015-05-02,2014-2015,Bundesliga,Stuttgart,Schalke 04,Away,2,3,L 2-3,Oriol Romeu,N,-,3,0,0,0,0,0,0,0,0,0,0,0
