Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-10-29,2022-2023,La Liga,Atlético Madrid,Cádiz,Away,2,3,L,Pablo Barrios,N,,19,0,0,1,1,0,0,0,0,0,0,0
2022-12-29,2022-2023,La Liga,Atlético Madrid,Elche,Home,2,0,W,Pablo Barrios,Y,DM,78,0,0,0,0,1,0,1,0,3,1,1
2023-01-08,2022-2023,La Liga,Atlético Madrid,Barcelona,Home,0,1,L,Pablo Barrios,Y,CM,63,0,0,1,1,0,0,0,0,0,3,2
2023-01-15,2022-2023,La Liga,Atlético Madrid,Almería,Away,1,1,D,Pablo Barrios,N,,45,0,0,2,0,0,0,2,0,0,1,1
2023-01-29,2022-2023,La Liga,Atlético Madrid,Osasuna,Away,1,0,W,Pablo Barrios,Y,CM,64,0,0,1,0,0,0,0,0,0,0,0
2023-02-12,2022-2023,La Liga,Atlético Madrid,Celta Vigo,Away,1,0,W,Pablo Barrios,Y,CM,45,0,0,0,0,0,0,1,0,0,1,1
2023-02-19,2022-2023,La Liga,Atlético Madrid,Athletic Club,Home,1,0,W,Pablo Barrios,N,,32,0,0,1,0,0,0,1,0,1,2,1
2023-02-25,2022-2023,La Liga,Atlético Madrid,Real Madrid,Away,1,1,D,Pablo Barrios,Y,CM,45,0,0,0,0,0,0,0,0,1,1,0
2023-03-04,2022-2023,La Liga,Atlético Madrid,Sevilla,Home,6,1,W,Pablo Barrios,N,,27,0,1,2,0,0,0,0,0,1,0,1
2023-03-18,2022-2023,La Liga,Atlético Madrid,Valencia,Home,3,0,W,Pablo Barrios,N,,21,0,0,0,0,0,0,0,0,0,0,0
2023-04-02,2022-2023,La Liga,Atlético Madrid,Real Betis,Home,1,0,W,Pablo Barrios,N,,23,0,0,1,0,0,0,0,0,0,0,0
2023-04-09,2022-2023,La Liga,Atlético Madrid,Rayo Vallecano,Away,2,1,W,Pablo Barrios,N,,18,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,2022-2023,La Liga,Atlético Madrid,Almería,Home,2,1,W,Pablo Barrios,N,,13,0,0,1,0,1,0,0,0,0,0,1
2023-04-23,2022-2023,La Liga,Atlético Madrid,Barcelona,Away,0,1,L,Pablo Barrios,N,,32,0,0,0,0,1,0,1,0,0,0,0
2023-04-26,2022-2023,La Liga,Atlético Madrid,Mallorca,Home,3,1,W,Pablo Barrios,N,,28,0,0,0,0,0,0,1,0,0,0,0
2023-05-03,2022-2023,La Liga,Atlético Madrid,Cádiz,Home,5,1,W,Pablo Barrios,N,,20,0,0,0,0,0,0,0,0,0,1,0
2023-05-14,2022-2023,La Liga,Atlético Madrid,Elche,Away,0,1,L,Pablo Barrios,N,,30,0,0,0,0,0,0,0,0,0,0,0
2023-05-21,2022-2023,La Liga,Atlético Madrid,Osasuna,Home,3,0,W,Pablo Barrios,N,,7,0,0,2,1,0,0,0,0,0,0,0
2023-05-24,2022-2023,La Liga,Atlético Madrid,Espanyol,Away,3,3,D,Pablo Barrios,N,,14,0,0,0,0,0,0,0,0,0,0,0
2023-05-28,2022-2023,La Liga,Atlético Madrid,Real Sociedad,Home,2,1,W,Pablo Barrios,N,,10,0,0,0,0,0,0,0,0,0,0,0
2023-06-04,2022-2023,La Liga,Atlético Madrid,Villarreal,Away,2,2,D,Pablo Barrios,Y,CM,90,0,0,0,0,1,0,0,0,1,1,0
2023-08-14,2023-2024,La Liga,Atlético Madrid,Granada,Home,3,1,W,Pablo Barrios,N,,84,0,0,0,0,0,0,1,0,1,1,5
2023-08-20,2023-2024,La Liga,Atlético Madrid,Real Betis,Away,0,0,D,Pablo Barrios,N,,45,0,0,0,0,0,0,1,0,2,1,1
2023-08-28,2023-2024,La Liga,Atlético Madrid,Rayo Vallecano,Away,7,0,W,Pablo Barrios,Y,CM,75,0,0,0,0,1,0,3,0,0,1,3
2023-09-16,2023-2024,La Liga,Atlético Madrid,Valencia,Away,0,3,L,Pablo Barrios,Y,CM,90,0,0,1,0,1,0,2,0,1,3,1
2023-10-21,2023-2024,La Liga,Atlético Madrid,Celta Vigo,Away,3,0,W,Pablo Barrios,Y,CM,45,0,0,1,1,0,0,0,0,0,1,0
