Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-10-22,2022-2023,La Liga,Real Sociedad,Valladolid,Away,0,1,L,Pablo Marín,N,MF,17,0,0,3,0,0,0,0,0,2,0,0
2022-10-30,2022-2023,La Liga,Real Sociedad,Real Betis,Home,0,2,L,Pablo Marín,Y,AM,59,0,0,1,1,1,0,2,0,0,1,0
2022-11-09,2022-2023,La Liga,Real Sociedad,Sevilla,Away,2,1,W,Pablo Marín,N,MF,30,0,0,1,1,0,0,0,0,0,0,0
2023-01-08,2022-2023,La Liga,Real Sociedad,Almería,Away,2,0,W,Pablo Marín,N,MF,19,0,0,0,0,0,0,0,0,0,1,0
2023-01-21,2022-2023,La Liga,Real Sociedad,Rayo Vallecano,Away,2,0,W,Pablo Marín,Y,CM,80,0,0,2,2,0,0,2,0,0,2,3
2023-01-29,2022-2023,La Liga,Real Sociedad,Real Madrid,Away,0,0,D,Pablo Marín,N,MF,36,0,0,0,0,0,0,3,0,0,1,1
2023-02-05,2022-2023,La Liga,Real Sociedad,Valladolid,Home,0,1,L,Pablo Marín,Y,DM,83,0,0,0,0,0,0,3,0,0,1,0
2023-02-13,2022-2023,La Liga,Real Sociedad,Espanyol,Away,3,2,W,Pablo Marín,N,MF,10,0,0,0,0,0,0,2,0,0,0,0
2023-02-18,2022-2023,La Liga,Real Sociedad,Celta Vigo,Home,1,1,D,Pablo Marín,N,MF,8,0,0,1,0,0,0,0,0,0,0,0
2023-05-20,2022-2023,La Liga,Real Sociedad,Barcelona,Away,2,1,W,Pablo Marín,N,MF,18,0,0,1,0,0,0,0,0,0,0,0
2024-08-24,2024-2025,La Liga,Real Sociedad,Espanyol,Away,1,0,W,Pablo Marín,N,,5,0,0,0,0,0,0,1,0,0,0,0
2024-08-28,2024-2025,La Liga,Real Sociedad,Alavés,Home,1,2,L,Pablo Marín,N,,10,0,0,0,0,0,0,1,0,1,0,0
2024-09-17,2024-2025,La Liga,Real Sociedad,Mallorca,Away,0,1,L,Pablo Marín,N,,30,0,0,0,0,0,0,0,0,0,1,0
2024-12-01,2024-2025,La Liga,Real Sociedad,Real Betis,Home,2,0,W,Pablo Marín,N,,36,0,0,0,0,0,0,3,1,0,1,0
2024-12-21,2024-2025,La Liga,Real Sociedad,Celta Vigo,Away,0,2,L,Pablo Marín,N,,8,0,0,0,0,0,0,0,1,0,1,0
2025-01-13,2024-2025,La Liga,Real Sociedad,Villarreal,Home,1,0,W,Pablo Marín,N,,8,0,0,0,0,0,0,0,0,0,0,0
2025-01-26,2024-2025,La Liga,Real Sociedad,Getafe,Home,0,3,L,Pablo Marín,N,,7,0,0,1,0,0,0,0,1,0,0,0
2025-02-09,2024-2025,La Liga,Real Sociedad,Espanyol,Home,2,1,W,Pablo Marín,Y,CM,61,0,0,0,0,0,0,0,2,1,1,0
2025-02-16,2024-2025,La Liga,Real Sociedad,Real Betis,Away,0,3,L,Pablo Marín,N,,32,0,0,0,0,0,0,0,1,0,0,0
2025-02-23,2024-2025,La Liga,Real Sociedad,Leganés,Home,3,0,W,Pablo Marín,Y,AM,90,0,1,1,1,0,0,1,1,1,3,1
2025-03-02,2024-2025,La Liga,Real Sociedad,Barcelona,Away,0,4,L,Pablo Marín,Y,AM,90,0,0,0,0,0,0,0,2,1,0,0
2025-03-09,2024-2025,La Liga,Real Sociedad,Sevilla,Home,0,1,L,Pablo Marín,Y,AM,90,0,0,1,0,1,0,4,0,2,0,1
2025-03-16,2024-2025,La Liga,Real Sociedad,Rayo Vallecano,Away,2,2,D,Pablo Marín,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-03-29,2024-2025,La Liga,Real Sociedad,Valladolid,Home,2,1,W,Pablo Marín,Y,AM,66,0,1,1,0,1,0,1,1,1,2,0
2025-04-06,2024-2025,La Liga,Real Sociedad,Las Palmas,Away,3,1,W,Pablo Marín,Y,AM,90,0,0,3,1,0,0,1,0,0,1,0
2025-04-12,2024-2025,La Liga,Real Sociedad,Mallorca,Home,0,2,L,Pablo Marín,Y,AM,71,0,0,2,1,0,0,1,1,0,2,0
2025-04-20,2024-2025,La Liga,Real Sociedad,Villarreal,Away,2,2,D,Pablo Marín,Y,AM,90,0,0,1,1,0,0,2,1,0,0,0
2025-04-23,2024-2025,La Liga,Real Sociedad,Alavés,Away,0,1,L,Pablo Marín,Y,AM,75,0,0,2,0,0,0,0,0,0,1,1
2025-05-04,2024-2025,La Liga,Real Sociedad,Athletic Club,Home,0,0,D,Pablo Marín,Y,AM,90,0,0,1,0,1,0,3,1,3,1,1
2025-05-10,2024-2025,La Liga,Real Sociedad,Atlético Madrid,Away,0,4,L,Pablo Marín,Y,AM,90,0,0,0,0,0,0,0,1,2,0,0
2025-05-13,2024-2025,La Liga,Real Sociedad,Celta Vigo,Home,0,1,L,Pablo Marín,Y,DM,90,0,0,4,2,0,0,0,1,0,1,0
2025-05-18,2024-2025,La Liga,Real Sociedad,Girona,Home,3,2,W,Pablo Marín,Y,DM,64,1,0,3,1,0,0,0,1,0,1,0
2025-05-24,2024-2025,La Liga,Real Sociedad,Real Madrid,Away,0,2,L,Pablo Marín,Y,CM,45,0,0,1,0,0,0,1,0,0,1,1
