Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-08-30,2020-2021,Ligue 1,Marseille,Brest,Away,3,2,W,Pape Gueye,N,CM,12,0,0,0,0,0,0,0,0,0,0,1
2020-09-13,2020-2021,Ligue 1,Marseille,Paris Saint-Germain,Away,1,0,W,Pape Gueye,Y,CM,57,0,0,0,0,1,0,2,0,0,0,0
2020-09-20,2020-2021,Ligue 1,Marseille,Lille,Home,1,1,D,Pape Gueye,N,CM,20,0,0,0,0,0,0,0,0,0,1,0
2020-09-26,2020-2021,Ligue 1,Marseille,Metz,Home,1,1,D,Pape Gueye,N,CM,6,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,2020-2021,Ligue 1,Marseille,Lyon,Away,1,1,D,Pape Gueye,N,CM,30,0,0,1,0,0,0,2,0,0,0,1
2020-10-17,2020-2021,Ligue 1,Marseille,Bordeaux,Home,3,1,W,Pape Gueye,N,CM,17,0,0,0,0,0,0,0,0,0,0,0
2020-10-24,2020-2021,Ligue 1,Marseille,Lorient,Away,1,0,W,Pape Gueye,Y,DM,70,0,0,1,0,0,0,2,1,0,0,2
2020-11-06,2020-2021,Ligue 1,Marseille,Strasbourg,Away,1,0,W,Pape Gueye,Y,DM,45,0,0,0,0,0,0,0,3,0,0,1
2020-12-04,2020-2021,Ligue 1,Marseille,Nîmes,Away,2,0,W,Pape Gueye,N,DM,22,0,0,0,0,0,0,0,0,0,0,1
2020-12-12,2020-2021,Ligue 1,Marseille,Monaco,Home,2,1,W,Pape Gueye,N,DM,67,0,0,0,0,0,0,4,1,1,2,0
2020-12-16,2020-2021,Ligue 1,Marseille,Rennes,Away,1,2,L,Pape Gueye,Y,DM,35,0,0,1,1,2,1,2,1,0,1,1
2020-12-19,2020-2021,Ligue 1,Marseille,Reims,Home,1,1,D,Pape Gueye,Y,DM,55,0,0,2,0,0,0,0,1,1,1,1
2021-01-06,2020-2021,Ligue 1,Marseille,Montpellier,Home,3,1,W,Pape Gueye,Y,DM,90,0,0,0,0,0,0,2,0,1,3,1
2021-01-09,2020-2021,Ligue 1,Marseille,Dijon,Away,0,0,D,Pape Gueye,Y,CM,59,0,0,0,0,0,0,1,0,0,1,0
2021-01-16,2020-2021,Ligue 1,Marseille,Nîmes,Home,1,2,L,Pape Gueye,N,DM,73,0,0,0,0,0,0,2,0,0,0,3
2021-01-20,2020-2021,Ligue 1,Marseille,Lens,Home,0,1,L,Pape Gueye,Y,DM,62,0,0,1,0,1,0,5,0,0,0,5
2021-01-23,2020-2021,Ligue 1,Marseille,Monaco,Away,1,3,L,Pape Gueye,Y,DM,90,0,0,0,0,1,0,3,1,0,2,1
2021-02-07,2020-2021,Ligue 1,Marseille,Paris Saint-Germain,Home,0,2,L,Pape Gueye,Y,CM,90,0,0,3,1,1,0,1,0,1,1,3
2021-02-14,2020-2021,Ligue 1,Marseille,Bordeaux,Away,0,0,D,Pape Gueye,Y,CM,90,0,0,0,0,0,0,1,0,0,0,1
