Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-01-21,2023-2024,La Liga,Barcelona,Real Betis,Away,4,2,Win,Pau Cubarsí,Y,CB,80,0,0,0,0,0,0,0,0,0,1,1
2024-01-27,2023-2024,La Liga,Barcelona,Villarreal,Home,3,5,Loss,Pau Cubarsí,N,CB,45,0,0,0,0,0,0,0,0,0,2,0
2024-01-31,2023-2024,La Liga,Barcelona,Osasuna,Home,1,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2024-02-03,2023-2024,La Liga,Barcelona,Alavés,Away,3,1,Win,Pau Cubarsí,Y,CB,82,0,0,0,0,0,0,0,0,0,0,0
2024-02-11,2023-2024,La Liga,Barcelona,Granada,Home,3,3,Draw,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,1,0,1,2
2024-02-17,2023-2024,La Liga,Barcelona,Celta Vigo,Away,2,1,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,3,0,0,0,1
2024-02-24,2023-2024,La Liga,Barcelona,Getafe,Home,4,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2024-03-03,2023-2024,La Liga,Barcelona,Athletic Club,Away,0,0,Draw,Pau Cubarsí,Y,CB,75,0,0,0,0,0,0,1,0,0,2,0
2024-03-08,2023-2024,La Liga,Barcelona,Mallorca,Home,1,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,1,0,0,2,0
2024-03-17,2023-2024,La Liga,Barcelona,Atlético Madrid,Away,3,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2024-03-30,2023-2024,La Liga,Barcelona,Las Palmas,Home,1,0,Win,Pau Cubarsí,Y,CB,90,0,0,1,0,0,0,3,0,0,1,0
2024-04-13,2023-2024,La Liga,Barcelona,Cádiz,Away,1,0,Win,Pau Cubarsí,Y,CB,90,0,0,1,0,1,0,2,0,0,0,0
2024-04-21,2023-2024,La Liga,Barcelona,Real Madrid,Away,2,3,Loss,Pau Cubarsí,Y,CB,90,0,0,1,0,1,0,2,0,0,0,1
2024-04-29,2023-2024,La Liga,Barcelona,Valencia,Home,4,2,Win,Pau Cubarsí,Y,CB,45,0,0,0,0,1,0,1,0,0,0,0
2024-05-04,2023-2024,La Liga,Barcelona,Girona,Away,2,4,Loss,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2024-05-13,2023-2024,La Liga,Barcelona,Real Sociedad,Home,2,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,1,0,1,0
2024-05-16,2023-2024,La Liga,Barcelona,Almería,Away,2,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2024-05-19,2023-2024,La Liga,Barcelona,Rayo Vallecano,Home,3,0,Win,Pau Cubarsí,Y,CB,61,0,0,0,0,1,0,1,0,0,0,1
2024-05-26,2023-2024,La Liga,Barcelona,Sevilla,Away,2,1,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2024-08-17,2024-2025,La Liga,Barcelona,Valencia,Away,2,1,Win,Pau Cubarsí,Y,CB,63,0,0,1,0,1,0,2,0,0,0,0
2024-08-24,2024-2025,La Liga,Barcelona,Athletic Club,Home,2,1,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,1,0,3,1,0,1,0
2024-08-27,2024-2025,La Liga,Barcelona,Rayo Vallecano,Away,2,1,Win,Pau Cubarsí,Y,CB,90,0,0,1,0,0,0,0,0,0,0,1
2024-08-31,2024-2025,La Liga,Barcelona,Valladolid,Home,7,0,Win,Pau Cubarsí,Y,CB,60,0,1,1,0,0,0,0,0,0,0,0
2024-09-15,2024-2025,La Liga,Barcelona,Girona,Away,4,1,Win,Pau Cubarsí,Y,CB,60,0,0,0,0,0,0,0,0,0,0,0
2024-09-22,2024-2025,La Liga,Barcelona,Villarreal,Away,5,1,Win,Pau Cubarsí,N,CB,32,0,0,0,0,0,0,0,1,0,1,2
2024-09-25,2024-2025,La Liga,Barcelona,Getafe,Home,1,0,Win,Pau Cubarsí,Y,CB,87,0,0,0,0,0,0,0,0,0,0,0
2024-09-28,2024-2025,La Liga,Barcelona,Osasuna,Away,2,4,Loss,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2024-10-06,2024-2025,La Liga,Barcelona,Alavés,Away,3,0,Win,Pau Cubarsí,Y,CB,90,0,0,0,0,0,0,3,1,0,0,1
