Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-09-22,2012-2013,Premier League,Southampton,Aston Villa,Home,4,1,W,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-09-29,2012-2013,Premier League,Southampton,Everton,Away,1,3,L,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-10-07,2012-2013,Premier League,Southampton,Fulham,Home,2,2,D,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-11-05,2012-2013,Premier League,Southampton,West Brom,Away,0,2,L,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-11-10,2012-2013,Premier League,Southampton,Swansea City,Home,1,1,D,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-11-17,2012-2013,Premier League,Southampton,QPR,Home,3,1,W,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-11-25,2012-2013,Premier League,Southampton,Newcastle United,Home,2,0,W,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-11-28,2012-2013,Premier League,Southampton,Norwich City,Home,1,1,D,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2012-12-01,2012-2013,Premier League,Southampton,Liverpool,Away,0,1,L,Paulo Gazzaniga,Y,,90,0,0,,,0,0,,,,,
2013-12-01,2013-2014,Premier League,Southampton,Chelsea,Away,1,3,L 1-3,Paulo Gazzaniga,N,N/A,33,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
2013-12-04,2013-2014,Premier League,Southampton,Aston Villa,Home,2,3,L 2-3,Paulo Gazzaniga,Y,N/A,90,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
2013-12-07,2013-2014,Premier League,Southampton,Manchester City,Home,1,1,D 1-1,Paulo Gazzaniga,Y,N/A,90,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
2013-12-14,2013-2014,Premier League,Southampton,Newcastle United,Away,1,1,D 1-1,Paulo Gazzaniga,Y,N/A,90,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
2013-12-22,2013-2014,Premier League,Southampton,Tottenham Hotspur,Home,2,3,L 2-3,Paulo Gazzaniga,Y,N/A,90,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
2013-12-26,2013-2014,Premier League,Southampton,Cardiff City,Home,3,0,W 3-0,Paulo Gazzaniga,Y,N/A,90,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
2014-04-05,2013-2014,Premier League,Southampton,Manchester City,Away,1,4,L 1-4,Paulo Gazzaniga,Y,N/A,90,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A
