Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-27,2020-2021,La Liga,Barcelona,Villarreal,Home,4,0,W,Pedri,N,N/A,21,0,0,0,0,0,0,0,1,0,0,0
2020-10-01,2020-2021,La Liga,Barcelona,Celta Vigo,Away,3,0,W,Pedri,N,N/A,19,0,0,0,0,0,0,0,1,0,0,1
2020-10-04,2020-2021,La Liga,Barcelona,Sevilla,Home,1,1,D,Pedri,N,N/A,30,0,0,0,0,0,0,0,0,0,2,1
2020-10-17,2020-2021,La Liga,Barcelona,Getafe,Away,0,1,L,Pedri,Y,AM,61,0,0,0,0,0,0,0,1,0,0,1
2020-10-24,2020-2021,La Liga,Barcelona,Real Madrid,Home,1,3,L,Pedri,Y,RM,80,0,0,0,0,0,0,0,1,0,0,1
2020-10-31,2020-2021,La Liga,Barcelona,Alavés,Away,1,1,D,Pedri,N,N/A,45,0,0,0,0,0,0,1,1,0,0,0
2020-11-07,2020-2021,La Liga,Barcelona,Real Betis,Home,5,2,W,Pedri,Y,LM,90,1,0,3,1,1,0,1,0,0,0,0
2020-11-21,2020-2021,La Liga,Barcelona,Atlético Madrid,Away,0,1,L,Pedri,Y,AM,56,0,0,1,0,0,0,1,0,0,0,1
2020-11-29,2020-2021,La Liga,Barcelona,Osasuna,Home,4,0,W,Pedri,Y,CM,45,0,0,0,0,0,0,0,1,0,0,0
2020-12-05,2020-2021,La Liga,Barcelona,Cádiz,Away,1,2,L,Pedri,N,N/A,45,0,0,2,0,0,0,0,0,1,1,0
2020-12-13,2020-2021,La Liga,Barcelona,Levante,Home,1,0,W,Pedri,N,N/A,33,0,0,0,0,0,0,0,0,0,1,0
2020-12-16,2020-2021,La Liga,Barcelona,Real Sociedad,Home,2,1,W,Pedri,Y,AM,73,0,0,1,0,0,0,0,1,1,1,0
2020-12-19,2020-2021,La Liga,Barcelona,Valencia,Home,2,2,D,Pedri,Y,AM,85,0,0,1,0,0,0,1,1,1,2,1
2020-12-22,2020-2021,La Liga,Barcelona,Valladolid,Away,3,0,W,Pedri,Y,AM,80,0,1,0,0,0,0,1,1,0,0,0
2020-12-29,2020-2021,La Liga,Barcelona,Eibar,Home,1,1,D,Pedri,Y,AM,88,0,0,1,0,0,0,0,3,2,1,0
2021-01-03,2020-2021,La Liga,Barcelona,Huesca,Away,1,0,W,Pedri,Y,CM,90,0,0,2,1,0,0,1,2,0,1,1
2021-01-06,2020-2021,La Liga,Barcelona,Athletic Club,Away,3,2,W,Pedri,Y,CM,90,1,1,1,1,0,0,1,2,1,1,1
2021-01-09,2020-2021,La Liga,Barcelona,Granada,Away,4,0,W,Pedri,Y,CM,72,0,0,1,0,0,0,0,2,0,0,0
2021-01-24,2020-2021,La Liga,Barcelona,Elche,Away,2,0,W,Pedri,Y,CM,86,0,0,2,1,0,0,0,2,0,1,0
