Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-08-24,2024-2025,La Liga,Rayo Vallecano,Getafe,Away,0,0,D,Pedro Díaz,N,,6,0,0,0,0,0,0,0,0,0,1,1
2024-09-25,2024-2025,La Liga,Rayo Vallecano,Girona,Away,0,0,D,Pedro Díaz,Y,CM,45,0,0,0,0,1,0,1,0,2,0,0
2024-11-08,2024-2025,La Liga,Rayo Vallecano,Las Palmas,Home,1,3,L,Pedro Díaz,N,,14,0,0,1,0,0,0,0,0,0,0,0
2024-11-24,2024-2025,La Liga,Rayo Vallecano,Sevilla,Away,0,1,L,Pedro Díaz,N,,20,0,0,1,0,0,0,0,0,1,0,0
2024-12-01,2024-2025,La Liga,Rayo Vallecano,Athletic Club,Home,1,2,L,Pedro Díaz,N,,9,0,0,0,0,0,0,0,0,0,0,0
2024-12-07,2024-2025,La Liga,Rayo Vallecano,Valencia,Away,1,0,W,Pedro Díaz,N,,19,0,0,0,0,0,0,0,0,0,0,0
2024-12-14,2024-2025,La Liga,Rayo Vallecano,Real Madrid,Home,3,3,D,Pedro Díaz,N,,25,0,0,1,0,0,0,1,0,0,2,0
2024-12-18,2024-2025,La Liga,Rayo Vallecano,Villarreal,Away,1,1,D,Pedro Díaz,Y,DM,56,0,0,1,0,0,0,0,0,3,0,0
2025-01-10,2024-2025,La Liga,Rayo Vallecano,Celta Vigo,Home,2,1,W,Pedro Díaz,N,,5,0,0,0,0,0,0,0,0,0,0,0
2025-01-26,2024-2025,La Liga,Rayo Vallecano,Girona,Home,2,1,W,Pedro Díaz,N,,16,0,0,0,0,0,0,0,0,0,0,0
2025-02-07,2024-2025,La Liga,Rayo Vallecano,Valladolid,Home,1,0,W,Pedro Díaz,N,,68,0,0,2,1,0,0,0,1,1,0,0
2025-02-17,2024-2025,La Liga,Rayo Vallecano,Barcelona,Away,0,1,L,Pedro Díaz,Y,DM,60,0,0,2,0,0,0,0,2,2,2,1
2025-02-22,2024-2025,La Liga,Rayo Vallecano,Villarreal,Home,0,1,L,Pedro Díaz,Y,DM,86,0,0,0,0,0,0,1,0,2,2,3
2025-03-01,2024-2025,La Liga,Rayo Vallecano,Sevilla,Home,1,1,D,Pedro Díaz,Y,DM,69,0,0,1,0,0,0,0,0,4,1,0
2025-03-09,2024-2025,La Liga,Rayo Vallecano,Real Madrid,Away,1,2,L,Pedro Díaz,Y,AM,69,1,0,3,1,0,0,0,0,5,1,0
2025-03-16,2024-2025,La Liga,Rayo Vallecano,Real Sociedad,Home,2,2,D,Pedro Díaz,Y,DM,75,1,0,2,1,0,0,1,2,7,1,0
2025-03-29,2024-2025,La Liga,Rayo Vallecano,Alavés,Away,2,0,W,Pedro Díaz,N,,37,1,0,3,1,0,0,1,0,1,1,0
2025-04-04,2024-2025,La Liga,Rayo Vallecano,Espanyol,Home,0,4,L,Pedro Díaz,Y,AM,90,0,0,1,1,0,0,0,1,8,0,1
2025-04-13,2024-2025,La Liga,Rayo Vallecano,Athletic Club,Away,1,3,L,Pedro Díaz,Y,DM,62,0,0,3,1,1,0,0,0,0,0,0
2025-04-19,2024-2025,La Liga,Rayo Vallecano,Valencia,Home,1,1,D,Pedro Díaz,Y,AM,90,0,0,2,0,0,0,0,0,1,2,0
2025-04-24,2024-2025,La Liga,Rayo Vallecano,Atlético Madrid,Away,0,3,L,Pedro Díaz,Y,AM,90,0,0,1,1,0,0,1,0,0,0,0
2025-05-02,2024-2025,La Liga,Rayo Vallecano,Getafe,Home,1,0,W,Pedro Díaz,N,,24,0,0,0,0,0,0,1,0,1,0,0
2025-05-09,2024-2025,La Liga,Rayo Vallecano,Las Palmas,Away,1,0,W,Pedro Díaz,N,,32,0,0,0,0,0,0,0,0,0,0,0
2025-05-15,2024-2025,La Liga,Rayo Vallecano,Real Betis,Home,2,2,D,Pedro Díaz,Y,DM,81,0,0,6,1,0,0,0,0,2,0,0
2025-05-18,2024-2025,La Liga,Rayo Vallecano,Celta Vigo,Away,2,1,W,Pedro Díaz,N,,22,0,0,0,0,0,0,0,0,0,0,0
2025-05-24,2024-2025,La Liga,Rayo Vallecano,Mallorca,Home,0,0,D,Pedro Díaz,N,,41,0,0,2,0,0,0,0,0,1,2,1
