Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-12-07,2019-2020,La Liga,Espanyol,Real Madrid,Away,0,2,Loss,Pol Lozano,N,N/A,18,0,0,0,0,0,0,0,0,1,1,0
2020-06-28,2019-2020,La Liga,Espanyol,Real Madrid,Home,0,1,Loss,Pol Lozano,N,N/A,7,0,0,0,0,0,0,1,0,0,0,0
2020-07-08,2019-2020,La Liga,Espanyol,Barcelona,Away,0,1,Loss,Pol Lozano,Y,CM,52,0,0,0,0,0,1,4,0,0,1,0
2020-07-16,2019-2020,La Liga,Espanyol,Valencia,Away,0,1,Loss,Pol Lozano,N,N/A,6,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,2019-2020,La Liga,Espanyol,Celta Vigo,Home,0,0,Draw,Pol Lozano,Y,DM,90,0,0,0,0,0,0,2,0,0,1,1
2022-09-18,2022-2023,La Liga,Espanyol,Real Sociedad,Away,1,2,Loss,Pol Lozano,N,N/A,6,0,0,0,0,0,0,0,0,0,1,0
2022-10-02,2022-2023,La Liga,Espanyol,Valencia,Home,2,2,Draw,Pol Lozano,N,N/A,4,0,0,0,0,0,0,0,0,0,0,0
2022-10-09,2022-2023,La Liga,Espanyol,Cádiz,Away,2,2,Draw,Pol Lozano,N,N/A,4,0,0,0,0,1,0,1,0,0,0,0
2022-11-06,2022-2023,La Liga,Espanyol,Atlético Madrid,Away,1,1,Draw,Pol Lozano,N,N/A,3,0,0,0,0,0,0,0,0,0,0,0
2024-08-19,2024-2025,La Liga,Espanyol,Valladolid,Away,0,1,Loss,Pol Lozano,Y,CM,56,0,0,0,0,0,0,1,0,0,1,0
2024-08-28,2024-2025,La Liga,Espanyol,Atlético Madrid,Away,0,0,Draw,Pol Lozano,N,N/A,25,0,0,0,0,0,0,0,0,1,0,0
2024-09-21,2024-2025,La Liga,Espanyol,Real Madrid,Away,1,4,Loss,Pol Lozano,Y,CM,66,0,0,0,0,1,0,1,0,0,0,0
2024-09-26,2024-2025,La Liga,Espanyol,Villarreal,Home,1,2,Loss,Pol Lozano,Y,CM,72,0,0,0,0,1,0,3,0,0,4,1
2024-09-29,2024-2025,La Liga,Espanyol,Real Betis,Away,0,1,Loss,Pol Lozano,Y,CM,86,0,0,0,0,1,0,4,1,2,1,0
2024-10-05,2024-2025,La Liga,Espanyol,Mallorca,Home,2,1,Win,Pol Lozano,Y,DM,74,0,0,0,0,0,0,1,0,2,3,0
2024-10-19,2024-2025,La Liga,Espanyol,Athletic Club,Away,1,4,Loss,Pol Lozano,Y,DM,90,0,0,0,0,0,0,5,1,1,1,2
2024-10-25,2024-2025,La Liga,Espanyol,Sevilla,Home,0,2,Loss,Pol Lozano,Y,CM,90,0,0,1,0,1,0,2,0,0,4,2
2024-11-23,2024-2025,La Liga,Espanyol,Girona,Away,1,4,Loss,Pol Lozano,N,N/A,10,0,0,0,0,0,0,1,0,0,0,0
2024-11-30,2024-2025,La Liga,Espanyol,Celta Vigo,Home,3,1,Win,Pol Lozano,Y,DM,66,0,0,0,0,0,0,0,1,2,1,3
2024-12-09,2024-2025,La Liga,Espanyol,Getafe,Away,0,1,Loss,Pol Lozano,Y,DM,90,0,0,0,0,0,0,4,0,0,3,1
2024-12-14,2024-2025,La Liga,Espanyol,Osasuna,Home,0,0,Draw,Pol Lozano,Y,CM,90,0,0,1,1,1,0,2,2,2,2,0
2024-12-22,2024-2025,La Liga,Espanyol,Las Palmas,Away,0,1,Loss,Pol Lozano,Y,DM,84,0,0,0,0,1,0,2,0,0,2,1
2025-01-11,2024-2025,La Liga,Espanyol,Leganés,Home,1,1,Draw,Pol Lozano,Y,DM,79,0,0,0,0,0,0,1,3,0,1,1
2025-01-17,2024-2025,La Liga,Espanyol,Valladolid,Home,2,1,Win,Pol Lozano,Y,CM,62,0,0,0,0,0,0,2,0,1,0,1
2025-01-25,2024-2025,La Liga,Espanyol,Sevilla,Away,1,1,Draw,Pol Lozano,Y,CM,66,0,0,0,0,1,0,3,0,0,0,0
2025-02-01,2024-2025,La Liga,Espanyol,Real Madrid,Home,1,0,Win,Pol Lozano,Y,DM,90,0,0,0,0,0,0,4,1,1,1,3
2025-02-16,2024-2025,La Liga,Espanyol,Athletic Club,Home,1,1,Draw,Pol Lozano,Y,DM,78,0,0,2,1,0,0,2,1,2,1,3
2025-02-22,2024-2025,La Liga,Espanyol,Alavés,Away,1,0,Win,Pol Lozano,Y,DM,56,0,0,2,0,1,0,1,0,0,0,0
2025-03-10,2024-2025,La Liga,Espanyol,Girona,Home,1,1,Draw,Pol Lozano,Y,DM,87,0,0,1,0,1,0,3,1,1,1,1
2025-03-29,2024-2025,La Liga,Espanyol,Atlético Madrid,Home,1,1,Draw,Pol Lozano,Y,DM,45,0,0,0,0,0,0,0,0,1,0,1
2025-04-04,2024-2025,La Liga,Espanyol,Rayo Vallecano,Away,4,0,Win,Pol Lozano,Y,DM,63,0,0,1,0,1,0,3,0,0,0,0
