Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2021-08-15,2021-2022,La Liga,Rayo Vallecano,Sevilla,Away,0,3,L,Randy Nteka,Y,AM,70,0,0,0,0,0,0,1,0,0,0,0
2021-08-22,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Away,0,1,L,Randy Nteka,N,,17,0,0,0,0,0,0,1,0,0,0,0
2021-08-29,2021-2022,La Liga,Rayo Vallecano,Granada,Home,4,0,W,Randy Nteka,Y,FW,83,1,0,3,2,0,0,2,1,0,0,0
2021-09-11,2021-2022,La Liga,Rayo Vallecano,Levante,Away,1,1,D,Randy Nteka,Y,FW,72,0,0,4,1,0,0,1,0,0,0,0
2021-09-18,2021-2022,La Liga,Rayo Vallecano,Getafe,Home,3,0,W,Randy Nteka,Y,FW,70,0,0,0,0,0,0,1,0,0,0,0
2021-09-21,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Away,2,1,W,Randy Nteka,N,,32,0,0,0,0,0,0,3,0,0,0,0
2021-09-26,2021-2022,La Liga,Rayo Vallecano,Cádiz,Home,3,1,W,Randy Nteka,N,,27,0,0,0,0,0,0,0,0,0,0,0
2021-10-02,2021-2022,La Liga,Rayo Vallecano,Osasuna,Away,0,1,L,Randy Nteka,N,,34,0,0,0,0,0,0,0,0,0,0,0
2021-10-17,2021-2022,La Liga,Rayo Vallecano,Elche,Home,2,1,W,Randy Nteka,N,,29,1,0,1,1,0,0,1,0,0,0,0
2021-10-24,2021-2022,La Liga,Rayo Vallecano,Real Betis,Away,2,3,L,Randy Nteka,Y,FW,79,1,0,2,1,0,0,1,0,0,0,0
2021-10-27,2021-2022,La Liga,Rayo Vallecano,Barcelona,Home,1,0,W,Randy Nteka,N,,15,0,0,1,0,0,0,0,0,0,0,0
2021-11-01,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Randy Nteka,N,,18,0,0,0,0,0,0,1,0,0,0,0
2021-11-06,2021-2022,La Liga,Rayo Vallecano,Real Madrid,Away,1,2,L,Randy Nteka,Y,FW,68,0,0,2,1,0,0,1,0,0,1,1
2021-12-05,2021-2022,La Liga,Rayo Vallecano,Espanyol,Home,1,0,W,Randy Nteka,N,,3,0,0,0,0,1,0,0,0,0,0,0
2021-12-12,2021-2022,La Liga,Rayo Vallecano,Villarreal,Away,0,2,L,Randy Nteka,N,,33,0,0,1,1,0,0,1,0,0,0,0
2021-12-18,2021-2022,La Liga,Rayo Vallecano,Alavés,Home,2,0,W,Randy Nteka,N,,15,0,0,1,0,0,0,0,0,0,0,0
2022-01-09,2021-2022,La Liga,Rayo Vallecano,Real Betis,Home,1,1,D,Randy Nteka,Y,AM,66,0,0,2,0,0,0,0,0,2,3,0
2022-01-23,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Home,0,1,L,Randy Nteka,N,,15,0,0,1,0,0,0,1,0,0,0,0
2022-02-05,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Away,0,2,L,Randy Nteka,Y,AM,64,0,0,0,0,0,0,3,0,0,1,0
2022-02-12,2021-2022,La Liga,Rayo Vallecano,Osasuna,Home,0,3,L,Randy Nteka,Y,AM,73,0,0,4,1,0,0,3,1,0,1,1
2022-02-26,2021-2022,La Liga,Rayo Vallecano,Real Madrid,Home,0,1,L,Randy Nteka,N,,6,0,0,0,0,0,0,1,0,0,0,0
2022-03-06,2021-2022,La Liga,Rayo Vallecano,Cádiz,Away,0,2,L,Randy Nteka,N,,18,0,0,1,0,0,0,1,0,1,0,0
2022-03-13,2021-2022,Matchweek 28,Rayo Vallecano,Sevilla,Home,1,1,D,Randy Nteka,Yes,AM,73,0,0,1,0,0,0,4,0,0,1,2
2022-03-19,2021-2022,Matchweek 29,Rayo Vallecano,Atlético Madrid,Home,0,1,L,Randy Nteka,No,,15,0,0,1,0,0,0,1,0,0,0,0
2022-04-03,2021-2022,Matchweek 30,Rayo Vallecano,Granada,Away,2,2,D,Randy Nteka,Yes,AM,60,0,0,2,0,0,0,1,0,0,1,0
2022-04-11,2021-2022,Matchweek 31,Rayo Vallecano,Valencia,Home,1,1,D,Randy Nteka,No,,19,0,0,0,0,0,0,1,2,0,0,0
2022-04-16,2021-2022,Matchweek 32,Rayo Vallecano,Alavés,Away,0,1,L,Randy Nteka,Yes,AM,64,0,0,0,0,1,0,2,0,0,1,2
2022-04-21,2021-2022,Matchweek 33,Rayo Vallecano,Espanyol,Away,1,0,W,Randy Nteka,No,,1,0,0,0,0,0,0,1,1,0,0,0
2022-04-24,2021-2022,Matchweek 21,Rayo Vallecano,Barcelona,Away,1,0,W,Randy Nteka,Yes,FW,55,0,0,0,0,0,0,3,0,1,1,1
2022-05-01,2021-2022,Matchweek 34,Rayo Vallecano,Real Sociedad,Home,1,1,D,Randy Nteka,No,,45,0,0,0,0,0,0,1,0,0,0,0
2022-05-08,2021-2022,Matchweek 35,Rayo Vallecano,Getafe,Away,0,0,D,Randy Nteka,Yes,FW,71,0,0,1,0,0,0,0,1,0,0,0
2022-05-12,2021-2022,Matchweek 36,Rayo Vallecano,Villarreal,Home,1,5,L,Randy Nteka,No,,32,0,0,1,0,0,0,1,0,0,1,1
2022-05-15,2021-2022,Matchweek 37,Rayo Vallecano,Mallorca,Away,1,2,L,Randy Nteka,Yes,AM,60,0,0,0,0,0,0,1,1,0,1,1
2022-05-20,2021-2022,Matchweek 38,Rayo Vallecano,Levante,Home,2,4,L,Randy Nteka,Yes,AM,60,0,0,2,0,0,0,2,0,0,0,0
2022-08-19,2022-2023,La Liga,Rayo Vallecano,Espanyol,Away,2,0,W,Randy Nteka,N,,6,0,0,0,0,0,0,0,0,0,1,0
2022-08-27,2022-2023,La Liga,Rayo Vallecano,Mallorca,Home,0,2,L,Randy Nteka,N,,13,0,0,0,0,0,0,0,0,0,0,1
2022-09-10,2022-2023,La Liga,Rayo Vallecano,Valencia,Home,2,1,W,Randy Nteka,N,,15,0,0,0,0,0,0,0,0,0,1,0
2022-10-08,2022-2023,La Liga,Rayo Vallecano,Almería,Away,1,3,L,Randy Nteka,N,,5,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,2022-2023,La Liga,Rayo Vallecano,Atlético Madrid,Away,1,1,D,Randy Nteka,N,,3,0,0,1,0,0,0,0,0,0,0,0
2022-10-22,2022-2023,La Liga,Rayo Vallecano,Cádiz,Home,5,1,W,Randy Nteka,N,,23,0,0,1,0,0,0,1,1,0,0,0
2022-11-10,2022-2023,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Randy Nteka,N,,2,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,2022-2023,La Liga,Rayo Vallecano,Real Betis,Home,1,2,L,Randy Nteka,N,,12,0,0,0,0,0,0,0,0,0,0,0
2023-01-21,2022-2023,La Liga,Rayo Vallecano,Real Sociedad,Home,0,2,L,Randy Nteka,N,,24,0,0,2,0,0,0,0,0,0,0,0
2023-01-30,2022-2023,La Liga,Rayo Vallecano,Villarreal,Away,1,0,W,Randy Nteka,N,,13,0,0,0,0,0,0,0,0,0,0,1
2023-02-04,2022-2023,Matchweek 20,Elche,Villarreal,Home,3,1,W,Randy Nteka,No,,20,0,0,0,0,0,0,0,0,0,3,0
2023-02-15,2022-2023,Matchweek 21,Elche,Real Madrid,Away,0,4,L,Randy Nteka,Yes,FW,65,0,0,1,0,0,0,1,0,0,2,1
2023-02-19,2022-2023,Matchweek 22,Elche,Espanyol,Home,0,1,L,Randy Nteka,No,,15,0,0,0,0,0,0,1,0,0,1,0
2023-03-04,2022-2023,Matchweek 24,Elche,Mallorca,Away,1,0,W,Randy Nteka,Yes,FW,59,0,0,0,0,1,0,2,0,0,0,0
2023-03-11,2022-2023,Matchweek 25,Elche,Valladolid,Home,1,1,D,Randy Nteka,Yes,FW,45,0,0,2,0,0,0,3,0,0,1,0
2023-03-19,2022-2023,Matchweek 26,Elche,Real Sociedad,Away,0,2,L,Randy Nteka,Yes,FW,60,0,0,0,0,0,0,2,1,0,0,1
2023-04-16,2022-2023,Matchweek 29,Elche,Girona,Away,0,2,L,Randy Nteka,No,,14,0,0,1,0,0,0,1,1,0,0,0
2023-04-26,2022-2023,Matchweek 31,Elche,Celta Vigo,Away,0,1,L,Randy Nteka,Yes,FW,62,0,0,3,0,0,0,0,0,0,0,0
2023-05-02,2022-2023,Matchweek 33,Elche,Almería,Away,1,2,L,Randy Nteka,No,,23,0,0,0,0,0,0,0,0,0,0,0
2023-05-14,2022-2023,Matchweek 34,Elche,Atlético Madrid,Home,1,0,W,Randy Nteka,Yes,FW,66,0,0,1,1,0,0,1,0,0,0,1
2023-05-20,2022-2023,Matchweek 35,Elche,Getafe,Away,1,1,D,Randy Nteka,Yes,FW,72,0,0,3,2,0,0,3,0,0,1,0
2023-05-24,2022-2023,Matchweek 36,Elche,Sevilla,Home,1,1,D,Randy Nteka,Yes,FW,65,0,0,0,0,0,0,2,0,0,1,0
2023-05-28,2022-2023,Matchweek 37,Elche,Athletic Club,Away,1,0,W,Randy Nteka,Yes,FW,77,0,0,1,0,0,0,2,1,0,0,1
2023-06-04,2022-2023,Matchweek 38,Elche,Cádiz,Home,1,1,D,Randy Nteka,Yes,LW,83,0,0,2,1,0,0,3,0,0,1,0
2023-08-11,2023-2024,La Liga,Rayo Vallecano,Almería,Away,2,0,W,Randy Nteka,Y,FW,81,1,0,3,1,0,0,2,0,0,0,0
2023-08-21,2023-2024,La Liga,Rayo Vallecano,Granada,Away,2,0,W,Randy Nteka,Y,FW,65,0,0,2,1,0,0,3,3,0,0,0
2023-08-28,2023-2024,La Liga,Rayo Vallecano,Atlético Madrid,Home,0,7,L,Randy Nteka,N,,45,0,0,0,0,0,0,0,0,1,1,0
2023-09-02,2023-2024,La Liga,Rayo Vallecano,Real Betis,Away,0,1,L,Randy Nteka,Y,FW,77,0,0,2,0,0,0,2,0,0,0,0
2023-11-11,2023-2024,La Liga,Rayo Vallecano,Girona,Home,1,2,L,Randy Nteka,N,,32,0,0,1,1,0,0,0,0,0,2,0
2023-12-15,2023-2024,La Liga,Rayo Vallecano,Osasuna,Away,0,1,L,Randy Nteka,N,,28,0,0,1,1,0,0,1,0,0,0,0
2023-12-19,2023-2024,La Liga,Rayo Vallecano,Valencia,Home,0,1,L,Randy Nteka,N,,29,0,0,0,0,1,0,0,0,0,1,0
