Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-09-14,2019-2020,Ligue 1,Rennes,Brest,Away,0,0,D,Raphinha,Y,FW,90,0,0,2,1,0,0,1,0,2,1,1
2019-09-22,2019-2020,Ligue 1,Rennes,Lille,Home,1,1,D,Raphinha,Y,RM,90,0,0,3,1,1,0,2,0,4,0,0
2019-09-25,2019-2020,Ligue 1,Rennes,Nantes,Away,0,1,L,Raphinha,N,N/A,27,0,0,1,0,1,0,1,0,0,0,0
2019-09-29,2019-2020,Ligue 1,Rennes,Marseille,Away,1,1,D,Raphinha,Y,FW,73,0,0,2,0,0,0,1,0,3,0,1
2019-10-06,2019-2020,Ligue 1,Rennes,Reims,Home,0,1,L,Raphinha,Y,FW,80,0,0,1,0,0,0,0,0,5,3,1
2019-10-27,2019-2020,Ligue 1,Rennes,Toulouse,Home,3,2,W,Raphinha,Y,RM,90,0,0,1,0,0,0,0,1,7,0,0
2019-11-10,2019-2020,Ligue 1,Rennes,Amiens,Home,3,1,W,Raphinha,Y,RM,90,1,0,4,1,0,0,1,0,3,3,2
2019-11-23,2019-2020,Ligue 1,Rennes,Dijon,Away,1,2,L,Raphinha,Y,RM,58,1,0,1,1,0,0,1,0,2,0,0
2019-12-01,2019-2020,Ligue 1,Rennes,Saint-Étienne,Home,2,1,W,Raphinha,Y,RM,90,1,0,2,1,0,0,0,0,7,1,2
2019-12-04,2019-2020,Ligue 1,Rennes,Metz,Away,1,0,W,Raphinha,Y,LM,77,0,0,2,0,0,0,0,0,5,0,0
2019-12-07,2019-2020,Ligue 1,Rennes,Angers,Home,2,1,W,Raphinha,Y,RM,90,0,2,1,0,0,0,0,2,2,3,0
2019-12-15,2019-2020,Ligue 1,Rennes,Lyon,Away,1,0,W,Raphinha,Y,DM,90,0,0,0,0,0,0,0,1,7,1,0
2019-12-21,2019-2020,Ligue 1,Rennes,Bordeaux,Home,1,0,W,Raphinha,Y,RM,87,0,0,0,0,0,0,0,1,5,1,1
2020-01-10,2019-2020,Ligue 1,Rennes,Marseille,Home,0,1,L,Raphinha,Y,RM,90,0,0,4,0,0,0,1,0,4,0,0
2020-01-15,2019-2020,Ligue 1,Rennes,Nîmes,Away,1,0,W,Raphinha,Y,RM,90,0,0,2,0,0,0,4,1,2,2,3
2020-01-24,2019-2020,Ligue 1,Rennes,Nice,Away,1,1,D,Raphinha,Y,RM,90,0,0,4,1,0,0,0,2,11,0,2
2020-01-31,2019-2020,Ligue 1,Rennes,Nantes,Home,3,2,W,Raphinha,Y,RM,90,2,0,4,3,1,0,1,3,5,0,2
2020-02-04,2019-2020,Ligue 1,Rennes,Lille,Away,0,1,L,Raphinha,Y,RM,33,0,0,1,1,0,0,0,1,1,0,1
2020-02-16,2019-2020,Ligue 1,Rennes,Reims,Away,0,1,L,Raphinha,Y,RM,90,0,0,2,2,1,0,3,0,2,1,2
2020-02-23,2019-2020,Ligue 1,Rennes,Nîmes,Home,2,1,W,Raphinha,Y,RM,90,0,0,4,2,0,0,3,0,8,1,2
2020-02-29,2019-2020,Ligue 1,Rennes,Toulouse,Away,2,0,W,Raphinha,Y,RM,70,0,1,2,1,0,0,0,1,4,0,2
2020-03-08,2019-2020,Ligue 1,Rennes,Montpellier,Home,5,0,W,Raphinha,N,N/A,15,0,0,0,0,0,0,1,0,1,2,0
2020-08-22,2020-2021,Ligue 1,Rennes,Lille,Away,1,1,D,Raphinha,Y,FW,63,0,0,2,1,0,0,1,0,1,0,2
2020-08-29,2020-2021,Ligue 1,Rennes,Montpellier,Home,2,1,W,Raphinha,Y,FW,86,0,0,2,0,0,0,1,0,1,1,0
2020-09-13,2020-2021,Ligue 1,Rennes,Nîmes,Away,4,2,W,Raphinha,Y,FW,87,0,1,0,0,0,0,2,0,2,1,0
2020-09-19,2020-2021,Ligue 1,Rennes,Monaco,Home,2,1,W,Raphinha,Y,RW,57,0,0,1,0,0,0,1,0,3,0,0
2020-09-26,2020-2021,Ligue 1,Rennes,Saint-Étienne,Away,3,0,W,Raphinha,N,N/A,21,0,1,1,1,0,0,0,0,0,0,0
2020-10-04,2020-2021,Ligue 1,Rennes,Reims,Home,2,2,D,Raphinha,Y,RW,90,1,0,4,1,0,0,1,0,9,0,1
2021-08-14,2021-2022,Premier League,Leeds United,Manchester Utd,Away,1,5,L,Raphinha,Y,DM,90,0,0,2,0,1,0,1,0,7,3,1
2021-08-21,2021-2022,Premier League,Leeds United,Everton,Home,2,2,D,Raphinha,Y,DM,90,1,0,6,2,0,0,0,5,7,0,1
2021-08-29,2021-2022,Premier League,Leeds United,Burnley,Away,1,1,D,Raphinha,Y,DM,90,0,0,3,0,0,0,1,0,5,2,1
2021-09-12,2021-2022,Premier League,Leeds United,Liverpool,Home,0,3,L,Raphinha,Y,RW,90,0,0,0,0,0,0,1,1,6,1,1
2021-09-17,2021-2022,Premier League,Leeds United,Newcastle United,Away,1,1,D,Raphinha,Y,RW,66,1,0,4,3,0,0,2,1,5,1,0
2021-09-25,2021-2022,Premier League,Leeds United,West Ham United,Home,1,2,L,Raphinha,Y,RW,68,1,0,3,2,1,0,0,2,3,0,0
2021-10-02,2021-2022,Premier League,Leeds United,Watford,Home,1,0,W,Raphinha,Y,RW,90,0,0,5,0,0,0,2,0,9,1,0
2021-10-23,2021-2022,Premier League,Leeds United,Wolves,Home,1,1,D,Raphinha,Y,DM,53,0,0,3,1,0,0,2,1,3,1,3
2021-10-31,2021-2022,Premier League,Leeds United,Norwich City,Away,2,1,W,Raphinha,Y,DM,90,1,0,5,3,0,0,3,1,6,0,2
2021-11-07,2021-2022,Premier League,Leeds United,Leicester City,Home,1,1,D,Raphinha,Y,RW,90,1,0,3,1,1,0,3,1,8,0,2
2021-11-27,2021-2022,Premier League,Leeds United,Brighton,Away,0,0,D,Raphinha,Y,N/A,90,0,0,1,0,0,0,0,1,3,2,0
2021-11-30,2021-2022,Premier League,Leeds United,Crystal Palace,Home,1,0,W,Raphinha,Y,RW,90,1,0,2,1,0,0,0,3,8,0,1
2021-12-05,2021-2022,Premier League,Leeds United,Brentford,Home,2,2,D,Raphinha,Y,FW,90,0,1,1,0,1,0,1,2,9,1,2
2021-12-11,2021-2022,Premier League,Leeds United,Chelsea,Away,2,3,L,Raphinha,Y,FW,80,1,0,5,2,0,0,1,0,3,1,0
2021-12-14,2021-2022,Premier League,Leeds United,Manchester City,Away,0,7,L,Raphinha,Y,AM,90,0,0,0,0,0,0,1,1,1,2,1
2021-12-18,2021-2022,Premier League,Leeds United,Arsenal,Home,1,4,L,Raphinha,Y,AM,90,1,0,4,1,0,0,2,0,1,0,1
2022-01-02,2021-2022,Premier League,Leeds United,Burnley,Home,3,1,W,Raphinha,Y,FW,90,0,0,5,0,0,0,1,1,5,1,0
2022-01-16,2021-2022,Premier League,Leeds United,West Ham United,Away,3,2,W,Raphinha,Y,AM,90,0,1,3,0,0,0,1,2,2,0,0
2022-01-22,2021-2022,Premier League,Leeds United,Newcastle United,Home,0,1,L,Raphinha,Y,AM,90,0,0,3,0,0,0,2,1,4,0,0
2022-02-09,2021-2022,Premier League,Leeds United,Aston Villa,Away,3,3,D,Raphinha,Y,AM,90,0,0,1,0,0,0,1,2,8,0,0
