Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2005-01-15,2004-2005,La Liga,Getafe,Atlético Madrid,Home,1,1,D,Raúl Albiol,N,DEF,10,0,0,,,0,0,,,,,
2005-01-23,2004-2005,La Liga,Getafe,Zaragoza,Home,3,0,W,Raúl Albiol,Y,DEF,90,0,0,,,1,0,,,,,
2005-01-30,2004-2005,La Liga,Getafe,Mallorca,Away,1,3,L,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-02-06,2004-2005,La Liga,Getafe,Numancia,Home,1,0,W,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-02-13,2004-2005,La Liga,Getafe,Espanyol,Away,0,2,L,Raúl Albiol,Y,DEF,88,0,0,,,1,0,,,,,
2005-02-20,2004-2005,La Liga,Getafe,Osasuna,Home,0,0,D,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-03-02,2004-2005,La Liga,Getafe,Dep. La Coruña,Home,1,1,D,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-03-13,2004-2005,La Liga,Getafe,Real Madrid,Home,2,1,W,Raúl Albiol,Y,DEF,90,1,0,,,1,0,,,,,
2005-03-16,2004-2005,La Liga,Getafe,Athletic Club,Away,2,1,W,Raúl Albiol,Y,DEF,90,0,0,,,1,0,,,,,
2005-03-20,2004-2005,La Liga,Getafe,Valencia,Away,1,3,L,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-04-03,2004-2005,La Liga,Getafe,Málaga,Away,1,1,D,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-04-10,2004-2005,La Liga,Getafe,Albacete,Home,1,0,W,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-04-24,2004-2005,La Liga,Getafe,Levante,Home,1,0,W,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-05-01,2004-2005,La Liga,Getafe,Villarreal,Away,0,4,L,Raúl Albiol,N,DEF,46,0,0,,,0,0,,,,,
2005-05-08,2004-2005,La Liga,Getafe,Real Sociedad,Home,2,0,W,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-05-15,2004-2005,La Liga,Getafe,Racing Santander,Away,1,2,L,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-05-22,2004-2005,La Liga,Getafe,Sevilla,Home,0,0,D,Raúl Albiol,Y,DEF,90,0,0,,,1,0,,,,,
2005-08-27,2005-2006,La Liga,Valencia,Real Betis,Home,1,0,W,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-09-11,2005-2006,La Liga,Valencia,Zaragoza,Away,2,2,D,Raúl Albiol,Y,DEF,90,0,0,,,1,0,,,,,
2005-10-01,2005-2006,La Liga,Valencia,Getafe,Away,1,2,L,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-10-30,2005-2006,La Liga,Valencia,Racing Santander,Home,1,1,D,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
2005-11-26,2005-2006,La Liga,Valencia,Celta Vigo,Home,2,0,W,Raúl Albiol,Y,DEF,90,0,0,,,0,0,,,,,
