Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-11-09,2024-2025,La Liga,Real Madrid,Osasuna,Home,4,0,Win,Raúl Asencio,No,CB,61,0,1,0,0,0,0,0,0,0,1,0
2024-11-24,2024-2025,La Liga,Real Madrid,Leganés,Away,3,0,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,2,2,0,1,0
2024-12-01,2024-2025,La Liga,Real Madrid,Getafe,Home,2,0,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,3,0,0,1,1
2024-12-04,2024-2025,La Liga,Real Madrid,Athletic Club,Away,1,2,Loss,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,1,0,0,1,2
2024-12-07,2024-2025,La Liga,Real Madrid,Girona,Away,3,0,Win,Raúl Asencio,No,CB,10,0,0,0,0,0,0,0,1,0,0,0
2024-12-22,2024-2025,La Liga,Real Madrid,Sevilla,Home,4,2,Win,Raúl Asencio,No,CB,14,0,0,0,0,0,0,0,0,0,1,0
2025-01-03,2024-2025,La Liga,Real Madrid,Valencia,Away,2,1,Win,Raúl Asencio,No,CB,1,0,0,0,0,0,0,0,0,0,0,0
2025-01-19,2024-2025,La Liga,Real Madrid,Las Palmas,Home,4,1,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,1,0,0,0,0
2025-01-25,2024-2025,La Liga,Real Madrid,Valladolid,Away,3,0,Win,Raúl Asencio,Yes,RB,67,0,0,1,0,0,0,2,3,1,1,0
2025-02-01,2024-2025,La Liga,Real Madrid,Espanyol,Away,0,1,Loss,Raúl Asencio,No,CB,76,0,0,0,0,0,0,1,1,0,0,2
2025-02-08,2024-2025,La Liga,Real Madrid,Atlético Madrid,Home,1,1,Draw,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,0,1,0,2,0
2025-02-15,2024-2025,La Liga,Real Madrid,Osasuna,Away,1,1,Draw,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,0,0,0,1,0
2025-02-23,2024-2025,La Liga,Real Madrid,Girona,Home,2,0,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-03-09,2024-2025,La Liga,Real Madrid,Rayo Vallecano,Home,2,1,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,0,1,0,1,0
2025-03-15,2024-2025,La Liga,Real Madrid,Villarreal,Away,2,1,Win,Raúl Asencio,Yes,CB,60,0,0,0,0,0,0,1,0,0,1,3
2025-03-29,2024-2025,La Liga,Real Madrid,Leganés,Home,3,2,Win,Raúl Asencio,Yes,CB,90,0,0,1,0,1,0,0,0,0,2,0
2025-04-13,2024-2025,La Liga,Real Madrid,Alavés,Away,1,0,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,0,0,0,1,0
2025-04-20,2024-2025,La Liga,Real Madrid,Athletic Club,Home,1,0,Win,Raúl Asencio,Yes,CB,82,0,0,0,0,1,0,1,1,0,1,0
2025-04-23,2024-2025,La Liga,Real Madrid,Getafe,Away,1,0,Win,Raúl Asencio,Yes,CB,90,0,0,0,0,0,0,0,3,0,0,2
2025-05-04,2024-2025,La Liga,Real Madrid,Celta Vigo,Home,3,2,Win,Raúl Asencio,Yes,CB,66,0,0,0,0,0,0,0,1,0,1,0
2025-05-11,2024-2025,La Liga,Real Madrid,Barcelona,Away,3,4,Loss,Raúl Asencio,Yes,CB,90,0,0,0,0,1,0,2,0,0,1,0
2025-05-14,2024-2025,La Liga,Real Madrid,Mallorca,Home,2,1,Win,Raúl Asencio,Yes,CB,63,0,0,0,0,0,0,1,1,0,1,2
2025-05-24,2024-2025,La Liga,Real Madrid,Real Sociedad,Home,2,0,Win,Raúl Asencio,Yes,CB,90,0,0,1,1,0,0,2,0,0,1,2
