Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-09-12,2020-2021,La Liga,Celta Vigo,Eibar,Away,0,0,D,Renato Tapia,Y,CM,90,0,0,0,0,0,0,2,1,0,0,1
2020-09-19,2020-2021,La Liga,Celta Vigo,Valencia,Home,2,1,W,Renato Tapia,Y,CM,79,0,0,1,0,1,0,3,1,1,0,0
2020-09-27,2020-2021,La Liga,Celta Vigo,Valladolid,Away,1,1,D,Renato Tapia,Y,DM,79,0,0,0,0,0,0,1,4,0,0,3
2020-10-01,2020-2021,La Liga,Celta Vigo,Barcelona,Home,0,3,L,Renato Tapia,Y,CM,73,0,0,0,0,1,0,2,1,0,0,2
2020-10-04,2020-2021,La Liga,Celta Vigo,Osasuna,Away,0,2,L,Renato Tapia,Y,DM,72,0,0,0,0,1,0,3,4,0,0,1
2020-10-17,2020-2021,La Liga,Celta Vigo,Atlético Madrid,Home,0,2,L,Renato Tapia,Y,CM,90,0,0,0,0,0,0,6,2,0,0,3
2020-10-26,2020-2021,La Liga,Celta Vigo,Levante,Away,1,1,D,Renato Tapia,Y,CM,90,0,0,2,0,0,0,1,1,0,1,0
2020-11-01,2020-2021,La Liga,Celta Vigo,Real Sociedad,Home,1,4,L,Renato Tapia,Y,CM,90,0,0,1,0,0,0,3,3,0,0,2
2020-11-06,2020-2021,La Liga,Celta Vigo,Elche,Away,1,1,D,Renato Tapia,Y,DM,65,0,0,0,0,0,0,0,2,0,0,1
2020-11-21,2020-2021,La Liga,Celta Vigo,Sevilla,Away,2,4,L,Renato Tapia,Y,DM,87,0,0,1,0,0,0,2,0,0,0,0
2020-11-29,2020-2021,La Liga,Celta Vigo,Granada,Home,3,1,W,Renato Tapia,Y,DM,90,0,0,1,0,1,0,3,4,0,0,1
2020-12-04,2020-2021,La Liga,Celta Vigo,Athletic Club,Away,2,0,W,Renato Tapia,Y,DM,90,0,0,1,1,0,0,2,0,0,0,1
2020-12-14,2020-2021,La Liga,Celta Vigo,Cádiz,Home,4,0,W,Renato Tapia,Y,DM,66,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,2020-2021,La Liga,Celta Vigo,Alavés,Home,2,0,W,Renato Tapia,Y,DM,90,0,0,0,0,0,0,2,1,0,0,1
2020-12-23,2020-2021,La Liga,Celta Vigo,Getafe,Away,1,1,D,Renato Tapia,Y,DM,90,0,0,0,0,0,0,3,0,0,1,1
2020-12-30,2020-2021,La Liga,Celta Vigo,Huesca,Home,2,1,W,Renato Tapia,Y,DM,82,0,0,0,0,0,0,0,1,0,0,0
2021-01-02,2020-2021,La Liga,Celta Vigo,Real Madrid,Away,0,2,L,Renato Tapia,Y,DM,90,0,0,0,0,1,0,3,3,0,0,1
2021-01-20,2020-2021,La Liga,Celta Vigo,Real Betis,Away,1,2,L,Renato Tapia,Y,DM,90,0,1,0,0,1,0,3,2,0,0,1
2021-01-24,2020-2021,La Liga,Celta Vigo,Eibar,Home,1,1,D,Renato Tapia,Y,DM,90,0,0,0,0,1,0,2,1,0,1,2
2021-01-31,2020-2021,La Liga,Celta Vigo,Granada,Away,0,0,D,Renato Tapia,Y,DM,90,0,0,0,0,0,0,1,2,0,0,8
2021-02-08,2020-2021,La Liga,Celta Vigo,Atlético Madrid,Away,2,2,D,Renato Tapia,Y,DM,90,0,0,0,0,1,0,4,1,0,0,2
2021-02-12,2020-2021,La Liga,Celta Vigo,Elche,Home,3,1,W,Renato Tapia,Y,DM,90,0,0,1,1,0,0,1,0,0,0,3
2021-02-20,2020-2021,La Liga,Celta Vigo,Valencia,Away,0,2,L,Renato Tapia,Y,DM,90,0,0,0,0,1,0,2,1,0,0,0
2021-02-28,2020-2021,La Liga,Celta Vigo,Valladolid,Home,1,1,D,Renato Tapia,Y,DM,90,0,0,1,0,1,0,6,3,0,0,1
2021-03-14,2020-2021,La Liga,Celta Vigo,Athletic Club,Home,0,0,D,Renato Tapia,Y,DM,90,0,0,3,1,0,0,2,1,0,0,2
2021-03-20,2020-2021,La Liga,Celta Vigo,Real Madrid,Home,1,3,L,Renato Tapia,Y,DM,90,0,0,0,0,1,0,1,4,0,0,2
2021-04-04,2020-2021,La Liga,Celta Vigo,Alavés,Away,3,1,W,Renato Tapia,Y,DM,90,0,0,0,0,0,0,4,0,0,0,2
2021-04-12,2020-2021,La Liga,Celta Vigo,Sevilla,Home,3,4,L,Renato Tapia,Y,DM,90,0,0,1,0,0,0,0,0,0,0,4
2021-04-18,2020-2021,La Liga,Celta Vigo,Cádiz,Away,0,0,D,Renato Tapia,Y,DM,90,0,0,3,1,0,0,0,0,0,1,0
2021-04-22,2020-2021,La Liga,Celta Vigo,Real Sociedad,Away,1,2,L,Renato Tapia,Y,DM,90,0,0,1,1,0,0,2,2,0,0,1
2021-04-25,2020-2021,La Liga,Celta Vigo,Osasuna,Home,2,1,W,Renato Tapia,Y,DM,90,0,0,0,0,0,0,0,1,0,0,1
2021-04-30,2020-2021,La Liga,Celta Vigo,Levante,Home,2,0,W,Renato Tapia,Y,CB,28,0,0,0,0,0,0,1,1,0,0,0
2021-08-15,2021-2022,La Liga,Celta Vigo,Atlético Madrid,Home,1,2,L,Renato Tapia,Y,DM,74,0,0,0,0,0,0,0,1,0,0,4
