Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-01-21,2011-2012,Bundesliga,Wolfsburg,Köln,Home,1,0,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-01-28,2011-2012,Bundesliga,Wolfsburg,Bayern Munich,Away,0,2,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-02-04,2011-2012,Bundesliga,Wolfsburg,Gladbach,Home,0,0,D,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-02-10,2011-2012,Bundesliga,Wolfsburg,Freiburg,Home,3,2,W,Ricardo Rodríguez,Y,,90,0,0,,,1,0,,,,,
2012-02-19,2011-2012,Bundesliga,Wolfsburg,Schalke 04,Away,0,4,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-02-25,2011-2012,Bundesliga,Wolfsburg,Hoffenheim,Home,1,2,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-03-03,2011-2012,Bundesliga,Wolfsburg,Kaiserslautern,Away,0,0,D,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-03-10,2011-2012,Bundesliga,Wolfsburg,Leverkusen,Home,3,2,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-03-17,2011-2012,Bundesliga,Wolfsburg,Nürnberg,Away,3,1,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-03-23,2011-2012,Bundesliga,Wolfsburg,Hamburger SV,Home,2,1,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-03-31,2011-2012,Bundesliga,Wolfsburg,Hertha BSC,Away,4,1,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-04-07,2011-2012,Bundesliga,Wolfsburg,Dortmund,Home,1,3,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-04-11,2011-2012,Bundesliga,Wolfsburg,Hannover 96,Away,0,2,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-04-14,2011-2012,Bundesliga,Wolfsburg,Augsburg,Home,1,2,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-04-20,2011-2012,Bundesliga,Wolfsburg,Mainz 05,Away,0,0,D,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-04-28,2011-2012,Bundesliga,Wolfsburg,Werder Bremen,Home,3,1,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-05-05,2011-2012,Bundesliga,Wolfsburg,Stuttgart,Away,2,3,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-08-25,2012-2013,Bundesliga,Wolfsburg,Stuttgart,Away,1,0,W,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-09-02,2012-2013,Bundesliga,Wolfsburg,Hannover 96,Home,0,4,L,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
2012-09-14,2012-2013,Bundesliga,Wolfsburg,Augsburg,Away,0,0,D,Ricardo Rodríguez,Y,,90,0,0,,,1,0,,,,,
2012-09-22,2012-2013,Bundesliga,Wolfsburg,Greuther Fürth,Home,1,1,D,Ricardo Rodríguez,Y,,90,0,0,,,0,0,,,,,
