Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2010-08-22,2010-2011,Bundesliga,Dortmund,Leverkusen,Home,0,2,L,Robert Lewandowski,N,N/A,28,0,0,0,0,0,0,0,0,0,0,0
2010-08-29,2010-2011,Bundesliga,Dortmund,Stuttgart,Away,3,1,W,Robert Lewandowski,N,N/A,26,0,0,0,0,0,0,0,0,0,0,0
2010-09-19,2010-2011,Bundesliga,Dortmund,Schalke 04,Away,3,1,W,Robert Lewandowski,N,N/A,17,1,0,0,0,0,0,0,0,0,0,0
2010-09-22,2010-2011,Bundesliga,Dortmund,Kaiserslautern,Home,5,0,W,Robert Lewandowski,N,N/A,21,1,0,0,0,0,0,0,0,0,0,0
2010-09-25,2010-2011,Bundesliga,Dortmund,St Pauli,Away,3,1,W,Robert Lewandowski,N,N/A,21,0,0,0,0,0,0,0,0,0,0,0
2010-10-03,2010-2011,Bundesliga,Dortmund,Bayern Munich,Home,2,0,W,Robert Lewandowski,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2010-10-15,2010-2011,Bundesliga,Dortmund,Köln,Away,2,1,W,Robert Lewandowski,N,N/A,15,0,0,0,0,1,0,0,0,0,0,0
2010-10-24,2010-2011,Bundesliga,Dortmund,Hoffenheim,Home,1,1,D,Robert Lewandowski,N,N/A,32,0,0,0,0,0,0,0,0,0,0,0
2010-10-31,2010-2011,Bundesliga,Dortmund,Mainz 05,Away,2,0,W,Robert Lewandowski,N,N/A,12,0,0,0,0,0,0,0,0,0,0,0
2010-11-07,2010-2011,Bundesliga,Dortmund,Hannover 96,Away,4,0,W,Robert Lewandowski,N,N/A,16,1,0,0,0,0,0,0,0,0,0,0
2010-11-12,2010-2011,Bundesliga,Dortmund,Hamburger SV,Home,2,0,W,Robert Lewandowski,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2010-11-20,2010-2011,Bundesliga,Dortmund,Freiburg,Away,2,1,W,Robert Lewandowski,N,N/A,20,1,0,0,0,0,0,0,0,0,0,0
2010-11-27,2010-2011,Bundesliga,Dortmund,Gladbach,Home,4,1,W,Robert Lewandowski,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2010-12-05,2010-2011,Bundesliga,Dortmund,Nürnberg,Away,2,0,W,Robert Lewandowski,Y,N/A,90,1,0,0,0,1,0,0,0,0,0,0
2010-12-11,2010-2011,Bundesliga,Dortmund,Werder Bremen,Home,2,0,W,Robert Lewandowski,N,N/A,31,0,0,0,0,0,0,0,0,0,0,0
2010-12-18,2010-2011,Bundesliga,Dortmund,Eintracht Frankfurt,Away,0,1,L,Robert Lewandowski,N,N/A,18,0,0,0,0,0,0,0,0,0,0,0
2011-01-14,2010-2011,Bundesliga,Dortmund,Leverkusen,Away,3,1,W,Robert Lewandowski,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-01-22,2010-2011,Bundesliga,Dortmund,Stuttgart,Home,1,1,D,Robert Lewandowski,Y,N/A,89,0,0,0,0,0,0,0,0,0,0,0
2011-01-29,2010-2011,Bundesliga,Dortmund,Wolfsburg,Away,3,0,W,Robert Lewandowski,N,N/A,20,0,0,0,0,0,0,0,0,0,0,0
2011-02-04,2010-2011,Bundesliga,Dortmund,Schalke 04,Home,0,0,D,Robert Lewandowski,N,N/A,18,0,0,0,0,0,0,0,0,0,0,0
2011-02-12,2010-2011,Bundesliga,Dortmund,Kaiserslautern,Away,1,1,D,Robert Lewandowski,Y,N/A,74,0,0,0,0,0,0,0,0,0,0,0
2011-02-19,2010-2011,Bundesliga,Dortmund,St Pauli,Home,2,0,W,Robert Lewandowski,Y,N/A,86,0,0,0,0,1,0,0,0,0,0,0
2011-02-26,2010-2011,Bundesliga,Dortmund,Bayern Munich,Away,3,1,W,Robert Lewandowski,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2011-03-04,2010-2011,Bundesliga,Dortmund,Köln,Home,1,0,W,Robert Lewandowski,Y,N/A,90,1,0,0,0,0,0,0,0,0,0,0
2011-03-12,2010-2011,Bundesliga,Dortmund,Hoffenheim,Away,0,1,L,Robert Lewandowski,Y,N/A,61,0,0,0,0,0,0,0,0,0,0,0
2011-03-19,2010-2011,Bundesliga,Dortmund,Mainz 05,Home,1,1,D,Robert Lewandowski,N,N/A,60,0,0,0,0,0,0,0,0,0,0,0
2011-04-02,2010-2011,Bundesliga,Dortmund,Hannover 96,Home,4,1,W,Robert Lewandowski,Y,N/A,69,0,0,0,0,0,0,0,0,0,0,0
2011-04-09,2010-2011,Bundesliga,Dortmund,Hamburger SV,Away,1,1,D,Robert Lewandowski,Y,N/A,61,0,0,0,0,0,0,0,0,0,0,0
2011-04-17,2010-2011,Bundesliga,Dortmund,Freiburg,Home,3,0,W,Robert Lewandowski,Y,N/A,90,1,0,0,0,0,0,0,0,0,0,0
2011-04-23,2010-2011,Bundesliga,Dortmund,Gladbach,Away,0,1,L,Robert Lewandowski,Y,N/A,63,0,0,0,0,0,0,0,0,0,0,0
2011-04-30,2010-2011,Bundesliga,Dortmund,Nürnberg,Home,2,0,W,Robert Lewandowski,Y,N/A,77,1,0,0,0,0,0,0,0,0,0,0
2011-05-07,2010-2011,Bundesliga,Dortmund,Werder Bremen,Away,0,2,L,Robert Lewandowski,Y,N/A,75,0,0,0,0,0,0,0,0,0,0,0
2011-05-14,2010-2011,Bundesliga,Dortmund,Eintracht Frankfurt,Home,3,1,W,Robert Lewandowski,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-08-05,2011-2012,Bundesliga,Dortmund,Hamburger SV,Home,3,1,W,Robert Lewandowski,Y,N/A,90,0,0,0,0,1,0,0,0,0,0,0
2011-08-13,2011-2012,Bundesliga,Dortmund,Hoffenheim,Away,0,1,L,Robert Lewandowski,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-08-20,2011-2012,Bundesliga,Dortmund,Nürnberg,Home,2,0,W,Robert Lewandowski,Y,N/A,71,1,0,0,0,0,0,0,0,0,0,0
2011-08-27,2011-2012,Bundesliga,Dortmund,Leverkusen,Away,0,0,D,Robert Lewandowski,Y,N/A,90,0,0,0,0,0,0,0,0,0,0,0
2011-09-10,2011-2012,Bundesliga,Dortmund,Hertha BSC,Home,1,2,L,Robert Lewandowski,Y,N/A,90,1,0,0,0,1,0,0,0,0,0,0
2011-09-18,2011-2012,Bundesliga,Dortmund,Hannover 96,Away,1,2,L,Robert Lewandowski,Y,N/A,65,0,0,0,0,0,0,0,0,0,0,0
2011-09-24,2011-2012,Bundesliga,Dortmund,Mainz 05,Away,2,1,W,Robert Lewandowski,Y,N/A,74,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,2011-2012,Bundesliga,Dortmund,Augsburg,Home,4,0,W,Robert Lewandowski,Y,N/A,90,3,0,0,0,0,0,0,0,0,0,0
2011-10-14,2011-2012,Bundesliga,Dortmund,Werder Bremen,Away,2,0,W,Robert Lewandowski,Y,N/A,87,0,0,0,0,0,0,0,0,0,0,0
2011-10-22,2011-2012,Bundesliga,Dortmund,Köln,Home,5,0,W,Robert Lewandowski,Y,N/A,90,2,0,0,0,0,0,0,0,0,0,0
2011-10-29,2011-2012,Bundesliga,Dortmund,Stuttgart,Away,1,1,D,Robert Lewandowski,Y,N/A,71,0,0,0,0,0,0,0,0,0,0,0
2011-11-05,2011-2012,Bundesliga,Dortmund,Wolfsburg,Home,5,1,W,Robert Lewandowski,Y,N/A,73,1,0,0,0,0,0,0,0,0,0,0
2011-11-19,2011-2012,Bundesliga,Dortmund,Bayern Munich,Away,1,0,W,Robert Lewandowski,Y,N/A,89,0,0,0,0,0,0,0,0,0,0,0
2011-11-26,2011-2012,Bundesliga,Dortmund,Schalke 04,Home,2,0,W,Robert Lewandowski,Y,N/A,90,1,0,0,0,0,0,0,0,0,0,0
2011-12-03,2011-2012,Bundesliga,Dortmund,Gladbach,Away,1,1,D,Robert Lewandowski,Y,N/A,90,1,0,0,0,0,0,0,0,0,0,0
