Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2025-01-17,2024-2025,La Liga,Espanyol,Valladolid,Home,2,1,W,Roberto Fernández,N,FW,28,1,0,1,1,0,0,2,0,0,0,0
2025-01-25,2024-2025,La Liga,Espanyol,Sevilla,Away,1,1,D,Roberto Fernández,Y,FW,72,0,0,0,0,1,0,3,0,0,1,0
2025-02-01,2024-2025,La Liga,Espanyol,Real Madrid,Home,1,0,W,Roberto Fernández,Y,FW,72,0,0,1,0,0,0,2,0,0,0,0
2025-02-09,2024-2025,La Liga,Espanyol,Real Sociedad,Away,1,2,L,Roberto Fernández,Y,FW,69,0,0,0,0,0,0,0,1,0,0,1
2025-02-16,2024-2025,La Liga,Espanyol,Athletic Club,Home,1,1,D,Roberto Fernández,Y,FW,78,1,0,1,1,0,0,2,1,0,1,0
2025-02-22,2024-2025,La Liga,Espanyol,Alavés,Away,1,0,W,Roberto Fernández,Y,FW,90,0,0,0,0,0,0,4,0,0,2,1
2025-03-10,2024-2025,La Liga,Espanyol,Girona,Home,1,1,D,Roberto Fernández,Y,FW,89,0,0,1,0,0,0,2,0,1,0,0
2025-03-15,2024-2025,La Liga,Espanyol,Mallorca,Away,1,2,L,Roberto Fernández,Y,FW,79,0,0,0,0,0,0,1,0,0,0,0
2025-03-29,2024-2025,La Liga,Espanyol,Atlético Madrid,Visit,1,1,D,Roberto Fernández,Y,FW,77,0,0,2,0,0,0,2,0,0,0,1
2025-04-04,2024-2025,La Liga,Espanyol,Rayo Vallecano,Away,4,0,W,Roberto Fernández,Y,FW,82,1,0,4,2,0,0,3,0,0,0,0
2025-04-12,2024-2025,La Liga,Espanyol,Celta Vigo,Away,2,0,W,Roberto Fernández,Y,FW,82,2,0,2,2,0,0,1,0,0,0,0
2025-04-18,2024-2025,La Liga,Espanyol,Getafe,Home,1,0,W,Roberto Fernández,Y,FW,89,0,0,1,0,0,0,1,2,1,0,0
2025-04-22,2024-2025,La Liga,Espanyol,Valencia,Away,1,1,D,Roberto Fernández,Y,FW,90,0,0,2,1,0,0,1,1,0,0,0
2025-04-27,2024-2025,La Liga,Espanyol,Villarreal,Away,0,1,L,Roberto Fernández,Y,FW,90,0,0,2,0,0,0,1,0,0,0,0
2025-05-04,2024-2025,La Liga,Espanyol,Real Betis,Home,1,2,L,Roberto Fernández,Y,FW,90,1,0,1,1,0,0,1,3,0,0,0
2025-05-11,2024-2025,La Liga,Espanyol,Leganés,Away,2,3,L,Roberto Fernández,Y,FW,71,0,0,0,0,0,0,1,0,0,0,0
2025-05-15,2024-2025,La Liga,Espanyol,Barcelona,Home,0,2,L,Roberto Fernández,Y,FW,81,0,0,0,0,0,0,0,1,0,0,0
2025-05-18,2024-2025,La Liga,Espanyol,Osasuna,Away,0,2,L,Roberto Fernández,Y,FW,90,0,0,1,1,0,0,0,0,0,0,0
2025-05-24,2024-2025,La Liga,Espanyol,Las Palmas,Home,2,0,W,Roberto Fernández,Y,FW,78,0,0,1,0,0,0,1,0,0,0,0
