Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-11-07,2020-21,La Liga,Real Betis,Barcelona,Away,2,5,L,Rodri,N,N/A,5,0,0,0,0,0,0,0,0,0,1,0
2020-11-23,2020-21,La Liga,Real Betis,Athletic Club,Away,0,4,L,Rodri,Y,AM,83,0,0,1,0,0,0,0,3,1,1,1
2020-12-20,2020-21,La Liga,Real Betis,Granada,Away,0,2,L,Rodri,Y,AM,63,0,0,0,0,0,0,1,1,1,0,1
2020-12-29,2020-21,La Liga,Real Betis,Levante,Away,3,4,L,Rodri,N,N/A,26,0,0,1,0,0,0,0,0,1,0,1
2021-01-02,2020-21,La Liga,Real Betis,Sevilla,Home,1,1,D,Rodri,N,N/A,2,0,0,0,0,0,0,0,1,0,0,0
2021-01-11,2020-21,La Liga,Real Betis,Huesca,Away,2,0,W,Rodri,N,N/A,12,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,2020-21,La Liga,Real Betis,Celta Vigo,Home,2,1,W,Rodri,N,N/A,60,0,0,1,0,0,0,3,0,1,0,0
2021-01-23,2020-21,La Liga,Real Betis,Real Sociedad,Away,2,2,D,Rodri,N,N/A,25,0,0,0,0,0,0,1,0,0,1,0
2021-02-01,2020-21,La Liga,Real Betis,Osasuna,Home,1,0,W,Rodri,Y,AM,69,0,0,0,0,0,0,1,0,5,1,0
2021-02-07,2020-21,La Liga,Real Betis,Barcelona,Home,2,3,L,Rodri,N,N/A,26,0,0,0,0,0,0,0,0,0,0,0
2021-02-28,2020-21,La Liga,Real Betis,Cádiz,Away,1,0,W,Rodri,N,N/A,10,0,0,0,0,0,0,1,0,0,0,0
2021-05-10,2020-21,La Liga,Real Betis,Granada,Home,2,1,W,Rodri,N,N/A,11,0,0,1,0,0,0,0,0,0,0,0
