Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-23,2014-2015,La Liga,Valencia,Sevilla,Away,1,1,D,Rodrigo De Paul,N,Midfielder,1,0,0,0,0,1,0,0,0,0,0,0
2014-10-19,2014-2015,La Liga,Valencia,Deportivo La Coruña,Away,0,3,L,Rodrigo De Paul,N,Midfielder,14,0,0,0,0,0,0,0,0,0,0,0
2014-10-25,2014-2015,La Liga,Valencia,Elche,Home,3,1,W,Rodrigo De Paul,N,Midfielder,10,0,0,0,0,0,0,0,0,0,0,0
2014-11-02,2014-2015,La Liga,Valencia,Villarreal,Away,3,1,W,Rodrigo De Paul,N,Midfielder,4,0,0,0,0,0,0,0,0,0,0,0
2014-11-23,2014-2015,La Liga,Valencia,Levante,Away,1,2,L,Rodrigo De Paul,N,Midfielder,11,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,2014-2015,La Liga,Valencia,Barcelona,Home,0,1,L,Rodrigo De Paul,N,Midfielder,19,0,0,0,0,0,0,0,0,0,0,0
2014-12-07,2014-2015,La Liga,Valencia,Granada,Away,1,1,D,Rodrigo De Paul,N,Midfielder,19,0,1,0,0,0,0,0,0,0,0,0
2014-12-13,2014-2015,La Liga,Valencia,Rayo Vallecano,Home,3,0,W,Rodrigo De Paul,Y,Midfielder,73,0,0,0,0,0,0,0,0,0,0,0
2014-12-20,2014-2015,La Liga,Valencia,Eibar,Away,1,0,W,Rodrigo De Paul,Y,Midfielder,89,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,2014-2015,La Liga,Valencia,Celta Vigo,Away,1,1,D,Rodrigo De Paul,N,Midfielder,26,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,2014-2015,La Liga,Valencia,Almería,Home,3,2,W,Rodrigo De Paul,N,Midfielder,11,0,0,0,0,1,0,0,0,0,0,0
2015-01-25,2014-2015,La Liga,Valencia,Sevilla,Home,3,1,W,Rodrigo De Paul,N,Midfielder,2,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,2014-2015,La Liga,Valencia,Málaga,Away,0,1,L,Rodrigo De Paul,N,Midfielder,18,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,2014-2015,La Liga,Valencia,Getafe,Home,1,0,W,Rodrigo De Paul,Y,Midfielder,59,0,0,0,0,1,0,0,0,0,0,0
2015-02-21,2014-2015,La Liga,Valencia,Córdoba,Away,2,1,W,Rodrigo De Paul,Y,Midfielder,60,0,1,0,0,0,0,0,0,0,0,0
2015-03-01,2014-2015,La Liga,Valencia,Real Sociedad,Home,2,0,W,Rodrigo De Paul,N,Midfielder,9,0,0,0,0,1,0,0,0,0,0,0
2015-03-13,2014-2015,La Liga,Valencia,Deportivo La Coruña,Home,2,0,W,Rodrigo De Paul,N,Midfielder,7,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,2014-2015,La Liga,Valencia,Athletic Club,Away,1,1,D,Rodrigo De Paul,N,Midfielder,64,1,0,0,0,0,0,0,0,0,0,0
2015-04-13,2014-2015,La Liga,Valencia,Levante,Home,3,0,W,Rodrigo De Paul,N,Midfielder,25,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,2014-2015,La Liga,Valencia,Granada,Home,4,0,W,Rodrigo De Paul,N,Midfielder,25,0,1,0,0,0,0,0,0,0,0,0
2015-04-30,2014-2015,La Liga,Valencia,Rayo Vallecano,Away,1,1,D,Rodrigo De Paul,N,Midfielder,9,0,0,0,0,0,0,0,0,0,0,0
2015-05-03,2014-2015,La Liga,Valencia,Eibar,Home,3,1,W,Rodrigo De Paul,Y,Midfielder,66,0,0,0,0,0,0,0,0,0,0,0
2015-05-09,2014-2015,La Liga,Valencia,Real Madrid,Away,2,2,D,Rodrigo De Paul,N,Midfielder,13,0,0,0,0,0,0,0,0,0,0,0
2015-05-17,2014-2015,La Liga,Valencia,Celta Vigo,Home,1,1,D,Rodrigo De Paul,N,Midfielder,33,0,0,0,0,0,0,0,0,0,0,0
2015-05-23,2014-2015,La Liga,Valencia,Almería,Away,3,2,W,Rodrigo De Paul,Y,Midfielder,62,0,1,0,0,0,0,0,0,0,0,0
2015-08-22,2015-2016,La Liga,Valencia,Rayo Vallecano,Away,0,0,D,Rodrigo De Paul,Y,CM,72,0,0,0,0,0,0,2,0,4,0,0
2015-08-30,2015-2016,La Liga,Valencia,Deportivo La Coruña,Home,1,1,D,Rodrigo De Paul,Y,CM,90,0,0,2,1,1,0,2,1,9,2,0
2015-09-19,2015-2016,La Liga,Valencia,Real Betis,Home,0,0,D,Rodrigo De Paul,N,CM,25,0,0,1,0,1,0,2,0,1,0,0
2015-10-04,2015-2016,La Liga,Valencia,Athletic Club,Away,1,3,L,Rodrigo De Paul,N,CM,25,0,0,2,0,0,0,1,0,4,0,0
2015-12-05,2015-2016,La Liga,Valencia,Barcelona,Home,1,1,D,Rodrigo De Paul,Y,FW,82,0,0,3,1,0,0,3,1,0,1,0
2015-12-13,2015-2016,La Liga,Valencia,Eibar,Away,1,1,D,Rodrigo De Paul,Y,FW,45,0,0,0,0,1,0,1,2,3,1,1
2015-12-19,2015-2016,La Liga,Valencia,Getafe,Home,2,2,D,Rodrigo De Paul,N,FW,6,0,0,0,0,0,0,0,0,1,0,0
