Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-09-02,2012-2013,La Liga,Levante,Espanyol,Home,3,2,W,Rubén García,N,,11,0,0,,,0,0,,,,,0
2012-09-15,2012-2013,La Liga,Levante,Málaga,Away,1,3,L,Rubén García,N,,17,0,0,,,0,0,,,,,0
2012-09-23,2012-2013,La Liga,Levante,Real Sociedad,Home,2,1,W,Rubén García,Y,,54,0,0,,,0,0,,,,,0
2012-09-30,2012-2013,La Liga,Levante,Osasuna,Away,0,4,L,Rubén García,N,,19,0,0,,,0,0,,,,,0
2012-10-07,2012-2013,La Liga,Levante,Valencia,Home,1,0,W,Rubén García,N,,20,0,0,,,0,0,,,,,0
2012-10-21,2012-2013,La Liga,Levante,Getafe,Away,1,0,W,Rubén García,N,,19,0,0,,,0,0,,,,,0
2012-10-28,2012-2013,La Liga,Levante,Granada,Home,3,1,W,Rubén García,N,,9,0,0,,,0,0,,,,,0
2012-11-04,2012-2013,La Liga,Levante,Sevilla,Away,0,0,D,Rubén García,N,,22,0,0,,,0,0,,,,,0
2012-11-11,2012-2013,La Liga,Levante,Real Madrid,Home,1,2,L,Rubén García,N,,6,0,0,,,0,0,,,,,0
2012-12-09,2012-2013,La Liga,Levante,Mallorca,Home,4,0,W,Rubén García,Y,,90,1,0,,,0,0,,,,,0
2012-12-16,2012-2013,La Liga,Levante,Zaragoza,Away,1,0,W,Rubén García,Y,,75,1,0,,,0,0,,,,,0
2012-12-20,2012-2013,La Liga,Levante,Rayo Vallecano,Away,0,3,L,Rubén García,Y,,90,0,0,,,0,0,,,,,0
2013-01-05,2012-2013,La Liga,Levante,Athletic Club,Home,3,1,W,Rubén García,Y,,90,0,0,,,1,0,,,,,0
2013-01-13,2012-2013,La Liga,Levante,Real Betis,Away,0,2,L,Rubén García,Y,,90,0,0,,,0,0,,,,,0
