Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2012-11-11,2012-2013,La Liga,Valladolid,Valencia,Home,1,1,D,Rubén Peña,N,N/A,15,0,0,0,0,0,0,0,0,0,0,0
2012-12-17,2012-2013,La Liga,Valladolid,Deportivo La Coruña,Away,0,0,D,Rubén Peña,N,N/A,8,0,0,0,0,0,0,0,0,0,0,0
2012-12-22,2012-2013,La Liga,Valladolid,Barcelona,Home,1,3,L,Rubén Peña,N,N/A,26,0,0,0,0,0,0,0,0,0,0,0
2013-01-06,2012-2013,La Liga,Valladolid,Celta Vigo,Away,1,3,L,Rubén Peña,N,N/A,26,0,0,0,0,0,0,0,0,0,0,0
2016-08-19,2016-2017,La Liga,Eibar,Deportivo La Coruña,Away,1,2,L,Rubén Peña,N,N/A,17,0,0,0,0,0,0,0,0,1,0,0
2016-08-27,2016-2017,La Liga,Eibar,Valencia,Home,1,0,W,Rubén Peña,N,N/A,26,0,0,0,0,0,0,0,0,0,0,0
2016-09-11,2016-2017,La Liga,Eibar,Granada,Away,2,1,W,Rubén Peña,Y,AM,90,0,0,1,1,0,0,1,1,2,1,3
2016-09-17,2016-2017,La Liga,Eibar,Sevilla,Home,1,1,D,Rubén Peña,N,N/A,29,0,0,0,0,0,0,0,0,0,0,0
2016-09-24,2016-2017,La Liga,Eibar,Real Sociedad,Home,2,0,W,Rubén Peña,N,N/A,12,0,0,0,0,0,0,0,0,0,1,0
2016-10-02,2016-2017,La Liga,Eibar,Real Madrid,Away,1,1,D,Rubén Peña,Y,FW,86,0,0,0,0,1,0,2,2,0,2,2
2016-10-22,2016-2017,La Liga,Eibar,Espanyol,Away,3,3,D,Rubén Peña,N,N/A,25,0,0,0,0,0,0,1,0,1,0,1
2016-10-30,2016-2017,La Liga,Eibar,Villarreal,Home,2,1,W,Rubén Peña,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2016-11-19,2016-2017,La Liga,Eibar,Celta Vigo,Home,1,0,W,Rubén Peña,N,N/A,27,0,0,0,0,1,0,1,2,0,1,1
2016-12-04,2016-2017,La Liga,Eibar,Athletic Club,Away,1,3,L,Rubén Peña,N,N/A,31,0,0,1,1,0,0,0,0,1,3,0
2016-12-11,2016-2017,La Liga,Eibar,Alavés,Home,0,0,D,Rubén Peña,Y,AM,90,0,0,1,1,0,0,2,0,1,0,1
2016-12-18,2016-2017,La Liga,Eibar,Leganés,Away,1,1,D,Rubén Peña,Y,AM,56,0,0,3,0,0,0,1,1,2,0,0
2017-01-07,2016-2017,La Liga,Eibar,Atlético Madrid,Home,0,2,L,Rubén Peña,N,N/A,15,0,0,0,0,0,0,1,0,0,0,0
2017-01-15,2016-2017,La Liga,Eibar,Sporting Gijón,Away,3,2,W,Rubén Peña,N,N/A,17,0,0,1,0,0,0,2,0,1,1,0
2017-01-22,2016-2017,La Liga,Eibar,Barcelona,Home,0,4,L,Rubén Peña,N,N/A,13,0,0,0,0,0,0,0,0,2,0,1
2017-01-28,2016-2017,La Liga,Eibar,Deportivo La Coruña,Home,3,1,W,Rubén Peña,N,N/A,26,0,0,2,0,0,0,0,0,1,0,0
2017-02-04,2016-2017,La Liga,Eibar,Valencia,Away,4,0,W,Rubén Peña,Y,AM,79,0,0,1,0,0,0,3,2,4,0,0
2017-02-13,2016-2017,La Liga,Eibar,Granada,Home,4,0,W,Rubén Peña,N,N/A,10,0,0,0,0,0,0,0,0,1,2,0
2017-02-18,2016-2017,La Liga,Eibar,Sevilla,Away,0,2,L,Rubén Peña,Y,AM,81,0,0,3,1,0,0,0,1,7,0,1
2017-02-28,2016-2017,La Liga,Eibar,Real Sociedad,Away,2,2,D,Rubén Peña,Y,FW,83,0,0,3,1,0,0,2,1,3,0,0
2017-03-04,2016-2017,La Liga,Eibar,Real Madrid,Home,1,4,L,Rubén Peña,Y,AM,90,1,0,5,1,0,0,1,0,5,1,3
2017-03-13,2016-2017,La Liga,Eibar,Osasuna,Away,1,1,D,Rubén Peña,N,N/A,28,0,0,0,0,0,0,1,2,2,1,0
2017-03-18,2016-2017,La Liga,Eibar,Espanyol,Home,1,1,D,Rubén Peña,N,N/A,16,0,0,0,0,0,0,1,0,0,0,0
2017-04-06,2016-2017,La Liga,Eibar,Las Palmas,Home,3,1,W,Rubén Peña,N,N/A,3,0,0,0,0,0,0,0,0,1,0,0
2017-04-09,2016-2017,La Liga,Eibar,Celta Vigo,Away,2,0,W,Rubén Peña,N,N/A,20,0,0,0,0,0,0,0,0,0,0,0
2017-04-30,2016-2017,La Liga,Eibar,Leganés,Home,2,0,W,Rubén Peña,N,N/A,9,0,0,0,0,0,0,0,0,0,0,0
2017-05-06,2016-2017,La Liga,Eibar,Atlético Madrid,Away,0,1,L,Rubén Peña,N,N/A,15,0,0,0,0,0,0,2,0,1,0,1
2017-05-21,2016-2017,La Liga,Eibar,Barcelona,Away,2,4,L,Rubén Peña,Y,RM,67,0,0,1,0,1,0,1,0,2,1,0
2017-08-21,2017-2018,La Liga,Eibar,Málaga,Away,1,0,W,Rubén Peña,Y,RM,76,0,0,2,0,0,0,0,0,3,5,1
2017-08-27,2017-2018,La Liga,Eibar,Athletic Club,Home,0,1,L,Rubén Peña,Y,RM,45,0,0,1,0,0,0,1,0,3,2,1
2017-09-09,2017-2018,La Liga,Eibar,Sevilla,Away,0,3,L,Rubén Peña,N,N/A,51,0,0,1,0,0,0,1,2,1,2,0
2017-09-19,2017-2018,La Liga,Eibar,Barcelona,Away,1,6,L,Rubén Peña,N,N/A,26,0,0,2,0,0,0,0,0,0,0,0
2017-10-01,2017-2018,La Liga,Eibar,Villarreal,Away,0,3,L,Rubén Peña,Y,RM,76,0,0,0,0,0,0,1,3,3,0,0
2017-10-22,2017-2018,La Liga,Eibar,Real Madrid,Away,0,3,L,Rubén Peña,N,N/A,18,0,0,0,0,0,0,0,0,3,0,0
2017-11-20,2017-2018,La Liga,Eibar,Real Betis,Home,5,0,W,Rubén Peña,N,N/A,14,0,0,0,0,0,0,0,0,1,0,0
2017-11-25,2017-2018,La Liga,Eibar,Alavés,Away,2,1,W,Rubén Peña,N,N/A,14,0,0,0,0,0,0,0,2,1,0,0
2017-12-09,2017-2018,La Liga,Eibar,Getafe,Away,0,0,D,Rubén Peña,N,N/A,13,0,0,0,0,0,0,0,0,0,0,0
2017-12-16,2017-2018,La Liga,Eibar,Valencia,Home,2,1,W,Rubén Peña,N,N/A,1,0,0,0,0,0,0,0,0,0,0,0
2017-12-21,2017-2018,La Liga,Eibar,Girona,Home,4,1,W,Rubén Peña,N,N/A,18,0,0,2,1,0,0,1,0,0,1,1
2018-01-06,2017-2018,La Liga,Eibar,Las Palmas,Away,2,1,W,Rubén Peña,N,N/A,31,0,0,0,0,0,0,0,0,0,1,0
2018-01-26,2017-2018,La Liga,Eibar,Athletic Club,Away,1,1,D,Rubén Peña,Y,RB,90,0,0,0,0,0,0,0,2,3,1,2
2018-02-03,2017-2018,La Liga,Eibar,Sevilla,Home,5,1,W,Rubén Peña,Y,RB,90,0,0,0,0,0,0,1,0,3,2,2
2018-02-10,2017-2018,La Liga,Eibar,Leganés,Away,1,0,W,Rubén Peña,Y,RB,89,0,0,0,0,0,0,0,0,5,0,1
