Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-14,2022-2023,La Liga,Valencia,Girona,Home,1,0,W,Samuel Lino,Y,FW,73,0,0,1,0,0,0,0,0,3,2,0
2022-08-21,2022-2023,La Liga,Valencia,Athletic Club,Away,0,1,L,Samuel Lino,Y,FW,90,0,0,1,0,0,0,1,0,2,1,0
2022-08-29,2022-2023,La Liga,Valencia,Atlético Madrid,Home,0,1,L,Samuel Lino,Y,AM,90,0,0,2,1,0,0,1,0,4,0,0
2022-09-04,2022-2023,La Liga,Valencia,Getafe,Home,5,1,W,Samuel Lino,Y,FW,90,1,0,6,3,0,0,3,0,2,0,0
2022-09-10,2022-2023,La Liga,Valencia,Rayo Vallecano,Away,1,2,L,Samuel Lino,Y,AM,90,0,0,5,1,0,0,2,0,1,0,1
2022-09-17,2022-2023,La Liga,Valencia,Celta Vigo,Home,3,0,W,Samuel Lino,Y,FW,90,0,0,4,1,1,0,1,1,2,0,0
2022-10-02,2022-2023,La Liga,Valencia,Espanyol,Away,2,2,D,Samuel Lino,Y,FW,90,0,0,2,1,0,0,1,0,3,1,0
2022-10-07,2022-2023,La Liga,Valencia,Osasuna,Away,2,1,W,Samuel Lino,Y,LM,90,0,0,5,3,0,0,1,2,1,3,0
2022-10-15,2022-2023,La Liga,Valencia,Elche,Home,2,2,D,Samuel Lino,Y,FW,90,0,0,1,0,0,0,0,1,2,0,1
2022-10-18,2022-2023,La Liga,Valencia,Sevilla,Away,1,1,D,Samuel Lino,Y,LM,62,0,0,1,1,1,0,3,0,1,0,0
2022-10-22,2022-2023,La Liga,Valencia,Mallorca,Home,1,2,L,Samuel Lino,Y,FW,90,0,0,2,0,0,0,2,0,7,0,0
2022-10-29,2022-2023,La Liga,Valencia,Barcelona,Home,0,1,L,Samuel Lino,Y,FW,90,0,0,2,2,1,0,0,0,4,4,2
2022-11-06,2022-2023,La Liga,Valencia,Real Sociedad,Away,1,1,D,Samuel Lino,Y,FW,90,1,0,3,2,0,0,2,2,4,2,0
