Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2014-08-31,2014-2015,La Liga,Barcelona,Villarreal,Away,1,0,W,Sandro Ramírez,N,N/A,21,1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2014-09-13,2014-2015,La Liga,Barcelona,Athletic Club,Home,2,0,W,Sandro Ramírez,N,N/A,13,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2014-09-21,2014-2015,La Liga,Barcelona,Levante,Away,5,0,W,Sandro Ramírez,N,N/A,40,1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2014-09-24,2014-2015,La Liga,Barcelona,Málaga,Away,0,0,D,Sandro Ramírez,N,N/A,27,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2014-09-27,2014-2015,La Liga,Barcelona,Granada,Home,6,0,W,Sandro Ramírez,N,N/A,20,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2014-10-04,2014-2015,La Liga,Barcelona,Rayo Vallecano,Away,2,0,W,Sandro Ramírez,N,N/A,11,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2014-10-18,2014-2015,La Liga,Barcelona,Eibar,Home,3,0,W,Sandro Ramírez,N,N/A,20,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2015-08-23,2015-2016,La Liga,Barcelona,Athletic Club,Away,1,0,W,Sandro Ramírez,N,N/A,9,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,2015-2016,La Liga,Barcelona,Málaga,Home,1,0,W,Sandro Ramírez,N,N/A,4,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,2015-2016,La Liga,Barcelona,Levante,Away,4,1,W,Sandro Ramírez,Y,FW,90,0,0,1,0,0,0,1,2,1,1,0
2015-09-26,2015-2016,La Liga,Barcelona,Las Palmas,Home,2,1,W,Sandro Ramírez,N,N/A,11,0,0,2,1,0,0,1,0,0,0,0
2015-10-03,2015-2016,La Liga,Barcelona,Sevilla,Away,1,2,L,Sandro Ramírez,N,N/A,31,0,0,4,1,0,0,1,0,0,0,0
2015-10-17,2015-2016,La Liga,Barcelona,Rayo Vallecano,Home,5,2,W,Sandro Ramírez,Y,FW,55,0,0,1,0,0,0,0,3,0,0,0
2015-10-25,2015-2016,La Liga,Barcelona,Eibar,Home,3,1,W,Sandro Ramírez,Y,FW,55,0,1,2,0,0,0,1,0,1,0,0
2015-10-31,2015-2016,La Liga,Barcelona,Getafe,Away,2,0,W,Sandro Ramírez,N,N/A,15,0,0,0,0,0,0,0,0,0,1,0
2015-11-08,2015-2016,La Liga,Barcelona,Villarreal,Home,3,0,W,Sandro Ramírez,N,N/A,12,0,0,0,0,0,0,0,0,1,0,0
2015-12-12,2015-2016,La Liga,Barcelona,Dep La Coruña,Home,2,2,D,Sandro Ramírez,Y,FW,67,0,0,0,0,0,0,0,0,1,0,0
2016-08-19,2016-2017,La Liga,Málaga,Osasuna,Home,1,1,D,Sandro Ramírez,Y,FW,77,0,0,5,1,0,0,1,3,1,0,1
2016-08-26,2016-2017,La Liga,Málaga,Espanyol,Away,2,2,D,Sandro Ramírez,Y,FW,90,0,0,3,0,0,0,1,1,2,1,0
2016-09-10,2016-2017,La Liga,Málaga,Villarreal,Home,0,2,L,Sandro Ramírez,Y,FW,45,0,0,0,0,0,0,0,0,0,1,2
2016-09-17,2016-2017,La Liga,Málaga,Las Palmas,Away,0,1,L,Sandro Ramírez,N,N/A,36,0,0,1,0,0,0,0,1,0,0,1
2016-09-20,2016-2017,La Liga,Málaga,Eibar,Home,2,1,W,Sandro Ramírez,Y,FW,90,1,0,6,3,1,0,1,2,3,2,0
2016-09-23,2016-2017,La Liga,Málaga,Real Betis,Away,0,1,L,Sandro Ramírez,Y,FW,90,0,0,2,1,1,0,1,2,1,1,0
2016-10-02,2016-2017,La Liga,Málaga,Athletic Club,Home,2,1,W,Sandro Ramírez,Y,FW,90,1,0,3,1,0,0,1,1,0,3,1
2016-10-16,2016-2017,La Liga,Málaga,Alavés,Away,1,1,D,Sandro Ramírez,Y,FW,90,0,0,4,1,0,0,1,0,0,3,1
2016-10-23,2016-2017,La Liga,Málaga,Leganés,Home,4,0,W,Sandro Ramírez,Y,FW,90,1,1,6,1,0,0,2,1,1,3,0
2016-10-29,2016-2017,La Liga,Málaga,Atlético Madrid,Away,2,4,L,Sandro Ramírez,Y,FW,90,1,0,1,1,0,0,0,1,0,2,0
2016-11-04,2016-2017,La Liga,Málaga,Sporting Gijón,Home,3,2,W,Sandro Ramírez,Y,FW,90,1,0,4,2,0,0,0,2,2,6,0
2016-11-19,2016-2017,La Liga,Málaga,Barcelona,Away,0,0,D,Sandro Ramírez,Y,FW,80,0,0,2,1,0,0,1,1,1,1,2
2016-11-26,2016-2017,La Liga,Málaga,Dep La Coruña,Home,4,3,W,Sandro Ramírez,Y,FW,53,1,0,2,1,0,0,1,1,0,2,0
2016-12-16,2016-2017,La Liga,Málaga,Granada,Home,1,1,D,Sandro Ramírez,Y,FW,90,0,0,5,2,0,0,0,1,2,2,2
2016-12-17,2016-2017,La Liga,Málaga,Sevilla,Away,1,4,L,Sandro Ramírez,Y,FW,90,1,0,3,1,0,0,0,4,2,4,1
2017-01-08,2016-2017,La Liga,Málaga,Celta Vigo,Away,1,3,L,Sandro Ramírez,Y,FW,90,0,0,3,1,0,0,0,3,0,8,1
2017-01-16,2016-2017,La Liga,Málaga,Real Sociedad,Home,0,2,L,Sandro Ramírez,Y,FW,19,0,0,0,0,0,0,0,1,0,1,0
2017-03-05,2016-2017,La Liga,Málaga,Athletic Club,Away,0,1,L,Sandro Ramírez,N,N/A,5,0,0,0,0,0,0,0,1,0,0,0
2017-03-11,2016-2017,La Liga,Málaga,Alavés,Home,1,2,L,Sandro Ramírez,Y,FW,75,0,0,2,1,0,0,3,3,0,3,0
2017-03-19,2016-2017,La Liga,Málaga,Leganés,Away,0,0,D,Sandro Ramírez,Y,FW,69,0,0,1,0,0,0,1,1,1,5,0
2017-04-01,2016-2017,La Liga,Málaga,Atlético Madrid,Home,0,2,L,Sandro Ramírez,Y,FW,90,0,0,6,2,0,0,1,4,0,7,0
2017-04-05,2016-2017,La Liga,Málaga,Sporting Gijón,Away,1,0,W,Sandro Ramírez,Y,FW,87,1,0,2,2,1,0,1,1,0,0,1
2017-04-08,2016-2017,La Liga,Málaga,Barcelona,Home,2,0,W,Sandro Ramírez,Y,FW,76,1,0,2,1,0,0,0,4,3,0,1
2017-04-15,2016-2017,La Liga,Málaga,Dep La Coruña,Away,0,2,L,Sandro Ramírez,Y,FW,90,0,0,3,1,0,0,1,2,1,3,0
2017-04-22,2016-2017,La Liga,Málaga,Valencia,Home,2,0,W,Sandro Ramírez,Y,FW,86,1,0,4,2,0,0,0,5,0,5,0
2017-04-25,2016-2017,La Liga,Málaga,Granada,Away,2,0,W,Sandro Ramírez,Y,FW,90,2,0,4,2,0,0,1,5,1,5,2
2017-05-01,2016-2017,La Liga,Málaga,Sevilla,Home,4,2,W,Sandro Ramírez,Y,FW,90,1,1,4,2,0,0,2,3,1,1,0
2017-05-07,2016-2017,La Liga,Málaga,Celta Vigo,Home,3,0,W,Sandro Ramírez,Y,FW,90,1,0,8,4,0,0,0,3,1,1,0
2017-05-14,2016-2017,La Liga,Málaga,Real Sociedad,Away,2,2,D,Sandro Ramírez,Y,FW,90,0,1,3,1,0,0,2,2,1,1,1
2017-05-21,2016-2017,La Liga,Málaga,Real Madrid,Home,0,2,L,Sandro Ramírez,Y,FW,68,0,0,3,2,0,0,0,2,0,3,0
2017-08-12,2017-2018,Premier League,Everton,Stoke City,Home,1,0,W,Sandro Ramírez,Y,FW,76,0,0,2,0,0,0,1,0,1,1,0
2017-08-27,2017-2018,Premier League,Everton,Chelsea,Away,0,2,L,Sandro Ramírez,Y,FW,61,0,0,1,0,0,0,0,2,0,0,1
2017-09-09,2017-2018,Premier League,Everton,Tottenham Hotspur,Home,0,3,L,Sandro Ramírez,Y,FW,45,0,0,2,0,0,0,0,3,1,2,0
2017-09-17,2017-2018,Premier League,Everton,Manchester Utd,Away,0,4,L,Sandro Ramírez,N,N/A,25,0,0,2,1,0,0,0,0,0,0,0
2017-10-01,2017-2018,Premier League,Everton,Burnley,Home,1,0,W,Sandro Ramírez,N,N/A,9,0,0,1,0,0,0,0,0,0,1,0
2017-11-18,2017-2018,Premier League,Everton,Crystal Palace,Away,2,2,D,Sandro Ramírez,N,N/A,15,0,0,1,0,0,0,0,1,0,1,0
2017-12-18,2017-2018,Premier League,Everton,Swansea City,Home,3,1,W,Sandro Ramírez,N,N/A,2,0,0,0,0,0,0,0,0,0,0,0
2017-12-23,2017-2018,Premier League,Everton,Chelsea,Home,0,0,D,Sandro Ramírez,N,N/A,45,0,0,0,0,0,0,0,1,0,1,1
2018-02-03,2017-2018,La Liga,Sevilla,Eibar,Away,1,5,L,Sandro Ramírez,Y,AM,65,0,0,1,0,0,0,0,2,0,0,0
2018-02-17,2017-2018,La Liga,Sevilla,Las Palmas,Away,2,1,W,Sandro Ramírez,N,N/A,48,0,0,0,0,0,0,2,2,0,0,0
2018-02-28,2017-2018,La Liga,Sevilla,Málaga,Away,1,0,W,Sandro Ramírez,N,N/A,13,0,0,0,0,0,0,1,0,1,0,0
2018-03-10,2017-2018,La Liga,Sevilla,Valencia,Home,0,2,L,Sandro Ramírez,N,N/A,10,0,0,0,0,0,0,2,0,0,2,0
2018-03-18,2017-2018,La Liga,Sevilla,Leganés,Away,1,2,L,Sandro Ramírez,N,N/A,28,0,0,1,1,0,0,1,4,0,1,1
2018-04-07,2017-2018,La Liga,Sevilla,Celta Vigo,Away,0,4,L,Sandro Ramírez,Y,AM,90,0,0,4,2,0,0,2,1,1,1,1
2018-04-14,2017-2018,La Liga,Sevilla,Villarreal,Home,2,2,D,Sandro Ramírez,Y,AM,84,0,1,2,0,0,0,1,4,0,5,2
2018-04-17,2017-2018,La Liga,Sevilla,Dep La Coruña,Away,0,0,D,Sandro Ramírez,Y,AM,75,0,0,3,2,0,0,1,1,1,6,0
