Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-08-25,2018-2019,La Liga,Rayo Vallecano,Atlético Madrid,Away,0,1,L,Santi Comesaña,Y,AM,68,0,0,0,0,0,0,0,0,0,1,2
2018-09-25,2018-2019,La Liga,Rayo Vallecano,Real Sociedad,Away,2,2,D,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,1,0,0,2,3
2018-09-28,2018-2019,La Liga,Rayo Vallecano,Espanyol,Home,2,2,D,Santi Comesaña,Y,DM,90,0,0,1,0,1,0,2,1,0,1,1
2018-10-06,2018-2019,La Liga,Rayo Vallecano,Leganés,Away,0,1,L,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,3,0,0,3,3
2018-10-21,2018-2019,La Liga,Rayo Vallecano,Getafe,Home,1,2,L,Santi Comesaña,Y,DM,90,0,0,1,0,1,0,2,4,0,2,0
2018-10-24,2018-2019,La Liga,Rayo Vallecano,Athletic Club,Home,1,1,D,Santi Comesaña,Y,DM,90,0,0,1,0,0,0,4,1,0,1,3
2018-10-27,2018-2019,La Liga,Rayo Vallecano,Girona,Away,1,2,L,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,1,1,0,1,1
2018-11-03,2018-2019,La Liga,Rayo Vallecano,Barcelona,Home,2,3,L,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,0,0,0,1,2
2018-11-11,2018-2019,La Liga,Rayo Vallecano,Villarreal,Home,2,2,D,Santi Comesaña,Y,DM,90,0,0,1,0,0,0,0,0,0,1,2
2018-11-24,2018-2019,La Liga,Rayo Vallecano,Valencia,Away,0,3,L,Santi Comesaña,Y,DM,90,0,0,0,0,1,0,3,2,0,1,1
2018-11-30,2018-2019,La Liga,Rayo Vallecano,Eibar,Home,1,0,W,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,1,3,0,2,3
2018-12-09,2018-2019,La Liga,Rayo Vallecano,Real Betis,Away,0,2,L,Santi Comesaña,Y,DM,59,0,0,0,0,1,0,2,0,0,0,1
2018-12-15,2018-2019,La Liga,Rayo Vallecano,Real Madrid,Away,0,1,L,Santi Comesaña,Y,AM,90,0,0,1,0,0,0,0,4,0,2,2
2018-12-23,2018-2019,La Liga,Rayo Vallecano,Levante,Home,2,1,W,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,2,0,0,2,1
2019-01-05,2018-2019,La Liga,Rayo Vallecano,Valladolid,Away,1,0,W,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,0,1,0,3,1
2019-01-11,2018-2019,La Liga,Rayo Vallecano,Celta Vigo,Home,4,2,W,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,0,1,0,4,0
2019-01-20,2018-2019,La Liga,Rayo Vallecano,Real Sociedad,Home,2,2,D,Santi Comesaña,Y,CM,90,1,0,2,1,0,0,0,1,0,0,1
2019-01-28,2018-2019,La Liga,Rayo Vallecano,Alavés,Away,1,0,W,Santi Comesaña,Y,DM,90,0,0,0,0,1,0,3,1,0,1,0
2019-02-09,2018-2019,La Liga,Rayo Vallecano,Espanyol,Away,1,2,L,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,1,2,2,1,0
2019-02-16,2018-2019,La Liga,Rayo Vallecano,Atlético Madrid,Home,0,1,L,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,1,2,0,3,2
2019-02-23,2018-2019,La Liga,Rayo Vallecano,Getafe,Away,1,2,L,Santi Comesaña,Y,CM,90,0,1,0,0,0,0,0,1,0,1,0
2019-03-01,2018-2019,La Liga,Rayo Vallecano,Girona,Home,0,2,L,Santi Comesaña,Y,DM,90,0,0,0,0,1,0,2,2,1,0,1
2019-03-09,2018-2019,La Liga,Rayo Vallecano,Barcelona,Away,1,3,L,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,0,1,0,1,0
2019-03-31,2018-2019,La Liga,Rayo Vallecano,Real Betis,Home,1,1,D,Santi Comesaña,N,DM,11,0,0,1,0,0,0,0,0,1,0,0
2019-05-12,2018-2019,La Liga,Rayo Vallecano,Valladolid,Home,1,2,L,Santi Comesaña,N,DM,4,0,0,0,0,0,0,0,0,0,0,1
2021-08-15,2021-2022,La Liga,Rayo Vallecano,Sevilla,Away,0,3,L,Santi Comesaña,Y,DM,60,0,0,0,0,0,0,0,0,0,2,0
2021-08-22,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Away,0,1,L,Santi Comesaña,Y,DM,86,0,0,1,0,1,0,1,1,0,3,1
2021-08-29,2021-2022,La Liga,Rayo Vallecano,Granada,Home,4,0,W,Santi Comesaña,Y,DM,90,1,0,4,2,0,0,2,2,1,1,2
2021-09-11,2021-2022,La Liga,Rayo Vallecano,Levante,Away,1,1,D,Santi Comesaña,Y,DM,90,0,0,3,0,1,0,3,1,0,2,2
2021-09-18,2021-2022,La Liga,Rayo Vallecano,Getafe,Home,3,0,W,Santi Comesaña,Y,DM,88,0,0,0,0,1,0,2,1,0,0,1
2021-09-21,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Away,2,1,W,Santi Comesaña,Y,DM,90,0,0,1,0,0,0,3,1,0,0,3
2021-09-26,2021-2022,La Liga,Rayo Vallecano,Cádiz,Home,3,1,W,Santi Comesaña,N,DM,27,0,0,1,0,0,0,0,0,0,0,0
2021-10-02,2021-2022,La Liga,Rayo Vallecano,Osasuna,Away,0,1,L,Santi Comesaña,Y,CM,87,0,0,0,0,0,0,1,4,0,2,0
2021-10-17,2021-2022,La Liga,Rayo Vallecano,Elche,Home,2,1,W,Santi Comesaña,Y,DM,83,0,1,0,0,0,0,3,1,2,0,1
2021-10-24,2021-2022,La Liga,Rayo Vallecano,Real Betis,Away,2,3,L,Santi Comesaña,N,DM,45,0,0,0,0,0,0,0,2,0,2,0
2021-10-27,2021-2022,La Liga,Rayo Vallecano,Barcelona,Home,1,0,W,Santi Comesaña,Y,DM,62,0,0,0,0,0,0,2,3,0,4,1
2021-11-01,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,2,1,0,2,0
2021-11-06,2021-2022,La Liga,Rayo Vallecano,Real Madrid,Away,1,2,L,Santi Comesaña,Y,DM,90,0,0,0,0,1,0,5,0,0,2,1
2021-11-22,2021-2022,La Liga,Rayo Vallecano,Mallorca,Home,3,1,W,Santi Comesaña,Y,DM,72,0,1,1,0,0,0,1,2,0,2,1
2021-11-27,2021-2022,La Liga,Rayo Vallecano,Valencia,Away,1,1,D,Santi Comesaña,Y,DM,90,0,0,2,1,1,0,2,2,1,2,2
2021-12-12,2021-2022,La Liga,Rayo Vallecano,Villarreal,Away,0,2,L,Santi Comesaña,Y,DM,64,0,0,0,0,0,0,1,2,0,0,0
2021-12-18,2021-2022,La Liga,Rayo Vallecano,Alavés,Home,2,0,W,Santi Comesaña,Y,DM,86,0,0,3,0,0,0,1,3,0,2,0
2022-01-02,2021-2022,La Liga,Rayo Vallecano,Atlético Madrid,Away,0,2,L,Santi Comesaña,Y,DM,75,0,0,0,0,0,0,0,3,0,1,0
2022-01-09,2021-2022,La Liga,Rayo Vallecano,Real Betis,Home,1,1,D,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,3,2,1,2,3
2022-01-23,2021-2022,La Liga,Rayo Vallecano,Athletic Club,Home,0,1,L,Santi Comesaña,Y,DM,90,0,0,5,0,0,0,2,6,2,3,1
2022-02-05,2021-2022,La Liga,Rayo Vallecano,Celta Vigo,Away,0,2,L,Santi Comesaña,Y,AM,90,0,0,0,0,0,0,4,5,0,2,1
2022-02-12,2021-2022,La Liga,Rayo Vallecano,Osasuna,Home,0,3,L,Santi Comesaña,Y,DM,80,0,0,0,0,0,0,0,1,0,2,1
2022-02-18,2021-2022,La Liga,Rayo Vallecano,Elche,Away,1,2,L,Santi Comesaña,Y,DM,79,0,0,0,0,1,0,1,0,0,2,0
2022-02-26,2021-2022,La Liga,Rayo Vallecano,Real Madrid,Home,0,1,L,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,2,0,0,1,0
2022-03-06,2021-2022,La Liga,Rayo Vallecano,Cádiz,Away,0,2,L,Santi Comesaña,Y,AM,90,0,0,0,0,0,0,1,3,1,0,1
2022-03-13,2021-2022,La Liga,Rayo Vallecano,Sevilla,Home,1,1,D,Santi Comesaña,Y,DM,90,0,0,1,1,0,0,0,1,0,4,1
2022-03-19,2021-2022,La Liga,Rayo Vallecano,Atlético Madrid,Home,0,1,L,Santi Comesaña,Y,DM,61,0,0,0,0,1,0,2,1,0,0,1
2022-04-03,2021-2022,La Liga,Rayo Vallecano,Granada,Away,2,2,D,Santi Comesaña,Y,DM,50,0,0,0,0,2,1,3,0,1,4,1
2022-04-16,2021-2022,La Liga,Rayo Vallecano,Alavés,Away,0,1,L,Santi Comesaña,Y,DM,73,0,0,2,0,0,0,2,2,2,4,0
2022-04-21,2021-2022,La Liga,Rayo Vallecano,Espanyol,Away,1,0,W,Santi Comesaña,Y,DM,73,0,0,2,0,1,0,3,2,0,1,1
2022-04-24,2021-2022,La Liga,Rayo Vallecano,Barcelona,Away,1,0,W,Santi Comesaña,Y,DM,55,0,0,0,0,1,0,1,1,0,3,0
2022-05-01,2021-2022,La Liga,Rayo Vallecano,Real Sociedad,Home,1,1,D,Santi Comesaña,Y,DM,90,0,0,1,0,0,0,1,1,0,1,3
2022-05-08,2021-2022,La Liga,Rayo Vallecano,Getafe,Away,0,0,D,Santi Comesaña,Y,DM,87,0,0,1,0,0,0,5,2,0,1,2
2022-05-12,2021-2022,La Liga,Rayo Vallecano,Villarreal,Home,1,5,L,Santi Comesaña,Y,AM,89,0,0,1,0,0,0,1,0,0,0,0
2022-05-20,2021-2022,La Liga,Rayo Vallecano,Levante,Home,2,4,L,Santi Comesaña,N,DM,30,0,0,3,1,0,0,0,0,0,2,0
2022-08-27,2022-2023,La Liga,Rayo Vallecano,Mallorca,Home,0,2,L,Santi Comesaña,N,DM,34,0,0,2,0,0,0,1,1,0,0,0
2022-09-04,2022-2023,La Liga,Rayo Vallecano,Osasuna,Away,1,2,L,Santi Comesaña,N,DM,19,0,0,1,0,0,0,0,0,0,0,1
2022-09-10,2022-2023,La Liga,Rayo Vallecano,Valencia,Home,2,1,W,Santi Comesaña,Y,DM,68,0,0,0,0,1,0,3,0,0,1,2
2022-09-17,2022-2023,La Liga,Rayo Vallecano,Athletic Club,Away,2,3,L,Santi Comesaña,Y,DM,68,0,0,0,0,0,0,2,1,0,1,1
2022-10-03,2022-2023,La Liga,Rayo Vallecano,Elche,Home,2,1,W,Santi Comesaña,Y,DM,62,0,0,2,0,0,0,0,0,2,3,0
2022-10-08,2022-2023,La Liga,Rayo Vallecano,Almería,Away,1,3,L,Santi Comesaña,N,DM,45,0,0,1,0,0,0,1,4,1,3,1
2022-10-14,2022-2023,La Liga,Rayo Vallecano,Getafe,Home,0,0,D,Santi Comesaña,Y,DM,71,0,0,1,0,0,0,2,0,0,1,1
2022-10-18,2022-2023,La Liga,Rayo Vallecano,Atlético Madrid,Away,1,1,D,Santi Comesaña,N,DM,45,0,0,0,0,0,0,0,1,1,0,1
2022-10-22,2022-2023,La Liga,Rayo Vallecano,Cádiz,Home,5,1,W,Santi Comesaña,Y,CM,80,0,0,2,1,0,0,0,0,0,2,2
2022-10-29,2022-2023,La Liga,Rayo Vallecano,Sevilla,Away,1,0,W,Santi Comesaña,Y,DM,89,0,0,0,0,0,0,3,1,0,1,1
2022-11-07,2022-2023,La Liga,Rayo Vallecano,Real Madrid,Home,3,2,W,Santi Comesaña,Y,DM,78,1,0,2,1,0,0,3,2,1,2,1
2022-11-10,2022-2023,La Liga,Rayo Vallecano,Celta Vigo,Home,0,0,D,Santi Comesaña,Y,DM,69,0,0,1,0,1,0,2,0,0,2,0
2022-12-29,2022-2023,La Liga,Rayo Vallecano,Girona,Away,2,2,D,Santi Comesaña,Y,DM,78,0,0,0,0,0,0,2,2,0,2,0
2023-01-08,2022-2023,La Liga,Rayo Vallecano,Real Betis,Home,1,2,L,Santi Comesaña,N,DM,29,0,0,0,0,0,0,0,0,0,0,0
2023-01-14,2022-2023,La Liga,Rayo Vallecano,Valladolid,Away,1,0,W,Santi Comesaña,Y,DM,75,0,0,0,0,0,0,1,0,0,4,1
2023-01-21,2022-2023,La Liga,Rayo Vallecano,Real Sociedad,Home,0,2,L,Santi Comesaña,N,DM,45,0,0,0,0,0,0,1,0,0,1,0
2023-01-30,2022-2023,La Liga,Rayo Vallecano,Villarreal,Away,1,0,W,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,2,1,0,1,3
2023-02-06,2022-2023,La Liga,Rayo Vallecano,Almería,Home,2,0,W,Santi Comesaña,Y,DM,71,0,0,0,0,0,0,1,1,0,1,2
2023-02-12,2022-2023,La Liga,Rayo Vallecano,Getafe,Away,1,1,D,Santi Comesaña,Y,DM,67,0,0,2,0,1,0,2,1,2,0,0
2023-02-19,2022-2023,La Liga,Rayo Vallecano,Sevilla,Home,1,1,D,Santi Comesaña,Y,AM,88,0,0,0,0,0,0,3,0,0,2,0
2023-02-25,2022-2023,La Liga,Rayo Vallecano,Cádiz,Away,0,1,L,Santi Comesaña,Y,CM,51,0,0,0,0,0,0,1,0,1,1,1
2023-03-05,2022-2023,La Liga,Rayo Vallecano,Athletic Club,Home,0,0,D,Santi Comesaña,Y,DM,90,0,0,1,0,0,0,2,2,0,2,0
2023-03-11,2022-2023,La Liga,Rayo Vallecano,Celta Vigo,Away,0,3,L,Santi Comesaña,Y,DM,58,0,0,0,0,1,0,2,1,0,1,1
2023-03-18,2022-2023,La Liga,Rayo Vallecano,Girona,Home,2,2,D,Santi Comesaña,Y,DM,78,0,0,1,0,0,0,2,2,0,1,0
2023-04-03,2022-2023,La Liga,Rayo Vallecano,Valencia,Away,1,1,D,Santi Comesaña,Y,DM,90,1,0,1,1,0,0,1,1,1,2,0
2023-04-09,2022-2023,La Liga,Rayo Vallecano,Atlético Madrid,Home,1,2,L,Santi Comesaña,Y,DM,90,0,1,2,0,0,0,1,0,0,0,1
2023-04-14,2022-2023,La Liga,Rayo Vallecano,Osasuna,Home,2,1,W,Santi Comesaña,Y,DM,74,0,0,0,0,0,0,1,0,0,0,1
2023-04-22,2022-2023,La Liga,Rayo Vallecano,Real Sociedad,Away,1,2,L,Santi Comesaña,Y,DM,78,0,0,0,0,1,0,2,2,0,3,2
2023-04-29,2022-2023,La Liga,Rayo Vallecano,Elche,Away,0,4,L,Santi Comesaña,Y,DM,90,0,0,0,0,0,0,1,2,0,2,1
2023-05-04,2022-2023,La Liga,Rayo Vallecano,Valladolid,Home,2,1,W,Santi Comesaña,Y,DM,80,0,0,1,1,0,0,2,2,2,1,2
2023-05-15,2022-2023,La Liga,Rayo Vallecano,Real Betis,Away,1,3,L,Santi Comesaña,Y,DM,75,1,0,1,1,0,0,1,1,1,1,1
2023-05-21,2022-2023,La Liga,Rayo Vallecano,Espanyol,Home,1,2,L,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,0,0,2,0,2
2023-05-24,2022-2023,La Liga,Rayo Vallecano,Real Madrid,Away,1,2,L,Santi Comesaña,Y,DM,62,0,0,1,1,1,0,3,0,1,0,2
2023-05-28,2022-2023,La Liga,Rayo Vallecano,Villarreal,Home,2,1,W,Santi Comesaña,Y,DM,84,0,1,1,0,0,0,0,0,1,1,0
2023-06-04,2022-2023,La Liga,Rayo Vallecano,Mallorca,Away,0,3,L,Santi Comesaña,Y,DM,90,0,0,2,1,0,0,1,1,0,3,2
2023-08-13,2023-2024,La Liga,Villarreal,Real Betis,Home,1,2,L,Santi Comesaña,Y,CM,56,0,0,1,0,0,0,2,0,0,2,2
2023-08-18,2023-2024,La Liga,Villarreal,Mallorca,Away,1,0,W,Santi Comesaña,N,CM,13,0,0,0,0,1,0,2,0,0,0,0
2023-08-27,2023-2024,La Liga,Villarreal,Barcelona,Home,3,4,L,Santi Comesaña,N,CM,21,0,0,0,0,0,0,2,1,0,0,1
2023-09-01,2023-2024,La Liga,Villarreal,Cádiz,Away,1,3,L,Santi Comesaña,N,CM,23,0,0,0,0,1,0,1,0,0,0,0
2023-09-17,2023-2024,La Liga,Villarreal,Almería,Home,2,1,W,Santi Comesaña,N,CM,29,0,0,0,0,0,0,0,0,1,0,0
2023-09-24,2023-2024,La Liga,Villarreal,Rayo Vallecano,Away,1,1,D,Santi Comesaña,Y,CM,75,0,0,2,1,1,0,3,2,1,1,2
2023-10-22,2023-2024,La Liga,Villarreal,Alavés,Home,1,1,D,Santi Comesaña,Y,AM,73,0,0,1,0,1,0,2,1,0,3,0
2023-10-30,2023-2024,La Liga,Villarreal,Granada,Away,3,2,W,Santi Comesaña,N,CM,7,0,0,0,0,0,0,0,1,0,0,0
2023-11-26,2023-2024,La Liga,Villarreal,Osasuna,Home,3,1,W,Santi Comesaña,N,CM,23,0,0,0,0,0,0,0,0,0,0,0
2023-12-03,2023-2024,La Liga,Villarreal,Sevilla,Away,1,1,D,Santi Comesaña,Y,CM,70,0,0,0,0,0,0,0,0,0,0,0
2023-12-20,2023-2024,La Liga,Villarreal,Celta Vigo,Home,3,2,W,Santi Comesaña,Y,CM,90,0,0,1,0,1,0,1,0,0,1,2
2024-01-13,2023-2024,La Liga,Villarreal,Las Palmas,Away,0,3,L,Santi Comesaña,Y,CM,67,0,0,1,0,0,0,0,1,1,0,1
2024-01-20,2023-2024,La Liga,Villarreal,Mallorca,Home,1,1,D,Santi Comesaña,Y,CM,90,0,0,1,0,0,0,3,2,0,0,1
2024-01-27,2023-2024,La Liga,Villarreal,Barcelona,Away,5,3,W,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,1,3,0,2,3
2024-02-04,2023-2024,La Liga,Villarreal,Cádiz,Home,0,0,D,Santi Comesaña,Y,CM,69,0,0,1,1,1,0,3,1,0,2,1
2024-02-10,2023-2024,La Liga,Villarreal,Alavés,Away,1,1,D,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,0,0,1,0,2
2024-02-16,2023-2024,La Liga,Villarreal,Getafe,Home,1,1,D,Santi Comesaña,Y,CM,70,0,0,2,1,0,0,1,3,0,0,1
2024-02-23,2023-2024,La Liga,Villarreal,Real Sociedad,Away,3,1,W,Santi Comesaña,Y,CM,90,2,0,2,2,0,0,1,2,0,3,1
2024-03-10,2023-2024,La Liga,Villarreal,Real Betis,Away,3,2,W,Santi Comesaña,Y,CM,80,0,0,0,0,0,0,3,1,0,1,1
2024-03-17,2023-2024,La Liga,Villarreal,Valencia,Home,1,0,W,Santi Comesaña,Y,CM,90,0,0,2,1,0,0,1,0,0,1,0
2024-04-01,2023-2024,La Liga,Villarreal,Atlético Madrid,Home,1,2,L,Santi Comesaña,N,CM,26,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,2023-2024,La Liga,Villarreal,Athletic Club,Away,1,1,D,Santi Comesaña,Y,CM,45,0,0,0,0,2,1,2,1,0,0,1
2024-04-28,2023-2024,La Liga,Villarreal,Rayo Vallecano,Home,3,0,W,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,1,0,0,0,1
2024-05-05,2023-2024,La Liga,Villarreal,Celta Vigo,Away,2,3,L,Santi Comesaña,Y,CM,16,0,0,0,0,1,0,1,0,0,1,0
2024-05-14,2023-2024,La Liga,Villarreal,Girona,Away,1,0,W,Santi Comesaña,Y,CM,80,0,0,0,0,0,0,0,0,1,3,2
2024-05-19,2023-2024,La Liga,Villarreal,Real Madrid,Home,4,4,D,Santi Comesaña,Y,CM,90,0,0,2,1,0,0,2,2,0,2,0
2024-05-25,2023-2024,La Liga,Villarreal,Osasuna,Away,1,1,D,Santi Comesaña,Y,CM,90,0,0,1,0,0,0,1,1,0,1,0
2024-08-19,2024-2025,La Liga,Villarreal,Atlético Madrid,Home,2,2,D,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,0,0,1,1,0
2024-08-23,2024-2025,La Liga,Villarreal,Sevilla,Away,2,1,W,Santi Comesaña,Y,CM,72,0,0,0,0,0,0,1,1,0,0,1
2024-08-26,2024-2025,La Liga,Villarreal,Celta Vigo,Home,4,3,W,Santi Comesaña,Y,CM,90,0,0,2,0,0,0,1,0,0,2,2
2024-08-31,2024-2025,La Liga,Villarreal,Valencia,Away,1,1,D,Santi Comesaña,Y,LM,90,0,1,1,0,0,0,0,2,1,0,0
2024-09-14,2024-2025,La Liga,Villarreal,Mallorca,Away,2,1,W,Santi Comesaña,Y,CM,84,0,0,1,0,1,0,1,2,1,2,1
2024-09-22,2024-2025,La Liga,Villarreal,Barcelona,Home,1,5,L,Santi Comesaña,Y,CM,77,0,0,0,0,0,0,1,0,0,4,3
2024-09-26,2024-2025,La Liga,Villarreal,Espanyol,Away,2,1,W,Santi Comesaña,Y,CM,65,0,0,0,0,0,0,1,0,0,1,0
2024-09-30,2024-2025,La Liga,Villarreal,Las Palmas,Home,3,1,W,Santi Comesaña,N,CM,14,0,1,0,0,0,0,0,1,0,1,1
2024-10-05,2024-2025,La Liga,Villarreal,Real Madrid,Away,0,2,L,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,5,1,0,1,1
2024-10-20,2024-2025,La Liga,Villarreal,Getafe,Home,1,1,D,Santi Comesaña,Y,DM,90,1,0,1,1,0,0,3,2,0,5,0
2024-10-26,2024-2025,La Liga,Villarreal,Valladolid,Away,2,1,W,Santi Comesaña,Y,CM,70,0,0,2,0,1,0,2,2,0,0,0
2024-11-09,2024-2025,La Liga,Villarreal,Alavés,Home,3,0,W,Santi Comesaña,N,CM,18,1,0,1,1,0,0,2,0,0,0,0
2024-11-24,2024-2025,La Liga,Villarreal,Osasuna,Away,2,2,D,Santi Comesaña,Y,CM,71,0,0,0,0,1,0,2,1,1,2,0
2024-12-01,2024-2025,La Liga,Villarreal,Girona,Home,2,2,D,Santi Comesaña,Y,CM,90,0,0,1,0,0,0,1,1,0,1,1
2024-12-08,2024-2025,La Liga,Villarreal,Athletic Club,Away,0,2,L,Santi Comesaña,Y,CM,90,0,0,1,0,1,0,2,2,1,3,1
2024-12-18,2024-2025,La Liga,Villarreal,Rayo Vallecano,Home,1,1,D,Santi Comesaña,Y,CM,90,0,0,1,0,0,0,0,0,0,2,2
2024-12-22,2024-2025,La Liga,Villarreal,Leganés,Away,5,2,W,Santi Comesaña,Y,CM,75,0,0,0,0,0,0,1,0,0,0,0
2025-01-13,2024-2025,La Liga,Villarreal,Real Sociedad,Away,0,1,L,Santi Comesaña,Y,CM,60,0,0,0,0,0,0,0,0,0,1,0
2025-01-25,2024-2025,La Liga,Villarreal,Atlético Madrid,Away,1,1,D,Santi Comesaña,Y,CM,90,0,0,2,0,0,0,1,1,0,2,1
2025-02-01,2024-2025,La Liga,Villarreal,Valladolid,Home,5,1,W,Santi Comesaña,Y,CM,90,1,0,3,2,0,0,0,0,0,1,0
2025-02-08,2024-2025,La Liga,Villarreal,Las Palmas,Away,2,1,W,Santi Comesaña,Y,CM,45,0,0,0,0,1,0,1,0,0,0,0
2025-02-15,2024-2025,La Liga,Villarreal,Valencia,Home,1,1,D,Santi Comesaña,N,CM,25,0,0,2,0,0,0,0,1,0,0,0
2025-02-22,2024-2025,La Liga,Villarreal,Rayo Vallecano,Away,1,0,W,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,2,2,1,0,1
2025-03-08,2024-2025,La Liga,Villarreal,Alavés,Away,0,1,L,Santi Comesaña,N,CM,6,0,0,2,0,0,0,0,0,0,0,0
2025-03-15,2024-2025,La Liga,Villarreal,Real Madrid,Home,1,2,L,Santi Comesaña,Y,CM,78,0,0,2,1,0,0,1,0,3,3,0
2025-03-30,2024-2025,La Liga,Villarreal,Getafe,Away,2,1,W,Santi Comesaña,Y,CM,90,0,0,3,0,1,0,4,1,0,2,0
2025-04-06,2024-2025,La Liga,Villarreal,Athletic Club,Home,0,0,D,Santi Comesaña,Y,CM,90,0,0,0,0,0,0,1,2,2,6,2
2025-04-13,2024-2025,La Liga,Villarreal,Real Betis,Away,2,1,W,Santi Comesaña,Y,CM,90,0,0,1,0,0,0,2,0,1,1,1
2025-04-20,2024-2025,La Liga,Villarreal,Real Sociedad,Home,2,2,D,Santi Comesaña,Y,CM,90,0,0,3,0,0,0,0,0,2,0,0
2025-04-23,2024-2025,La Liga,Villarreal,Celta Vigo,Away,0,3,L,Santi Comesaña,Y,CM,63,0,0,2,0,0,0,0,3,1,2,0
2025-04-27,2024-2025,La Liga,Villarreal,Espanyol,Home,1,0,W,Santi Comesaña,Y,CM,90,0,0,4,2,0,0,1,2,0,1,1
2025-05-03,2024-2025,La Liga,Villarreal,Osasuna,Home,4,2,W,Santi Comesaña,Y,CM,90,0,0,1,0,1,0,0,0,0,2,0
2025-05-10,2024-2025,La Liga,Villarreal,Girona,Away,1,0,W,Santi Comesaña,Y,DM,90,0,0,1,0,0,0,1,0,0,1,2
2025-05-14,2024-2025,La Liga,Villarreal,Leganés,Home,3,0,W,Santi Comesaña,N,CM,27,0,0,0,0,0,0,0,0,0,0,0
2025-05-18,2024-2025,La Liga,Villarreal,Barcelona,Away,3,2,W,Santi Comesaña,Y,CM,90,1,0,2,1,0,0,0,0,0,2,0
