Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-09-14,2024-25,La Liga,Alavés,Espanyol,Away,2,3,L,Santiago Mouriño,N,-,27,0,0,1,1,0,0,0,0,1,2,0
2024-09-20,2024-25,La Liga,Alavés,Sevilla,Home,2,1,W,Santiago Mouriño,N,-,2,0,0,0,0,0,0,0,0,0,1,0
2024-09-24,2024-25,La Liga,Alavés,Real Madrid,Away,2,3,L,Santiago Mouriño,Y,RB,90,0,0,0,0,0,0,1,0,1,4,3
2024-09-28,2024-25,La Liga,Alavés,Getafe,Away,0,2,L,Santiago Mouriño,N,-,36,0,0,0,0,0,0,1,0,0,1,1
2024-10-06,2024-25,La Liga,Alavés,Barcelona,Home,0,3,L,Santiago Mouriño,Y,CB,90,0,0,0,0,1,0,0,1,0,1,0
2024-10-26,2024-25,La Liga,Alavés,Rayo Vallecano,Away,0,1,L,Santiago Mouriño,Y,RB,32,0,0,0,0,0,0,1,0,0,0,0
2024-11-23,2024-25,La Liga,Alavés,Atlético Madrid,Away,1,2,L,Santiago Mouriño,Y,CB,84,0,0,1,0,0,0,0,0,0,0,4
2024-11-30,2024-25,La Liga,Alavés,Leganés,Home,1,1,D,Santiago Mouriño,Y,CB,90,0,0,1,1,0,0,2,0,0,1,0
2024-12-08,2024-25,La Liga,Alavés,Osasuna,Away,2,2,D,Santiago Mouriño,Y,CB,90,0,0,0,0,0,0,3,2,0,2,0
2024-12-15,2024-25,La Liga,Alavés,Athletic Club,Home,1,1,D,Santiago Mouriño,Y,CB,90,0,0,0,0,0,0,1,3,0,0,2
2025-01-18,2024-25,La Liga,Alavés,Real Betis,Away,3,1,W,Santiago Mouriño,N,-,3,0,0,0,0,0,0,1,0,0,0,0
2025-02-02,2024-25,La Liga,Alavés,Barcelona,Away,0,1,L,Santiago Mouriño,Y,CB,90,0,0,0,0,0,0,1,0,1,1,0
2025-02-15,2024-25,La Liga,Alavés,Leganés,Away,3,3,D,Santiago Mouriño,N,-,45,0,0,1,0,1,0,1,0,0,0,1
2025-02-22,2024-25,La Liga,Alavés,Espanyol,Home,0,1,L,Santiago Mouriño,Y,CB,90,0,0,2,0,0,0,3,4,0,0,2
2025-03-02,2024-25,La Liga,Alavés,Mallorca,Away,1,1,D,Santiago Mouriño,Y,CB,90,0,0,0,0,1,0,4,1,0,2,4
2025-03-08,2024-25,La Liga,Alavés,Villarreal,Home,1,0,W,Santiago Mouriño,Y,CB,90,0,0,0,0,0,0,1,1,0,1,1
2025-03-14,2024-25,La Liga,Alavés,Las Palmas,Away,2,2,D,Santiago Mouriño,Y,CB,90,0,1,0,0,0,0,1,0,0,1,0
2025-03-29,2024-25,La Liga,Alavés,Rayo Vallecano,Home,0,2,L,Santiago Mouriño,Y,CB,90,0,0,2,1,1,0,0,0,0,2,1
2025-04-05,2024-25,La Liga,Alavés,Girona,Away,1,0,W,Santiago Mouriño,Y,RB,90,0,0,1,1,0,0,4,1,0,2,0
2025-04-13,2024-25,La Liga,Alavés,Real Madrid,Home,0,1,L,Santiago Mouriño,Y,CB,90,0,0,1,0,1,0,2,1,0,2,2
2025-04-23,2024-25,La Liga,Alavés,Real Sociedad,Home,1,0,W,Santiago Mouriño,Y,CB,90,0,0,1,0,0,0,0,0,0,1,1
2025-05-03,2024-25,La Liga,Alavés,Atlético Madrid,Home,0,0,D,Santiago Mouriño,Y,CB,90,0,0,0,0,1,0,1,2,0,2,1
2025-05-11,2024-25,La Liga,Alavés,Athletic Club,Away,0,1,L,Santiago Mouriño,Y,RB,90,0,0,0,0,0,0,2,2,1,3,1
2025-05-14,2024-25,La Liga,Alavés,Valencia,Home,1,0,W,Santiago Mouriño,Y,CB,90,0,0,1,0,1,0,1,3,0,0,1
2025-05-18,2024-25,La Liga,Alavés,Valladolid,Away,1,0,W,Santiago Mouriño,Y,CB,90,0,0,1,0,0,0,1,0,0,0,1
