Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2022-08-06,2022-23,Premier League,Nottingham Forest,Newcastle United,Away,0,2,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,0,0,0,1
2022-08-14,2022-23,Premier League,Nottingham Forest,West Ham United,Home,1,0,W,Scott McKenna,Y,CB,90,0,0,0,0,1,0,2,0,0,0,0
2022-08-20,2022-23,Premier League,Nottingham Forest,Everton,Away,1,1,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2022-08-28,2022-23,Premier League,Nottingham Forest,Tottenham Hotspur,Home,0,2,L,Scott McKenna,Y,CB,90,0,0,0,0,1,0,1,0,1,2,0
2022-08-31,2022-23,Premier League,Nottingham Forest,Manchester City,Away,0,6,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,2
2022-09-03,2022-23,Premier League,Nottingham Forest,Bournemouth,Home,2,3,L,Scott McKenna,Y,CB,90,0,0,0,0,1,0,0,0,0,1,1
2022-09-16,2022-23,Premier League,Nottingham Forest,Fulham,Home,2,3,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2022-10-03,2022-23,Premier League,Nottingham Forest,Leicester City,Away,0,4,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2022-10-10,2022-23,Premier League,Nottingham Forest,Aston Villa,Home,1,1,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2022-10-15,2022-23,Premier League,Nottingham Forest,Wolves,Away,1,0,W,Scott McKenna,Y,CB,90,0,0,1,0,1,0,1,0,0,1,0
2022-10-18,2022-23,Premier League,Nottingham Forest,Brighton,Away,0,0,D,Scott McKenna,Y,CB,90,0,0,1,0,0,0,1,0,0,0,1
2022-10-22,2022-23,Premier League,Nottingham Forest,Liverpool,Home,1,0,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,1,0,1
2022-10-30,2022-23,Premier League,Nottingham Forest,Arsenal,Away,0,5,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2022-11-05,2022-23,Premier League,Nottingham Forest,Brentford,Home,2,2,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2023-01-14,2022-23,Premier League,Nottingham Forest,Leicester City,Home,2,0,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,1
2023-01-21,2022-23,Premier League,Nottingham Forest,Bournemouth,Away,1,1,D,Scott McKenna,N,CB,16,0,0,0,0,0,0,1,0,0,0,0
2023-02-05,2022-23,Premier League,Nottingham Forest,Leeds United,Home,1,0,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2023-02-11,2022-23,Premier League,Nottingham Forest,Fulham,Away,0,2,L,Scott McKenna,Y,CB,6,0,0,0,0,0,0,0,0,0,0,0
2023-04-16,2022-23,Premier League,Nottingham Forest,Manchester United,Home,0,2,L,Scott McKenna,Y,CB,80,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,2022-23,Premier League,Nottingham Forest,Liverpool,Away,2,3,L,Scott McKenna,Y,CB,29,0,0,0,0,0,0,0,0,0,0,1
2023-08-12,2023-24,Premier League,Nottingham Forest,Arsenal,Away,1,2,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,1,0,0,1
2023-08-18,2023-24,Premier League,Nottingham Forest,Sheffield United,Home,2,1,W,Scott McKenna,Y,CB,90,0,0,1,0,0,0,1,0,0,1,0
2023-08-26,2023-24,Premier League,Nottingham Forest,Manchester United,Away,2,3,L,Scott McKenna,Y,CB,56,0,0,0,0,0,0,0,0,0,1,0
2023-09-02,2023-24,Premier League,Nottingham Forest,Chelsea,Away,1,0,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,1,0,0,0
2023-09-18,2023-24,Premier League,Nottingham Forest,Burnley,Home,1,1,D,Scott McKenna,Y,CB,90,0,0,1,0,0,0,1,0,0,1,0
2024-08-16,2024-25,La Liga,Las Palmas,Sevilla,Home,2,2,D,Scott McKenna,N,N/A,22,0,0,0,0,0,0,0,0,0,0,0
2024-08-25,2024-25,La Liga,Las Palmas,Leganés,Away,1,2,L,Scott McKenna,Y,CB,90,0,0,1,0,0,0,0,0,0,0,0
2024-08-29,2024-25,La Liga,Las Palmas,Real Madrid,Home,1,1,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
2024-09-01,2024-25,La Liga,Las Palmas,Alavés,Away,0,2,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2024-09-15,2024-25,La Liga,Las Palmas,Athletic Club,Home,2,3,L,Scott McKenna,Y,CB,76,0,0,0,0,0,0,0,0,0,2,0
2024-10-21,2024-25,La Liga,Las Palmas,Valencia,Away,3,2,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,0,0,1,0
2024-10-26,2024-25,La Liga,Las Palmas,Girona,Home,1,0,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2024-11-03,2024-25,La Liga,Las Palmas,Atlético Madrid,Away,0,2,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,2,2
2024-11-08,2024-25,La Liga,Las Palmas,Rayo Vallecano,Away,3,1,W,Scott McKenna,Y,CB,90,0,0,2,0,1,0,2,0,1,0,1
2024-11-23,2024-25,La Liga,Las Palmas,Mallorca,Home,2,3,L,Scott McKenna,Y,CB,90,0,0,1,0,0,0,1,0,0,1,0
2024-11-30,2024-25,La Liga,Las Palmas,Barcelona,Away,2,1,W,Scott McKenna,Y,CB,90,0,0,1,0,0,0,1,0,0,0,1
2024-12-07,2024-25,La Liga,Las Palmas,Valladolid,Home,2,1,W,Scott McKenna,Y,CB,90,0,0,0,0,1,0,1,0,0,0,0
2024-12-15,2024-25,La Liga,Las Palmas,Real Sociedad,Away,0,0,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,2,0
2024-12-22,2024-25,La Liga,Las Palmas,Espanyol,Home,1,0,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-01-12,2024-25,La Liga,Las Palmas,Getafe,Home,1,2,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-01-19,2024-25,La Liga,Las Palmas,Real Madrid,Away,1,4,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,1
2025-01-24,2024-25,La Liga,Las Palmas,Osasuna,Home,1,1,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2025-02-03,2024-25,La Liga,Las Palmas,Girona,Away,1,2,L,Scott McKenna,Y,CB,90,0,0,0,0,1,0,1,0,0,0,0
2025-02-08,2024-25,La Liga,Las Palmas,Villarreal,Home,1,2,L,Scott McKenna,Y,CB,90,0,0,0,0,1,0,1,1,0,1,1
2025-02-16,2024-25,La Liga,Las Palmas,Mallorca,Away,1,3,L,Scott McKenna,Y,CB,90,0,0,1,0,1,0,2,0,0,0,0
2025-02-28,2024-25,La Liga,Las Palmas,Valladolid,Away,1,1,D,Scott McKenna,Y,CB,28,0,0,0,0,1,0,1,0,0,0,0
2025-03-14,2024-25,La Liga,Las Palmas,Alavés,Home,2,2,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0
2025-03-31,2024-25,La Liga,Las Palmas,Celta Vigo,Away,1,1,D,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,3,0,0,0
2025-04-06,2024-25,La Liga,Las Palmas,Real Sociedad,Home,1,3,L,Scott McKenna,Y,CB,90,0,0,0,0,0,0,1,0,0,0,0
2025-04-12,2024-25,La Liga,Las Palmas,Getafe,Away,3,1,W,Scott McKenna,Y,CB,90,0,0,0,0,0,0,0,0,0,1,0
