Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2023-09-02,2023-2024,La Liga,Real Betis,Rayo Vallecano,Home,1,0,W,Sergi Altimira,N,,1,0,0,0,0,0,0,0,0,0,0,0
2023-09-16,2023-2024,La Liga,Real Betis,Barcelona,Away,0,5,L,Sergi Altimira,Y,DM,90,0,0,1,0,0,0,2,0,0,4,1
2023-10-01,2023-2024,La Liga,Real Betis,Valencia,Home,3,0,W,Sergi Altimira,N,,3,0,0,0,0,0,0,0,0,0,0,0
2023-12-09,2023-2024,La Liga,Real Betis,Real Madrid,Home,1,1,D,Sergi Altimira,Y,DM,69,0,0,0,0,0,0,1,0,0,0,0
2023-12-17,2023-2024,La Liga,Real Betis,Real Sociedad,Away,0,0,D,Sergi Altimira,Y,DM,72,0,0,0,0,0,0,1,0,0,1,0
2023-12-21,2023-2024,La Liga,Real Betis,Girona,Home,1,1,D,Sergi Altimira,N,,25,0,0,2,0,0,0,0,0,0,1,0
2024-01-03,2023-2024,La Liga,Real Betis,Celta Vigo,Away,1,2,L,Sergi Altimira,N,,25,0,0,1,0,0,0,0,0,1,1,0
2024-01-21,2023-2024,La Liga,Real Betis,Barcelona,Home,2,4,L,Sergi Altimira,N,,18,0,0,0,0,0,0,2,0,0,0,1
2024-01-27,2023-2024,La Liga,Real Betis,Mallorca,Away,1,0,W,Sergi Altimira,Y,DM,90,1,0,2,1,0,0,1,0,0,0,3
2024-02-04,2023-2024,La Liga,Real Betis,Getafe,Home,1,1,D,Sergi Altimira,Y,DM,65,0,0,0,0,1,0,2,0,0,0,0
2024-02-09,2023-2024,La Liga,Real Betis,Cádiz,Away,2,0,W,Sergi Altimira,N,,1,0,0,0,0,0,0,1,0,0,0,0
2024-02-25,2023-2024,La Liga,Real Betis,Athletic Club,Home,3,1,W,Sergi Altimira,Y,DM,45,0,0,0,0,0,0,0,0,0,1,2
2024-05-19,2023-2024,La Liga,Real Betis,Real Sociedad,Home,0,2,L,Sergi Altimira,N,,45,0,0,1,1,0,0,2,0,0,0,1
2024-05-25,2023-2024,La Liga,Real Betis,Real Madrid,Away,0,0,D,Sergi Altimira,N,,19,0,0,0,0,0,0,0,0,0,0,0
2024-08-15,2024-2025,La Liga,Real Betis,Girona,Home,1,1,D,Sergi Altimira,N,,14,0,0,0,0,0,0,0,0,0,0,0
2024-09-13,2024-2025,La Liga,Real Betis,Leganés,Home,2,0,W,Sergi Altimira,N,,65,0,0,2,0,0,0,3,0,0,1,0
2024-09-18,2024-2025,La Liga,Real Betis,Getafe,Home,2,1,W,Sergi Altimira,Y,DM,90,0,0,0,0,0,0,2,0,0,1,1
2024-09-23,2024-2025,La Liga,Real Betis,Mallorca,Home,1,2,L,Sergi Altimira,Y,DM,80,0,1,3,0,0,0,0,0,0,1,1
2024-09-26,2024-2025,La Liga,Real Betis,Las Palmas,Away,1,1,D,Sergi Altimira,N,,27,0,0,0,0,1,0,1,0,0,0,0
2024-09-29,2024-2025,La Liga,Real Betis,Espanyol,Home,1,0,W,Sergi Altimira,Y,DM,78,0,0,2,1,1,0,2,0,0,1,0
2024-10-19,2024-2025,La Liga,Real Betis,Osasuna,Away,2,1,W,Sergi Altimira,Y,CM,67,0,0,0,0,0,0,1,0,0,0,0
2024-10-27,2024-2025,La Liga,Real Betis,Atlético Madrid,Home,1,0,W,Sergi Altimira,Y,CM,90,0,0,1,0,0,0,2,0,1,2,1
2024-11-03,2024-2025,La Liga,Real Betis,Athletic Club,Away,1,1,D,Sergi Altimira,Y,CM,45,0,0,0,0,0,0,1,0,0,1,0
2024-11-10,2024-2025,La Liga,Real Betis,Celta Vigo,Home,2,2,D,Sergi Altimira,Y,DM,90,0,0,2,0,0,0,2,0,0,4,1
2024-11-23,2024-2025,La Liga,Real Betis,Valencia,Away,2,4,L,Sergi Altimira,Y,DM,90,0,0,0,0,0,0,2,0,0,2,0
2024-12-01,2024-2025,La Liga,Real Betis,Real Sociedad,Away,0,2,L,Sergi Altimira,Y,DM,82,0,0,1,0,0,0,1,0,0,2,1
2024-12-07,2024-2025,La Liga,Real Betis,Barcelona,Home,2,2,D,Sergi Altimira,Y,DM,90,0,0,1,0,0,0,2,0,1,2,1
2024-12-15,2024-2025,La Liga,Real Betis,Villarreal,Away,2,1,W,Sergi Altimira,Y,DM,87,0,0,1,1,0,0,1,0,0,3,0
2024-12-22,2024-2025,La Liga,Real Betis,Rayo Vallecano,Home,1,1,D,Sergi Altimira,Y,DM,65,0,0,0,0,0,0,1,0,0,0,3
2025-01-11,2024-2025,La Liga,Real Betis,Valladolid,Away,0,1,L,Sergi Altimira,Y,DM,60,0,0,0,0,0,0,1,0,0,2,3
2025-01-18,2024-2025,La Liga,Real Betis,Alavés,Home,1,3,L,Sergi Altimira,N,,31,0,0,0,0,0,0,0,0,1,0,0
2025-01-25,2024-2025,La Liga,Real Betis,Mallorca,Away,1,0,W,Sergi Altimira,N,,45,0,0,1,0,0,0,0,0,0,1,0
2025-02-02,2024-2025,La Liga,Real Betis,Athletic Club,Home,2,2,D,Sergi Altimira,Y,DM,71,0,0,0,0,0,0,3,0,0,2,2
2025-02-08,2024-2025,La Liga,Real Betis,Celta Vigo,Away,2,3,L,Sergi Altimira,N,,33,0,0,0,0,0,0,0,0,0,0,0
2025-02-23,2024-2025,La Liga,Real Betis,Getafe,Away,2,1,W,Sergi Altimira,Y,DM,90,0,0,1,0,0,0,2,0,0,2,1
2025-03-01,2024-2025,La Liga,Real Betis,Real Madrid,Home,2,1,W,Sergi Altimira,Y,DM,89,0,0,1,0,1,0,2,0,0,2,1
2025-03-09,2024-2025,La Liga,Real Betis,Las Palmas,Home,1,0,W,Sergi Altimira,N,,29,0,0,1,1,0,0,0,0,1,0,0
2025-03-16,2024-2025,La Liga,Real Betis,Leganés,Away,3,2,W,Sergi Altimira,Y,DM,90,0,0,1,0,0,0,2,0,0,2,1
2025-03-30,2024-2025,La Liga,Real Betis,Sevilla,Home,2,1,W,Sergi Altimira,N,,4,0,0,0,0,0,0,0,0,0,0,0
2024-04-05,2024-2025,La Liga,Real Betis,Barcelona,Away,1,1,D,Sergi Altimira,Y,DM,45,0,0,0,0,0,0,1,0,0,1,0
2025-04-13,2024-2025,La Liga,Real Betis,Villarreal,Home,1,2,L,Sergi Altimira,N,,20,0,0,0,0,0,0,0,0,0,0,0
2025-04-21,2024-2025,La Liga,Real Betis,Girona,Away,3,1,W,Sergi Altimira,N,,2,0,0,0,0,0,0,0,0,0,0,0
2025-05-04,2024-2025,La Liga,Real Betis,Espanyol,Away,2,1,W,Sergi Altimira,Y,DM,90,0,0,2,1,0,0,1,0,0,2,2
2025-05-11,2024-2025,La Liga,Real Betis,Osasuna,Home,1,1,D,Sergi Altimira,Y,DM,78,0,0,0,0,1,0,1,0,1,0,1
2025-05-18,2024-2025,La Liga,Real Betis,Atlético Madrid,Away,1,4,L,Sergi Altimira,Y,DM,45,0,0,0,0,0,0,2,0,0,3,0
2025-05-23,2024-2025,La Liga,Real Betis,Valencia,Home,1,1,D,Sergi Altimira,Y,DM,90,0,0,1,0,0,0,1,0,0,2,2
