Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2020-10-17,2020-2021,La Liga,Celta Vigo,Atlético Madrid,Home,0,2,L,Sergio Carreira,Y,RB,83,0,0,1,0,0,0,1,0,3,0,0
2020-10-26,2020-2021,La Liga,Celta Vigo,Levante,Away,1,1,D,Sergio Carreira,Y,RB,86,1,0,1,1,0,0,0,0,2,0,1
2020-11-01,2020-2021,La Liga,Celta Vigo,Real Sociedad,Home,1,4,L,Sergio Carreira,Y,RB,90,0,0,0,0,0,0,1,0,1,0,0
2024-08-23,2024-2025,La Liga,Celta Vigo,Valencia,Home,3,1,W,Sergio Carreira,N,,45,0,0,0,0,0,0,2,0,0,2,1
2024-08-26,2024-2025,La Liga,Celta Vigo,Villarreal,Away,3,4,L,Sergio Carreira,Y,LM,57,0,0,1,0,0,0,0,0,1,1,0
2024-09-26,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Home,0,1,L,Sergio Carreira,Y,RM,90,0,0,0,0,0,0,0,0,3,1,0
2024-09-29,2024-2025,La Liga,Celta Vigo,Girona,Home,1,1,D,Sergio Carreira,Y,DM,45,0,0,0,0,0,0,0,0,1,0,0
2024-12-21,2024-2025,La Liga,Celta Vigo,Real Sociedad,Home,2,0,W,Sergio Carreira,Y,RM,71,0,0,0,0,0,0,0,0,4,0,1
2025-01-10,2024-2025,La Liga,Celta Vigo,Rayo Vallecano,Away,1,2,L,Sergio Carreira,N,,10,0,0,0,0,0,0,0,0,2,0,0
2025-01-19,2024-2025,La Liga,Celta Vigo,Athletic Club,Home,1,2,L,Sergio Carreira,Y,DM,90,0,0,0,0,0,0,2,0,6,1,1
2025-01-27,2024-2025,La Liga,Celta Vigo,Alavés,Away,1,1,D,Sergio Carreira,Y,RM,90,0,0,2,0,0,0,1,0,2,1,2
2025-02-02,2024-2025,La Liga,Celta Vigo,Valencia,Away,1,2,L,Sergio Carreira,Y,RM,90,0,1,0,0,0,0,0,0,5,3,0
2025-02-08,2024-2025,La Liga,Celta Vigo,Real Betis,Home,3,2,W,Sergio Carreira,N,,9,0,1,0,0,0,0,0,0,0,1,0
2025-02-15,2024-2025,La Liga,Celta Vigo,Atlético Madrid,Away,1,1,D,Sergio Carreira,Y,RM,90,0,0,0,0,0,0,1,0,2,3,2
2025-02-21,2024-2025,La Liga,Celta Vigo,Osasuna,Home,1,0,W,Sergio Carreira,Y,RM,90,0,0,1,1,0,0,0,0,2,2,1
2025-03-01,2024-2025,La Liga,Celta Vigo,Girona,Away,2,2,D,Sergio Carreira,Y,DM,90,0,1,2,1,0,0,3,0,2,0,0
2025-03-08,2024-2025,La Liga,Celta Vigo,Leganés,Home,2,1,W,Sergio Carreira,Y,RM,90,0,0,1,1,0,0,1,0,1,0,0
2025-03-15,2024-2025,La Liga,Celta Vigo,Valladolid,Away,1,0,W,Sergio Carreira,Y,RM,90,0,0,0,0,0,0,2,0,5,0,0
2025-03-31,2024-2025,La Liga,Celta Vigo,Las Palmas,Home,1,1,D,Sergio Carreira,Y,RM,90,0,0,1,0,0,0,1,3,0,0,0
2025-04-05,2024-2025,La Liga,Celta Vigo,Mallorca,Away,2,1,W,Sergio Carreira,Y,RM,90,0,0,0,0,0,0,0,0,4,1,3
2025-04-12,2024-2025,La Liga,Celta Vigo,Espanyol,Home,0,2,L,Sergio Carreira,Y,RW,70,0,0,1,0,0,0,0,0,0,0,0
2025-04-19,2024-2025,La Liga,Celta Vigo,Barcelona,Away,3,4,L,Sergio Carreira,Y,LB,90,0,1,0,0,0,0,2,0,0,0,5
2025-04-23,2024-2025,La Liga,Celta Vigo,Villarreal,Home,3,0,W,Sergio Carreira,N,,36,0,0,2,0,0,0,1,0,0,0,0
2025-05-04,2024-2025,La Liga,Celta Vigo,Real Madrid,Away,2,3,L,Sergio Carreira,Y,DM,53,0,0,0,0,0,0,0,0,1,0,1
2025-05-13,2024-2025,La Liga,Celta Vigo,Real Sociedad,Away,1,0,W,Sergio Carreira,Y,LM,90,0,0,1,0,0,0,2,0,0,0,0
2025-05-24,2024-2025,La Liga,Celta Vigo,Getafe,Away,2,1,W,Sergio Carreira,Y,DM,90,0,0,1,0,1,0,1,1,1,1,0
