Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2018-04-08,2017-2018,Bundesliga,Dortmund,Stuttgart,Away,3,0,W,Sergio Gómez,N,N/A,4,0,0,0,0,0,0,0,0,1,0,0
2018-04-21,2017-2018,Bundesliga,Dortmund,Leverkusen,Home,4,0,W,Sergio Gómez,N,N/A,5,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,2020-2021,La Liga,Huesca,Cádiz,Home,0,2,L,Sergio Gómez,N,N/A,38,0,0,0,1,0,0,0,0,3,0,0
2020-09-30,2020-2021,La Liga,Huesca,Atlético Madrid,Home,0,0,D,Sergio Gómez,N,N/A,9,0,0,0,0,0,0,0,0,0,0,1
2020-10-18,2020-2021,La Liga,Huesca,Valladolid,Home,2,2,D,Sergio Gómez,N,N/A,14,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,2020-2021,La Liga,Huesca,Real Sociedad,Away,1,4,L,Sergio Gómez,N,N/A,35,0,0,0,1,0,0,1,0,1,0,0
2020-10-31,2020-2021,La Liga,Huesca,Real Madrid,Away,1,4,L,Sergio Gómez,Y,RM,45,0,0,0,1,0,0,0,0,1,1,0
2020-11-07,2020-2021,La Liga,Huesca,Eibar,Home,1,1,D,Sergio Gómez,N,N/A,8,0,0,0,0,0,0,0,1,2,0,0
2020-11-20,2020-2021,La Liga,Huesca,Osasuna,Away,1,1,D,Sergio Gómez,N,N/A,5,0,0,0,0,0,0,1,0,0,1,0
2020-12-12,2020-2021,La Liga,Huesca,Alavés,Home,1,0,W,Sergio Gómez,N,N/A,3,0,0,0,0,0,0,1,0,0,0,0
2020-12-22,2020-2021,La Liga,Huesca,Levante,Home,1,1,D,Sergio Gómez,N,N/A,22,0,0,0,0,0,0,0,0,3,1,0
2020-12-30,2020-2021,La Liga,Huesca,Celta Vigo,Away,1,2,L,Sergio Gómez,N,N/A,24,0,1,1,1,0,0,1,0,5,0,1
2021-01-03,2020-2021,La Liga,Huesca,Barcelona,Home,0,1,L,Sergio Gómez,Y,FW,71,0,0,0,0,0,0,0,0,4,1,3
2021-01-11,2020-2021,La Liga,Huesca,Real Betis,Home,0,2,L,Sergio Gómez,N,N/A,19,0,0,0,0,0,0,0,0,1,1,0
2021-01-20,2020-2021,La Liga,Huesca,Getafe,Away,0,1,L,Sergio Gómez,N,N/A,29,0,0,0,0,0,0,0,0,3,1,1
2021-01-23,2020-2021,La Liga,Huesca,Villarreal,Home,0,0,D,Sergio Gómez,N,N/A,34,0,0,0,0,0,0,1,1,5,0,1
