Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2019-08-18,2019-2020,Bundesliga,Union Berlin,RB Leipzig,Home,0,4,L,Sheraldo Becker,N,RM,33,0,0,0,0,1,0,1,0,2,0,0
2019-08-24,2019-2020,Bundesliga,Union Berlin,Augsburg,Away,1,1,D,Sheraldo Becker,Y,RM,66,0,0,0,0,0,0,2,0,1,0,0
2019-08-31,2019-2020,Bundesliga,Union Berlin,Dortmund,Home,3,1,W,Sheraldo Becker,Y,RM,90,0,1,3,2,0,0,1,0,3,1,0
2019-09-14,2019-2020,Bundesliga,Union Berlin,Werder Bremen,Home,1,2,L,Sheraldo Becker,Y,RM,72,0,0,0,0,0,0,2,1,4,0,0
2019-09-21,2019-2020,Bundesliga,Union Berlin,Leverkusen,Away,0,2,L,Sheraldo Becker,Y,RM,45,0,0,0,0,0,0,1,1,0,0,0
2019-09-27,2019-2020,Bundesliga,Union Berlin,Eintracht Frankfurt,Home,1,2,L,Sheraldo Becker,N,RM,32,0,1,1,1,0,0,0,1,1,0,0
2019-10-06,2019-2020,Bundesliga,Union Berlin,Wolfsburg,Away,0,1,L,Sheraldo Becker,Y,AM,71,0,0,2,1,0,0,1,0,2,0,0
2019-10-26,2019-2020,Bundesliga,Union Berlin,Bayern Munich,Away,1,2,L,Sheraldo Becker,N,,31,0,0,0,0,0,0,1,1,0,0,0
2019-11-29,2019-2020,Bundesliga,Union Berlin,Schalke 04,Away,1,2,L,Sheraldo Becker,N,,21,0,0,0,0,0,0,0,0,1,0,0
2019-12-14,2019-2020,Bundesliga,Union Berlin,Paderborn 07,Away,1,1,D,Sheraldo Becker,N,,14,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,2019-2020,Bundesliga,Union Berlin,Dortmund,Away,0,5,L,Sheraldo Becker,N,,32,0,0,0,0,0,0,0,0,1,0,0
2020-03-07,2019-2020,Bundesliga,Union Berlin,Freiburg,Away,1,3,L,Sheraldo Becker,N,,8,0,0,0,0,0,0,0,0,1,0,0
2020-06-27,2019-2020,Bundesliga,Union Berlin,Düsseldorf,Home,3,0,W,Sheraldo Becker,N,,25,0,0,0,0,0,0,0,1,2,0,0
2020-09-19,2020-2021,Bundesliga,Union Berlin,Augsburg,Home,1,3,L,Sheraldo Becker,Y,FW,70,0,0,1,0,0,0,0,0,0,1,0
2020-09-26,2020-2021,Bundesliga,Union Berlin,Gladbach,Away,1,1,D,Sheraldo Becker,Y,AM,56,0,0,5,0,0,0,1,2,4,0,2
2020-10-02,2020-2021,Bundesliga,Union Berlin,Mainz 05,Home,4,0,W,Sheraldo Becker,Y,AM,63,0,1,0,0,0,0,0,1,3,0,1
2020-10-18,2020-2021,Bundesliga,Union Berlin,Schalke 04,Away,1,1,D,Sheraldo Becker,Y,AM,77,0,0,1,0,0,0,1,0,3,1,0
2020-10-24,2020-2021,Bundesliga,Union Berlin,Freiburg,Home,1,1,D,Sheraldo Becker,Y,AM,70,0,0,5,2,0,0,2,0,5,0,0
2020-11-07,2020-2021,Bundesliga,Union Berlin,Arminia,Home,5,0,W,Sheraldo Becker,Y,AM,82,1,1,3,3,0,0,3,1,0,0,1
2020-11-22,2020-2021,Bundesliga,Union Berlin,Köln,Away,2,1,W,Sheraldo Becker,Y,AM,84,0,0,0,0,0,0,0,2,4,0,1
2020-11-28,2020-2021,Bundesliga,Union Berlin,Eintracht Frankfurt,Home,3,3,D,Sheraldo Becker,Y,AM,72,0,0,2,0,0,0,1,2,2,0,0
2020-12-04,2020-2021,Bundesliga,Union Berlin,Hertha BSC,Away,1,3,L,Sheraldo Becker,N,,9,0,0,0,0,0,0,0,0,1,0,0
2020-12-12,2020-2021,Bundesliga,Union Berlin,Bayern Munich,Home,1,1,D,Sheraldo Becker,Y,RW,90,0,0,2,0,1,0,4,1,5,0,1
2020-12-15,2020-2021,Bundesliga,Union Berlin,Stuttgart,Away,2,2,D,Sheraldo Becker,Y,FW,60,0,0,3,1,0,0,3,1,1,0,0
2020-12-18,2020-2021,Bundesliga,Union Berlin,Dortmund,Home,2,1,W,Sheraldo Becker,Y,RW,90,0,0,2,1,0,0,0,0,1,2,1
2021-01-02,2020-2021,Bundesliga,Union Berlin,Werder Bremen,Away,2,0,W,Sheraldo Becker,Y,FW,87,1,0,2,1,1,0,2,2,5,0,0
2021-01-09,2020-2021,Bundesliga,Union Berlin,Wolfsburg,Home,2,2,D,Sheraldo Becker,Y,FW,77,1,0,4,2,0,0,1,2,4,0,0
