Date,Season,Competition,Team,Opponent,Venue,TeamGoals,OppGoals,Result,Player,Start,Position,Minutes,Goals,Assists,Shots,SoT,Yellow,Red,Fouls,Offsides,Crosses,TacklesWon,Interceptions
2024-09-01,2024-2025,La Liga,Sevilla,Girona,Home,0,2,L,Stanis Idumbo,N,,9,0,0,0,0,0,0,0,0,0,1,1
2024-10-20,2024-2025,La Liga,Sevilla,Barcelona,Away,1,5,L,Stanis Idumbo,N,,21,1,0,1,1,0,0,0,0,0,0,0
2024-10-25,2024-2025,La Liga,Sevilla,Espanyol,Away,2,0,W,Stanis Idumbo,Y,AM,62,0,0,0,0,0,0,0,0,0,1,2
2024-11-03,2024-2025,La Liga,Sevilla,Real Sociedad,Home,0,2,L,Stanis Idumbo,Y,AM,24,0,0,0,0,0,0,0,0,0,1,0
2024-12-14,2024-2025,La Liga,Sevilla,Celta Vigo,Home,1,0,W,Stanis Idumbo,N,,20,0,0,1,0,0,0,0,0,0,0,0
2024-12-22,2024-2025,La Liga,Sevilla,Real Madrid,Away,2,4,L,Stanis Idumbo,Y,AM,64,0,0,1,0,0,0,1,0,0,2,1
2025-01-11,2024-2025,La Liga,Sevilla,Valencia,Home,1,1,D,Stanis Idumbo,N,,12,0,0,0,0,0,0,0,0,0,0,0
2025-01-18,2024-2025,La Liga,Sevilla,Girona,Away,2,1,W,Stanis Idumbo,N,,20,0,0,0,0,0,0,0,0,0,0,0
2025-03-01,2024-2025,La Liga,Sevilla,Rayo Vallecano,Away,1,1,D,Stanis Idumbo,N,,16,0,1,0,0,0,0,0,0,0,0,0
2025-03-09,2024-2025,La Liga,Sevilla,Real Sociedad,Away,1,0,W,Stanis Idumbo,N,,1,0,0,1,1,0,0,0,0,0,0,0
2025-03-16,2024-2025,La Liga,Sevilla,Athletic Club,Home,0,1,L,Stanis Idumbo,N,,3,0,0,0,0,0,0,0,0,0,0,0
2025-03-30,2024-2025,La Liga,Sevilla,Real Betis,Away,1,2,L,Stanis Idumbo,N,,6,0,0,0,0,0,0,0,0,0,0,0
2025-04-06,2024-2025,La Liga,Sevilla,Atlético Madrid,Home,1,2,L,Stanis Idumbo,N,,1,0,0,0,0,0,0,0,0,0,0,0
2025-04-11,2024-2025,La Liga,Sevilla,Valencia,Away,0,1,L,Stanis Idumbo,N,,25,0,0,0,0,0,0,0,0,0,0,0
